# opt_chain STX | epoch 1785441286 | 2026-07-30 15:54:46 | spot 850.58 | exps 20260731 20260807
# fuente ibkr_tws | band 0.1500 | max_strikes 20 | narrow 0 | vencimientos 2 | rows 152 | greeks_ok_pct 0.6645 | bidask_ok_pct 0.9803
# strike right exp bid ask vol oi iv delta gamma
850.00 C 20260731 22.00 24.50 264 2156 1.2860 0.5190 0.0070
850.00 P 20260731 18.60 26.80 485 106 1.2860 -0.4811 0.0070
855.00 C 20260731 15.90 20.70 43 184 1.2787 0.4842 0.0070
855.00 P 20260731 20.70 29.20 17 30 1.2787 -0.5159 0.0070
845.00 C 20260731 21.50 29.90 40 157 1.2941 0.5536 0.0069
845.00 P 20260731 16.10 24.00 13 61 1.2941 -0.4465 0.0069
860.00 C 20260731 15.40 20.00 160 218 1.2722 0.4491 0.0070
860.00 P 20260731 23.30 31.80 17 32 1.2722 -0.5511 0.0070
840.00 C 20260731 25.00 33.40 35 71 1.3030 0.5878 0.0067
840.00 P 20260731 14.80 21.40 77 71 1.3030 -0.4123 0.0067
865.00 C 20260731 13.50 18.10 93 102 1.2664 0.4146 0.0069
865.00 P 20260731 25.30 34.50 11 8 1.2664 -0.5856 0.0069
835.00 C 20260731 24.40 37.80 41 53 1.3126 0.6215 0.0065
835.00 P 20260731 12.20 20.20 11 30 1.3126 -0.3785 0.0065
870.00 C 20260731 12.50 17.60 104 104 1.2614 0.3816 0.0068
870.00 P 20260731 25.20 40.70 24 17 1.2614 -0.6185 0.0068
830.00 C 20260731 29.10 41.20 30 691 1.3230 0.6535 0.0063
830.00 P 20260731 11.00 18.00 81 69 1.3230 -0.3466 0.0063
875.00 C 20260731 8.80 15.30 82 203 1.2571 0.3482 0.0066
875.00 P 20260731 28.70 44.00 24 10 1.2571 -0.6520 0.0066
825.00 C 20260731 30.50 43.40 18 166 1.3341 0.6762 0.0061
825.00 P 20260731 9.20 17.20 97 46 1.3341 -0.3239 0.0061
880.00 C 20260731 7.00 12.50 342 392 1.2536 0.3167 0.0064
880.00 P 20260731 34.50 46.10 45 34 1.2536 -0.6835 0.0064
820.00 C 20260731 33.60 47.80 149 195 1.3458 0.7067 0.0057
820.00 P 20260731 8.30 14.50 501 149 1.3458 -0.2933 0.0058
885.00 C 20260731 7.00 10.80 32 114 1.2508 0.2792 0.0061
885.00 P 20260731 36.50 50.60 4 4 1.2508 -0.7210 0.0061
815.00 C 20260731 38.90 52.90 11 25 1.3583 0.7348 0.0054
815.00 P 20260731 9.10 12.50 2 129 1.3583 -0.2652 0.0054
890.00 C 20260731 5.60 9.70 41 795 1.2486 0.2554 0.0058
890.00 P 20260731 39.60 53.70 19 25 1.2486 -0.7449 0.0058
810.00 C 20260731 42.70 55.90 69 232 1.3714 0.7636 0.0051
810.00 P 20260731 8.00 11.70 144 76 1.3714 -0.2364 0.0051
895.00 C 20260731 4.30 8.00 42 318 1.2471 0.2281 0.0054
895.00 P 20260731 45.20 57.70 4 29 1.2471 -0.7721 0.0054
850.00 C 20260807 48.40 61.90 68 556 1.0715 0.5316 0.0030
850.00 P 20260807 46.80 60.60 68 28 1.0715 -0.4689 0.0030
855.00 C 20260807 45.50 55.80 22 15 1.0702 0.5200 0.0030
855.00 P 20260807 48.40 63.40 1 16 1.0702 -0.4805 0.0030
845.00 C 20260807 51.40 64.50 19 109 1.0729 0.5495 0.0029
845.00 P 20260807 47.60 57.80 33 20 1.0729 -0.4509 0.0029
860.00 C 20260807 43.20 51.70 7 49 1.0689 0.5053 0.0030
860.00 P 20260807 52.10 65.60 92 37 1.0689 -0.4952 0.0030
840.00 C 20260807 53.60 63.70 25 390 1.0743 0.5642 0.0029
840.00 P 20260807 44.00 56.10 9 65 1.0743 -0.4361 0.0029
865.00 C 20260807 39.90 51.50 0 43 1.0677 0.4906 0.0030
865.00 P 20260807 56.20 68.00 11 12 1.0677 -0.5099 0.0030
835.00 C 20260807 54.50 69.50 8 14 1.0758 0.5790 0.0029
835.00 P 20260807 38.70 53.80 12 34 1.0758 -0.4214 0.0029
870.00 C 20260807 36.80 48.10 2 31 1.0665 0.4759 0.0030
870.00 P 20260807 59.90 71.20 4 26 1.0665 -0.5259 0.0030
830.00 C 20260807 58.90 71.30 8 11 1.0773 0.5937 0.0029
830.00 P 20260807 41.00 50.10 34 74 1.0773 -0.4067 0.0029
875.00 C 20260807 34.60 50.30 8 27 1.0654 0.4576 0.0030
875.00 P 20260807 60.60 74.30 19 7 1.0654 -0.5395 0.0030
825.00 C 20260807 61.40 75.00 0 9 1.0789 0.6084 0.0028
825.00 P 20260807 35.70 49.30 1 8 1.0789 -0.3920 0.0028
880.00 C 20260807 32.50 48.10 17 29 1.0643 0.4434 0.0030
880.00 P 20260807 63.40 75.90 14 63 1.0643 -0.5539 0.0030
820.00 C 20260807 63.70 75.20 12 54 1.0806 0.6227 0.0028
820.00 P 20260807 33.20 47.10 0 25 1.0806 -0.3796 0.0028
885.00 C 20260807 32.30 42.30 26 42 1.0633 0.4327 0.0029
885.00 P 20260807 65.30 80.00 105 9 1.0633 -0.5679 0.0030
