epoch,o,h,l,c,v
1777047300,208.6700,209.1700,208.3500,209.1400,1438722
1777047600,209.1500,209.8800,209.1400,209.8600,2016349
1777047900,209.8500,210.0000,209.4800,209.5800,1970730
1777048200,209.5800,210.3200,209.5500,210.2600,2361160
1777048500,210.2700,210.9500,210.2600,210.8400,2810237
1777048800,210.8400,210.8500,210.0000,210.0900,1978281
1777049100,210.0700,210.5500,210.0700,210.1500,1428883
1777049400,210.1600,210.4500,209.8700,209.9000,1076728
1777049700,209.9000,210.0300,209.5300,209.6800,1402546
1777050000,209.6900,209.8100,209.2400,209.6100,1169917
1777050300,209.6100,209.8000,209.5700,209.7400,875878
1777050600,209.7400,210.0300,209.6000,210.0100,1147279
1777050900,210.0100,210.0300,209.6200,209.7200,849131
1777051200,209.7300,209.8100,209.0400,209.5000,1232236
1777051500,209.5000,209.6200,209.3100,209.3300,727996
1777051800,209.3100,209.5000,209.0200,209.3900,945131
1777052100,209.3800,209.6500,209.2700,209.3500,814867
1777052400,209.3600,209.6900,209.2500,209.5900,931401
1777052700,209.6000,209.7200,209.0000,209.2500,852852
1777053000,209.2500,209.7000,209.0700,209.4200,834424
1777053300,209.4100,209.5300,209.2200,209.3100,566732
1777053600,209.3200,209.4200,209.0900,209.1200,761750
1777053900,209.1200,209.2800,208.6800,209.2600,1411534
1777054200,209.2700,209.3100,208.9500,209.0300,695278
1777054500,209.0300,209.0500,208.5900,208.7500,785648
1777054800,208.7500,208.7600,208.2900,208.5000,1225941
1777055100,208.4900,208.7200,208.1500,208.1900,1268933
1777055400,208.1900,208.5600,208.1000,208.5300,1110474
1777055700,208.5100,208.5900,208.2900,208.4600,700086
1777056000,208.4500,208.6100,208.0500,208.0800,860599
1777056300,208.0800,208.1100,207.7400,207.9000,1245257
1777056600,207.8900,208.0900,207.7600,207.8800,1043228
1777056900,207.8800,208.2500,207.6800,208.2300,1175408
1777057200,208.2300,208.3300,208.1200,208.1900,894021
1777057500,208.2000,208.9000,208.1300,208.8200,1288465
1777057800,208.8200,209.1700,208.7400,209.1200,1227321
1777058100,209.1200,209.2800,209.0300,209.1100,1415457
1777058400,209.1100,209.1200,208.7100,208.7800,1193198
1777058700,208.7800,208.8700,208.4800,208.5200,1091802
1777059000,208.5100,208.5600,208.0000,208.4000,1498507
1777059300,208.3900,208.6100,208.3200,208.4100,1119112
1777059600,208.4100,208.5300,208.1800,208.1900,1046782
1777059900,208.1800,208.2700,207.8300,207.9800,1517210
1777060200,207.9800,208.2200,207.5400,208.0600,2485019
1777060500,208.0500,208.4800,207.9700,208.1900,5500288
1777296600,209.7000,210.9400,209.0000,210.8500,6716396
1777296900,210.8400,211.9500,210.5000,210.6100,4182594
1777297200,210.6200,211.1000,209.4500,209.7900,3117353
1777297500,209.7900,210.5900,209.0700,210.0000,3137227
1777297800,210.0100,210.0200,208.4000,209.9300,3574199
1777298100,209.9200,210.4300,209.1700,210.3600,1979419
1777298400,210.3400,210.6600,210.0100,210.2300,1913908
1777298700,210.2700,210.7300,209.9600,210.1800,1470587
1777299000,210.1600,210.5100,209.6000,210.4000,1421917
1777299300,210.3500,210.4000,208.9100,209.2200,1682902
1777299600,209.2300,209.4000,208.8900,209.1100,1399479
1777299900,209.1300,209.2000,208.5100,208.7000,1700753
1777300200,208.7000,208.8000,207.3800,208.4100,3035721
1777300500,208.4200,209.2200,208.3300,209.1100,1875271
1777300800,209.1100,209.4400,208.9000,209.2400,1171789
1777301100,209.2600,209.4100,208.8100,209.3400,1092312
1777301400,209.3400,209.8700,209.2000,209.3800,1503249
1777301700,209.3900,209.6600,209.1700,209.3900,972407
1777302000,209.4000,209.7000,209.1700,209.2700,800601
1777302300,209.2600,209.7200,209.0300,209.5900,1024651
1777302600,209.5800,209.9300,209.4600,209.4800,975075
1777302900,209.4600,209.8500,209.3100,209.7100,789985
1777303200,209.7100,209.8700,209.3800,209.4700,758290
1777303500,209.4700,209.9100,209.2500,209.8800,944604
1777303800,209.8700,210.3000,209.7600,210.2100,1591867
1777304100,210.2000,210.5500,210.1400,210.5200,1088837
1777304400,210.5200,210.6400,210.3000,210.3700,1102344
1777304700,210.3800,210.8300,210.1100,210.6200,1129157
1777305000,210.6200,210.8500,210.3900,210.5800,950363
1777305300,210.5800,210.7000,210.3900,210.6700,785997
1777305600,210.6600,211.0000,210.5900,210.8200,1168702
1777305900,210.8300,211.3700,210.7700,211.2700,1404134
1777306200,211.2800,211.4200,210.9200,211.0700,1333605
1777306500,211.0600,211.5900,210.9900,211.5500,1267974
1777306800,211.5600,211.6500,211.1300,211.2500,1043401
1777307100,211.2600,211.6400,211.2100,211.4600,944285
1777307400,211.4600,212.6500,211.4000,212.5400,2418657
1777307700,212.5500,213.6300,212.5200,213.4300,3288781
1777308000,213.4300,213.4700,212.9600,213.0300,1884498
1777308300,213.0200,213.3100,212.7400,213.1200,1506484
1777308600,213.1300,213.2500,212.4600,212.6900,1354162
1777308900,212.6900,212.7900,212.5100,212.7500,974197
1777309200,212.7500,213.1900,212.7500,213.1100,1445994
1777309500,213.1100,213.4800,213.0500,213.4700,1212086
1777309800,213.4700,214.0400,213.3300,214.0200,2062983
1777310100,214.0100,214.1300,213.3000,213.5100,1647141
