epoch,o,h,l,c,v
1777043700,402.5000,402.5600,401.2000,401.2500,178454
1777044000,401.2600,402.1700,400.7900,402.1200,210736
1777044300,402.1400,402.1400,401.3200,401.8000,148931
1777044600,401.8000,403.3600,401.3600,403.2100,306970
1777044900,403.2400,403.2800,402.5100,402.7800,95828
1777045200,402.8300,404.8800,402.7400,404.8700,260845
1777045500,404.9000,405.5400,404.1100,404.8500,232345
1777045800,404.8800,406.1000,404.6900,405.6400,171989
1777046100,405.6500,406.3600,405.2900,406.2300,180302
1777046400,406.1500,406.9800,406.0500,406.9600,182216
1777046700,406.9800,407.9000,406.6600,407.2300,337141
1777047000,407.3100,408.6700,407.0800,408.1600,287534
1777047300,408.1400,408.9300,407.3500,408.8400,257950
1777047600,408.8000,409.4900,408.5100,408.5200,198196
1777047900,408.6200,408.6600,407.3800,407.6400,177055
1777048200,407.6400,408.0900,407.2600,408.0100,130424
1777048500,408.0500,408.2800,406.9300,407.0500,162344
1777048800,407.1200,407.1900,406.0600,406.4400,178252
1777049100,406.3800,406.9500,406.1700,406.2900,135823
1777049400,406.3400,407.0000,406.3200,406.7300,74494
1777049700,406.8100,407.0700,406.6000,406.8800,58778
1777050000,406.9000,407.0800,406.4000,406.7000,82832
1777050300,406.7300,406.8100,405.4700,405.5200,104940
1777050600,405.5400,405.7300,404.9200,405.0200,92490
1777050900,405.0300,405.0600,404.1200,404.2000,100109
1777051200,404.2000,404.3900,403.4100,403.9500,91445
1777051500,403.9300,404.2400,403.5000,404.0900,145180
1777051800,404.0900,404.8700,403.5600,404.6800,120435
1777052100,404.6900,405.1000,404.2600,404.3600,115478
1777052400,404.4000,405.3900,404.3100,405.3000,78422
1777052700,405.3200,405.6600,405.2600,405.3900,89275
1777053000,405.4300,406.3600,405.2200,405.9200,84633
1777053300,405.9100,406.1900,405.7900,406.0900,73047
1777053600,406.0900,406.8400,406.0700,406.5600,89417
1777053900,406.5500,406.6100,405.9300,406.2300,73934
1777054200,406.2700,406.4900,405.5900,405.8700,91570
1777054500,405.8700,406.0000,404.9100,405.1000,69708
1777054800,405.0700,405.0700,404.5800,404.9000,52273
1777055100,404.9400,405.4100,404.8700,405.1100,75560
1777055400,405.0900,405.9500,405.0600,405.9500,66133
1777055700,405.9100,406.1100,405.6800,405.9600,56829
1777056000,405.9600,406.3500,405.6500,405.6600,55242
1777056300,405.6600,406.0000,405.3700,405.4500,70796
1777056600,405.4200,405.7600,405.0200,405.6200,65963
1777056900,405.6600,405.9900,405.5100,405.8700,147244
1777057200,405.8500,406.5300,405.8500,406.0500,114262
1777057500,406.0500,406.1000,405.5000,406.0100,69374
1777057800,406.0300,406.1400,405.5100,405.7400,58885
1777058100,405.7700,406.0000,405.3400,405.5800,62101
1777058400,405.5500,405.6200,404.7100,404.7100,116251
1777058700,404.7100,404.7400,404.1200,404.1400,146709
1777059000,404.1300,404.1400,403.4000,403.6100,160336
1777059300,403.5900,404.0500,403.5000,403.9100,117861
1777059600,403.8700,403.9000,403.1600,403.1700,120142
1777059900,403.1800,403.1800,401.8900,401.9200,243470
1777060200,401.9400,402.1500,400.9500,401.1200,313180
1777060500,401.1500,402.5100,400.7900,402.4700,637337
1777296600,413.7500,414.5000,409.0000,412.1600,1240481
1777296900,412.0000,412.7400,408.9500,409.2100,390667
1777297200,409.1600,409.3500,405.8000,406.1300,483508
1777297500,406.0600,406.1600,402.8800,403.2200,558924
1777297800,403.3100,405.6000,400.9400,404.9600,557667
1777298100,404.9500,407.8000,404.9500,407.0000,363879
1777298400,406.9700,407.1400,405.4400,406.4300,228406
1777298700,406.4800,407.2100,405.3500,405.5100,136752
1777299000,405.5400,406.6600,404.2100,405.6200,251571
1777299300,405.7300,405.7700,403.4000,404.1900,144733
1777299600,404.2500,404.4500,403.4000,403.8100,114603
1777299900,403.7900,404.0000,402.2900,402.4900,155824
1777300200,402.4400,402.5000,400.4000,402.3300,266018
1777300500,402.3800,404.1000,402.2200,403.7500,136797
1777300800,403.7800,404.3200,403.3100,403.8800,140036
1777301100,403.8600,404.0600,402.5500,403.7800,120375
1777301400,403.7800,404.6400,402.8400,403.3000,159354
1777301700,403.3000,404.0000,402.7600,403.8800,109056
1777302000,403.8800,404.1900,402.2700,402.6900,103380
1777302300,402.6400,403.8800,402.4200,403.4100,113312
1777302600,403.5000,403.8000,402.8200,402.8400,96136
1777302900,402.8100,403.6500,402.6300,402.9600,113318
1777303200,402.8000,403.4700,402.2400,403.1300,89061
1777303500,403.3000,404.4500,403.0000,404.4100,113804
1777303800,404.4500,404.8000,404.1800,404.4800,94113
1777304100,404.4500,404.5400,403.7100,404.4000,88763
1777304400,404.4000,405.3600,404.2400,404.7600,159812
1777304700,404.7600,405.0300,404.2000,404.6900,101384
1777305000,404.6000,405.0100,404.4500,404.8600,85472
1777305300,404.8400,405.0700,404.3900,404.7200,97881
1777305600,404.8000,405.0000,403.7500,404.3600,89829
1777305900,404.3500,404.4300,403.3900,403.4400,102666
1777306200,403.4400,404.1100,403.3300,403.9500,79754
1777306500,403.8800,404.6100,403.7900,404.4200,62867
