16:02:12 20260724 ±3% ATM volumen dia
NVDA volC 182,690 volP 68,474 P/C 0.37
AMD volC 18,379 volP 5,613 P/C 0.31
MU volC 23,920 volP 16,215 P/C 0.68
INTC volC 13,549 volP 5,539 P/C 0.41
TSM volC 12,469 volP 7,731 P/C 0.62
SMH volC 4,654 volP 2,106 P/C 0.45
QQQ volC 64,314 volP 62,206 P/C 0.97
SPY volC 89,064 volP 81,089 P/C 0.91
AAPL volC 87,530 volP 43,366 P/C 0.50
MSFT volC 15,895 volP 6,575 P/C 0.41
META volC 7,062 volP 5,396 P/C 0.76
AMZN volC 31,907 volP 13,975 P/C 0.44
TSLA volC 156,831 volP 113,611 P/C 0.72
AVGO volC 4,356 volP 2,734 P/C 0.63
GOOGL volC 14,641 volP 10,005 P/C 0.68
NOK volC 20,517 volP 9,338 P/C 0.46
TXN volC 846 volP 899 P/C 1.06
QCOM volC 2,701 volP 553 P/C 0.20
NFLX volC 117,621 volP 18,571 P/C 0.16
GLD volC 10,318 volP 3,289 P/C 0.32
XLK volC 573 volP 231 P/C 0.40
