date,open,high,low,close,volume
2016-01-04,103.13,103.67,102.485,102.89,6712219
2016-01-05,103.13,103.46,102.93,103.18,3565779
2016-01-06,104.37,104.8,103.93,104.67,9535185
2016-01-07,105.83,106.237,105.19,106.15,12202300
2016-01-08,105.48,105.8,105.04,105.68,7839061
2016-01-11,105.47,105.566,104.71,104.74,6524138
2016-01-12,104.09,104.59,103.65,104.21,5826564
2016-01-13,103.88,104.8199,103.78,104.72,7415575
2016-01-14,103.75,104.18,102.4985,103.02,10137637
2016-01-15,104.92,104.96,103.965,104.08,10238483
2016-01-19,104.06,104.45,103.65,103.98,4775507
2016-01-20,105.17,106.16,104.94,105.37,10673206
2016-01-21,104.99,105.49,104.515,105.49,5824153
2016-01-22,104.93,105.51,104.76,105,4249578
2016-01-25,105.76,106.09,105.6,106.08,7415953
2016-01-26,106.32,107.43,106.255,107.29,8709827
2016-01-27,106.86,107.93,106.65,107.69,8411569
2016-01-28,106.55,106.86,106.48,106.54,6643283
2016-01-29,106.61,107,106.26,106.9492,8703281
2016-02-01,107.54,108.15,107.53,108.05,11621834
2016-02-02,107.92,108.18,107.35,108.09,6863810
2016-02-03,107.91,109.58,107.9,109.25,15994158
2016-02-04,110.45,110.7,109.92,110.57,13365054
2016-02-05,109.79,112.35,109.58,112.32,15141781
2016-02-08,113.67,114.8692,113.39,113.83,28715303
2016-02-09,114.43,114.69,113.55,113.58,18975999
2016-02-10,113.92,114.52,112.98,114.46,13720376
2016-02-11,118.59,120.84,117.77,119.0592,50125590
2016-02-12,118.12,118.74,117.88,118.36,17661667
2016-02-16,116,116.31,114.74,114.77,15741234
2016-02-17,115.47,116.07,114.89,115.48,10907139
2016-02-18,115.3,118.595,115.29,118.29,13933161
2016-02-19,117.26,117.965,117.1,117.58,15645600
2016-02-22,115.44,116.19,115.41,115.49,10885266
2016-02-23,116.68,117.42,116.52,117.22,9279679
2016-02-24,119,119.86,117.35,117.61,18057891
2016-02-25,117.62,118.91,117.5401,117.92,12851548
2016-02-26,117.43,117.72,115.8637,117.11,12731821
2016-02-29,117.59,118.7,117.53,118.64,12244787
2016-03-01,118.74,119.11,117.34,117.77,14512866
2016-03-02,118.34,118.97,118.07,118.68,10094997
2016-03-03,118.86,121.3,118.81,120.73,19344703
2016-03-04,121.13,122.37,120.22,120.54,16467217
2016-03-07,121.18,121.5801,120.41,121.14,9673327
2016-03-08,121.79,121.88,120.47,120.58,11618812
2016-03-09,119.18,120.39,118.84,119.58,8885480
2016-03-10,120.5,121.76,120.42,121.5,17484379
2016-03-11,121.19,121.385,119.36,119.41,11430179
2016-03-14,120.27,120.31,117.5,117.87,14500182
2016-03-15,117.78,118.04,117.36,117.96,10285623
2016-03-16,117.42,120.76,117.34,120.59,17959884
2016-03-17,121.16,121.18,120.03,120.13,10153631
2016-03-18,119.59,120.34,119.51,119.8,12676396
2016-03-21,119,119.33,118.73,118.96,8224594
2016-03-22,119.73,120.16,118.96,119.31,6904772
2016-03-23,116.73,117.12,116.16,116.61,16334802
2016-03-24,116.77,116.94,116.3,116.33,6345362
2016-03-28,116.74,116.91,116.27,116.6,3994100
2016-03-29,117.36,118.81,116.8,118.76,15259889
2016-03-30,117.88,118.2,116.91,117.1,11227901
2016-03-31,118.161,118.39,117.6,117.64,10404179
2016-04-01,116.08,116.98,115.55,116.93,10674123
2016-04-04,116.67,116.73,116.07,116.15,9017660
2016-04-05,117.76,117.93,117.15,117.66,9420886
