16:03:48 ±3% ATM volumen dia (expiry por simbolo)
QQQ volC 2,457,092 volP 1,926,423 P/C 0.78 exp 20260731
SPY volC 3,976,248 volP 1,760,490 P/C 0.44 exp 20260731
NVDA volC 1,748,544 volP 419,769 P/C 0.24 exp 20260731
TSLA volC 845,580 volP 650,214 P/C 0.77 exp 20260731
MU volC 97,229 volP 230,721 P/C 2.37 exp 20260731
SMH volC 12,530 volP 19,185 P/C 1.53 exp 20260731
AMD volC 39,590 volP 84,072 P/C 2.12 exp 20260731
AAPL volC 567,499 volP 281,260 P/C 0.50 exp 20260731
MSFT volC 322,824 volP 135,384 P/C 0.42 exp 20260731
META volC 173,610 volP 62,454 P/C 0.36 exp 20260731
AMZN volC 510,280 volP 178,752 P/C 0.35 exp 20260731
GOOGL volC 271,668 volP 74,685 P/C 0.27 exp 20260731
INTC volC 44,916 volP 98,658 P/C 2.20 exp 20260731
TSM volC 10,653 volP 8,116 P/C 0.76 exp 20260731
ASML volC 730 volP 1,349 P/C 1.85 exp 20260731
TXN volC 936 volP 412 P/C 0.44 exp 20260731
QCOM volC 6,150 volP 10,567 P/C 1.72 exp 20260731
AVGO volC 41,966 volP 26,450 P/C 0.63 exp 20260731
NFLX volC 71,903 volP 28,560 P/C 0.40 exp 20260731
NOK volC 11,598 volP 4,674 P/C 0.40 exp 20260731
GLD volC 25,470 volP 18,307 P/C 0.72 exp 20260731
XLK volC 2,607 volP 2,408 P/C 0.92 exp 20260731
EWY volC 3,957 volP 2,836 P/C 0.72 exp 20260731
DRAM volC 44,378 volP 34,943 P/C 0.79 exp 20260731
SPCX volC 59,613 volP 91,968 P/C 1.54 exp 20260731
SKHY volC 9,292 volP 15,187 P/C 1.63 exp 20260731
LRCX volC 3,466 volP 3,424 P/C 0.99 exp 20260731
SNDK volC 12,670 volP 32,599 P/C 2.57 exp 20260731
WDC volC 3,540 volP 2,572 P/C 0.73 exp 20260731
STX volC 2,389 volP 1,552 P/C 0.65 exp 20260731
