date,volC,volP,pc,spot
2026-04-17,8144,142,0.0174,0.00
2026-04-20,4454,96,0.0216,0.00
2026-04-21,3729,1295,0.3473,0.00
2026-04-22,8702,15826,1.8187,0.00
2026-04-23,7886,21262,2.6962,481.90
2026-04-24,33388,55541,1.6635,506.48
2026-04-27,9211,25345,2.7516,506.19
2026-04-28,21914,21127,0.9641,491.43
2026-04-29,8130,24489,3.0122,499.52
2026-04-30,9417,17292,1.8363,506.52
2026-05-01,10862,12175,1.1209,509.70
2026-05-04,3420,112,0.0327,506.67
2026-05-05,6429,1004,0.1562,523.00
2026-05-06,14477,19962,1.3789,549.32
2026-05-07,8220,12976,1.5786,540.02
2026-05-08,26547,49395,1.8607,566.68
2026-05-11,11017,28473,2.5845,576.39
2026-05-12,16530,42561,2.5748,561.26
2026-05-13,6771,26781,3.9553,572.14
2026-05-14,13778,23365,1.6958,578.24
2026-05-15,24705,68096,2.7564,555.80
2026-05-18,10062,20865,2.0736,546.15
2026-05-19,9752,20122,2.0634,543.90
2026-05-20,15639,20321,1.2994,564.40
2026-05-21,9977,15995,1.6032,567.56
2026-05-22,21318,28655,1.3442,576.37
2026-05-26,6827,20298,2.9732,601.97
2026-05-27,9219,27162,2.9463,595.56
2026-05-28,7177,29224,4.0719,600.01
2026-05-29,15334,94597,6.1691,598.98
2026-06-01,3779,24043,6.3623,607.69
2026-06-02,3213,25293,7.8721,632.32
2026-06-03,837,176568,210.9534,637.88
2026-06-04,2230,66075,29.6300,628.10
2026-06-05,40947,142575,3.4819,569.72
2026-06-08,12723,14736,1.1582,597.53
2026-06-09,19181,22857,1.1916,590.98
2026-06-10,17175,7663,0.4462,570.56
2026-06-11,19406,14448,0.7445,609.48
2026-06-12,19843,16078,0.8103,619.50
2026-06-22,430,31962,74.3302,668.79
2026-06-23,8955,50459,5.6347,621.44
2026-06-24,8150,83493,10.2445,619.12
2026-06-25,10322,63100,6.1132,636.73
2026-06-26,8097,36025,4.4492,609.52
2026-07-06,8305,33771,4.0663,604.74
2026-07-07,17337,17778,1.0254,581.07
2026-07-08,13039,10034,0.7695,593.26
2026-07-09,19223,22508,1.1709,607.84
2026-07-10,17419,30364,1.7432,611.15
2026-07-13,4188,45753,10.9248,585.42
2026-07-14,3083,17261,5.5988,600.13
2026-07-15,8521,61134,7.1745,590.54
2026-07-16,12695,63697,5.0175,568.78
2026-07-17,20843,55572,2.6662,556.12
