date,volC,volP,pc,spot
2026-04-17,175007,50351,0.2877,0.00
2026-04-20,203744,77207,0.3789,0.00
2026-04-21,254042,87252,0.3435,0.00
2026-04-22,338793,108993,0.3217,0.00
2026-04-23,762154,246142,0.3230,199.71
2026-04-24,2435033,1042162,0.4280,208.19
2026-04-27,165383,181580,1.0979,216.63
2026-04-28,166293,162534,0.9774,213.15
2026-04-29,248293,168781,0.6798,209.34
2026-04-30,1032131,552558,0.5354,199.53
2026-05-01,1486850,565104,0.3801,198.39
2026-05-04,280190,19397,0.0692,198.56
2026-05-05,189491,11243,0.0593,196.50
2026-05-06,761337,141835,0.1863,207.67
2026-05-07,1329426,466497,0.3509,211.54
2026-05-08,1865598,517548,0.2774,215.19
2026-05-11,546783,111528,0.2040,219.48
2026-05-12,475724,128608,0.2703,220.91
2026-05-13,752811,211388,0.2808,225.83
2026-05-14,1335918,644336,0.4823,235.75
2026-05-15,1602077,750820,0.4687,225.04
2026-05-18,255874,155404,0.6073,222.36
2026-05-19,251658,194958,0.7747,220.63
2026-05-20,360901,361932,1.0029,223.44
2026-05-21,923471,579093,0.6271,219.50
2026-05-22,1619606,804856,0.4969,215.25
2026-05-26,356848,143217,0.4013,214.84
2026-05-27,494616,188727,0.3816,212.57
2026-05-28,913989,298644,0.3267,214.26
2026-05-29,1535845,708219,0.4611,211.15
2026-06-01,138739,134029,0.9661,224.42
2026-06-02,59384,100290,1.6888,222.82
2026-06-03,215499,142451,0.6610,214.85
2026-06-04,702421,547157,0.7790,218.72
2026-06-05,1555470,1136652,0.7307,205.10
2026-06-08,206956,86825,0.4195,208.67
2026-06-09,237207,157183,0.6626,208.19
2026-06-10,287026,195616,0.6815,200.31
2026-06-11,773113,523954,0.6777,204.76
2026-06-12,983937,597270,0.6070,205.14
2026-06-22,25124,51156,2.0361,208.67
2026-06-23,81058,121708,1.5015,200.01
2026-06-24,204466,241340,1.1803,199.08
2026-06-25,524951,435919,0.8304,195.92
2026-06-26,676013,502025,0.7426,191.74
2026-07-06,215533,32577,0.1511,195.54
2026-07-07,283463,46093,0.1626,196.93
2026-07-08,723209,171762,0.2375,204.12
2026-07-09,1084897,336072,0.3098,202.73
2026-07-10,2301023,838104,0.3642,210.96
2026-07-13,218627,123615,0.5654,203.56
2026-07-14,346943,137307,0.3958,211.81
2026-07-15,437696,199429,0.4556,212.50
2026-07-16,807597,410296,0.5080,207.46
2026-07-17,1316049,742410,0.5641,202.66
