date,volC,volP,pc,spot
2026-04-17,309727,385704,1.2453,0.00
2026-04-20,176434,298155,1.6899,0.00
2026-04-21,267177,587027,2.1971,0.00
2026-04-22,220950,549771,2.4882,0.00
2026-04-23,825973,1151635,1.3943,708.46
2026-04-24,3330374,4394667,1.3196,713.97
2026-04-27,130596,200245,1.5333,715.16
2026-04-28,200640,207297,1.0332,711.68
2026-04-29,211219,249381,1.1807,711.58
2026-04-30,747281,843255,1.1284,718.41
2026-05-01,3966396,4073020,1.0269,720.67
2026-05-04,168161,258507,1.5373,718.08
2026-05-05,179909,181872,1.0109,723.71
2026-05-06,316214,368342,1.1649,733.77
2026-05-07,766321,861657,1.1244,731.54
2026-05-08,2939553,3608206,1.2275,737.51
2026-05-11,182352,264419,1.4500,739.20
2026-05-12,224790,375179,1.6690,738.19
2026-05-13,281840,361575,1.2829,742.30
2026-05-14,863446,797058,0.9231,748.08
2026-05-15,4046488,3704991,0.9156,739.08
2026-05-18,196136,235158,1.1990,738.56
2026-05-19,263411,244263,0.9273,733.78
2026-05-20,276683,274080,0.9906,741.30
2026-05-21,828806,841586,1.0154,742.71
2026-05-22,4144576,3410051,0.8228,745.59
2026-05-26,245895,267608,1.0883,750.47
2026-05-27,208120,204673,0.9834,750.48
2026-05-28,577204,641495,1.1114,754.64
2026-05-29,3839576,3107886,0.8094,756.40
2026-06-01,143289,157681,1.1004,758.43
2026-06-02,223844,239587,1.0703,759.47
2026-06-03,286596,395869,1.3813,754.19
2026-06-04,690549,850590,1.2318,757.03
2026-06-05,5698389,6462779,1.1341,737.40
2026-06-08,196186,203087,1.0352,739.31
2026-06-09,336840,405631,1.2042,737.06
2026-06-10,376577,349729,0.9287,725.42
2026-06-11,1071256,857698,0.8006,737.67
2026-06-12,4969595,4269846,0.8592,741.66
2026-06-22,175983,133704,0.7598,743.99
2026-06-23,203225,212574,1.0460,733.67
2026-06-24,333418,336449,1.0091,733.02
2026-06-25,753262,887851,1.1787,733.38
2026-06-26,3946701,5235990,1.3267,729.51
2026-07-06,174377,157115,0.9010,751.31
2026-07-07,267134,227897,0.8531,747.69
2026-07-08,308329,302386,0.9807,745.28
2026-07-09,830481,830196,0.9997,751.65
2026-07-10,4462770,4222401,0.9461,754.88
2026-07-13,236666,546287,2.3083,749.10
2026-07-14,243034,310434,1.2773,751.87
2026-07-15,364014,521866,1.4336,754.73
2026-07-16,1032036,1151474,1.1157,750.83
2026-07-17,3753206,4899597,1.3054,743.16
