epoch,volC,volP,pc,spot
1776432600,2991,181,0.0605,0.00
1776432900,6627,406,0.0613,0.00
1776433200,8194,632,0.0771,0.00
1776433500,9685,925,0.0955,0.00
1776433800,10822,1198,0.1107,0.00
1776434100,13002,1469,0.1130,0.00
1776434400,13996,1791,0.1280,0.00
1776434700,15114,1879,0.1243,0.00
1776435000,16038,1954,0.1218,0.00
1776435300,16624,3217,0.1935,0.00
1776435600,17471,3589,0.2054,0.00
1776435900,17819,3599,0.2020,0.00
1776436200,18163,3685,0.2029,0.00
1776436500,18393,3742,0.2034,0.00
1776436800,18957,3785,0.1997,0.00
1776437100,19865,3841,0.1934,0.00
1776437400,21363,3872,0.1812,0.00
1776437700,21942,3956,0.1803,0.00
1776438000,22331,3981,0.1783,0.00
1776438300,23595,4013,0.1701,0.00
1776438600,23904,4071,0.1703,0.00
1776438900,24375,4083,0.1675,0.00
1776439200,25365,4152,0.1637,0.00
1776439500,25931,4223,0.1629,0.00
1776439800,26239,4233,0.1613,0.00
1776440100,26723,4251,0.1591,0.00
1776440400,27292,4313,0.1580,0.00
1776440700,28120,4419,0.1571,0.00
1776441000,28416,4455,0.1568,0.00
1776441300,30089,4587,0.1524,0.00
1776441600,31284,4673,0.1494,0.00
1776441900,31535,4691,0.1488,0.00
1776442200,31771,4705,0.1481,0.00
1776442500,32224,4724,0.1466,0.00
1776442800,32503,4724,0.1453,0.00
1776443100,32629,4737,0.1452,0.00
1776443400,33400,4747,0.1421,0.00
1776443700,34088,4805,0.1410,0.00
1776444000,34564,4902,0.1418,0.00
1776444300,34852,4905,0.1407,0.00
1776444600,35045,4952,0.1413,0.00
1776444900,35301,5004,0.1418,0.00
1776445200,35493,5041,0.1420,0.00
1776445500,35782,5103,0.1426,0.00
1776445800,35989,5163,0.1435,0.00
1776446100,36225,5245,0.1448,0.00
1776446400,36863,5328,0.1445,0.00
1776446700,37002,5418,0.1464,0.00
1776447000,37219,5453,0.1465,0.00
1776447300,37741,5522,0.1463,0.00
1776447600,37838,5558,0.1469,0.00
1776447900,38368,5573,0.1453,0.00
1776448200,38684,5589,0.1445,0.00
1776448500,38938,5654,0.1452,0.00
