epoch,volC,volP,pc,spot
1776430800,1023,5,0.0049,0.00
1776434400,4797,12,0.0025,0.00
1776438000,5438,16,0.0029,0.00
1776441600,5797,30,0.0052,0.00
1776445200,6451,41,0.0064,0.00
1776448800,6925,41,0.0059,0.00
1776452400,8095,142,0.0175,0.00
1776456000,8144,142,0.0174,0.00
1776690000,1606,58,0.0361,0.00
1776693600,3202,75,0.0234,0.00
1776697200,3730,77,0.0206,0.00
1776700800,4007,78,0.0195,0.00
1776704400,4226,79,0.0187,0.00
1776708000,4351,84,0.0193,0.00
1776711600,4452,96,0.0216,0.00
1776715200,4454,96,0.0216,0.00
1776776400,380,103,0.2711,0.00
1776780000,1097,571,0.5205,0.00
1776783600,1484,587,0.3956,0.00
1776787200,2479,693,0.2795,0.00
1776790800,2720,740,0.2721,0.00
1776794400,2879,853,0.2963,0.00
1776798000,3705,1295,0.3495,0.00
1776801600,3729,1295,0.3473,0.00
1776862800,733,153,0.2087,0.00
1776866400,2734,2325,0.8504,0.00
1776870000,3662,5199,1.4197,0.00
1776873600,4256,5371,1.2620,0.00
1776877200,6828,10687,1.5652,0.00
1776880800,7689,11543,1.5012,0.00
1776884400,8601,12786,1.4866,0.00
1776888000,8702,15826,1.8187,0.00
1776949200,2108,2822,1.3387,481.90
1776952800,3509,4463,1.2719,481.90
1776956400,4606,8510,1.8476,481.90
1776960000,5358,11210,2.0922,481.90
1776963600,6507,14003,2.1520,481.90
1776967200,7172,17055,2.3780,481.90
1776970800,7711,20750,2.6910,481.90
1776974400,7886,21262,2.6962,481.90
1777035600,8508,12758,1.4995,506.48
1777039200,12982,25042,1.9290,506.48
1777042800,17639,33904,1.9221,506.48
1777046400,23773,39747,1.6719,506.48
1777050000,25411,43778,1.7228,506.48
1777053600,28724,47086,1.6393,506.48
1777057200,33362,55329,1.6584,506.48
1777060800,33388,55541,1.6635,506.48
1777294800,2004,6860,3.4232,506.19
1777298400,3863,16952,4.3883,506.19
1777302000,4873,18359,3.7675,506.19
1777305600,5458,19748,3.6182,506.19
1777309200,5899,22210,3.7650,506.19
1777312800,6111,23480,3.8423,506.19
1777316400,9203,25295,2.7486,506.19
1777320000,9211,25345,2.7516,506.19
1777381200,5701,6075,1.0656,491.43
1777384800,11612,10316,0.8884,491.43
1777388400,16110,11705,0.7266,491.43
1777392000,16571,12247,0.7391,491.43
1777395600,19987,14149,0.7079,491.43
1777399200,20449,15221,0.7443,491.43
1777402800,21877,21099,0.9644,491.43
1777406400,21914,21127,0.9641,491.43
1777467600,640,2823,4.4109,499.52
1777471200,2445,4532,1.8536,499.52
1777474800,3073,5889,1.9164,499.52
1777478400,4188,6650,1.5879,499.52
1777482000,5360,7461,1.3920,499.52
1777485600,5763,15973,2.7716,499.52
1777489200,7968,23909,3.0006,499.52
1777492800,8130,24489,3.0122,499.52
1777554000,1846,2428,1.3153,506.52
1777557600,4531,5719,1.2622,506.52
1777561200,5306,9163,1.7269,506.52
1777564800,5556,9843,1.7716,506.52
1777568400,6610,12733,1.9263,506.52
1777572000,8285,13327,1.6086,506.52
1777575600,9379,16330,1.7411,506.52
1777579200,9417,17292,1.8363,506.52
1777640400,1142,2084,1.8249,509.70
1777644000,3857,4525,1.1732,509.70
1777647600,5061,6758,1.3353,509.70
1777651200,5697,7539,1.3233,509.70
1777654800,6466,8865,1.3710,509.70
1777658400,7781,10023,1.2881,509.70
1777662000,10814,12070,1.1161,509.70
1777665600,10862,12175,1.1209,509.70
1777899600,617,22,0.0357,506.67
1777903200,822,40,0.0487,506.67
1777906800,2118,61,0.0288,506.67
1777910400,2352,81,0.0344,506.67
1777914000,3058,86,0.0281,506.67
1777917600,3212,97,0.0302,506.67
1777921200,3412,112,0.0328,506.67
1777924800,3420,112,0.0327,506.67
1777986000,489,60,0.1227,523.00
1777989600,1834,137,0.0747,523.00
1777993200,3208,367,0.1144,523.00
1777996800,3825,534,0.1396,523.00
1778000400,5075,625,0.1232,523.00
1778004000,5620,859,0.1528,523.00
1778007600,6308,994,0.1576,523.00
1778011200,6429,1004,0.1562,523.00
1778072400,2818,4425,1.5703,549.32
1778076000,5248,7653,1.4583,549.32
1778079600,7354,8276,1.1254,549.32
1778083200,7870,9614,1.2216,549.32
1778086800,8463,10977,1.2971,549.32
1778090400,9115,11877,1.3030,549.32
1778094000,14360,19844,1.3819,549.32
1778097600,14477,19962,1.3789,549.32
1778158800,1597,2309,1.4458,540.02
1778162400,3197,4366,1.3657,540.02
1778166000,3738,5334,1.4270,540.02
1778169600,4932,6389,1.2954,540.02
1778173200,6551,7503,1.1453,540.02
1778176800,7630,9278,1.2160,540.02
1778180400,8203,12963,1.5803,540.02
