epoch,volC,volP,pc,spot
1776430800,26842,6609,0.2462,0.00
1776434400,61341,19100,0.3114,0.00
1776438000,77942,22378,0.2871,0.00
1776441600,96288,25159,0.2613,0.00
1776445200,119517,29612,0.2478,0.00
1776448800,133094,34112,0.2563,0.00
1776452400,175006,50351,0.2877,0.00
1776456000,175007,50351,0.2877,0.00
1776690000,37717,14258,0.3780,0.00
1776693600,79666,34947,0.4387,0.00
1776697200,102307,45637,0.4461,0.00
1776700800,118661,52919,0.4460,0.00
1776704400,142051,58534,0.4121,0.00
1776708000,170975,65833,0.3850,0.00
1776711600,203743,77207,0.3789,0.00
1776715200,203744,77207,0.3789,0.00
1776776400,42269,15709,0.3716,0.00
1776780000,82868,33860,0.4086,0.00
1776783600,114806,44490,0.3875,0.00
1776787200,143390,54640,0.3811,0.00
1776790800,179880,64894,0.3608,0.00
1776794400,212017,73601,0.3471,0.00
1776798000,254042,87252,0.3435,0.00
1776862800,43393,20128,0.4639,0.00
1776866400,124195,41861,0.3371,0.00
1776870000,169985,62787,0.3694,0.00
1776873600,195938,72867,0.3719,0.00
1776877200,247136,84501,0.3419,0.00
1776880800,291687,95036,0.3258,0.00
1776884400,338782,108993,0.3217,0.00
1776888000,338793,108993,0.3217,0.00
1776949200,200475,57369,0.2862,199.71
1776952800,354377,106083,0.2994,199.71
1776956400,453525,135893,0.2996,199.71
1776960000,517256,152628,0.2951,199.71
1776963600,625298,203707,0.3258,199.71
1776967200,682513,222442,0.3259,199.71
1776970800,762153,246118,0.3229,199.71
1776974400,762154,246142,0.3230,199.71
1777035600,336692,100623,0.2989,208.19
1777039200,1045730,316800,0.3029,208.19
1777042800,1657399,605287,0.3652,208.19
1777046400,1944516,763382,0.3926,208.19
1777050000,2060104,842839,0.4091,208.19
1777053600,2238144,942420,0.4211,208.19
1777057200,2435033,1042162,0.4280,208.19
1777294800,36855,36471,0.9896,216.63
1777298400,72040,62089,0.8619,216.63
1777302000,90063,78613,0.8729,216.63
1777305600,120736,105703,0.8755,216.63
1777309200,136263,126565,0.9288,216.63
1777312800,151477,157457,1.0395,216.63
1777316400,165383,181580,1.0979,216.63
1777381200,33435,46310,1.3851,213.15
1777384800,69187,82900,1.1982,213.15
1777388400,90534,106165,1.1727,213.15
1777392000,112151,118746,1.0588,213.15
1777395600,132736,130760,0.9851,213.15
1777399200,148455,146485,0.9867,213.15
1777402800,166280,162534,0.9775,213.15
1777406400,166293,162534,0.9774,213.15
1777467600,23991,34232,1.4269,209.34
1777471200,50099,57175,1.1412,209.34
1777474800,74612,69242,0.9280,209.34
1777478400,106015,88042,0.8305,209.34
1777482000,125994,102106,0.8104,209.34
1777485600,183444,133731,0.7290,209.34
1777489200,248272,168771,0.6798,209.34
1777492800,248293,168781,0.6798,209.34
1777554000,111232,156793,1.4096,199.53
1777557600,438029,349502,0.7979,199.53
1777561200,567852,408617,0.7196,199.53
1777564800,708333,459536,0.6488,199.53
1777568400,818013,483755,0.5914,199.53
1777572000,914097,506726,0.5543,199.53
1777575600,1032094,552555,0.5354,199.53
1777579200,1032131,552558,0.5354,199.53
1777640400,296756,122472,0.4127,198.39
1777644000,719409,303147,0.4214,198.39
1777647600,896935,379287,0.4229,198.39
1777651200,1058510,426747,0.4032,198.39
1777654800,1214352,477582,0.3933,198.39
1777658400,1335210,516777,0.3870,198.39
1777662000,1486848,565104,0.3801,198.39
1777665600,1486850,565104,0.3801,198.39
1777899600,63406,7491,0.1181,198.56
1777903200,123043,10617,0.0863,198.56
1777906800,172637,13861,0.0803,198.56
1777910400,201344,14757,0.0733,198.56
1777914000,224214,15604,0.0696,198.56
1777917600,255390,16740,0.0655,198.56
1777921200,280190,19397,0.0692,198.56
1777986000,51415,3329,0.0647,196.50
1777989600,96846,6906,0.0713,196.50
1777993200,118137,7599,0.0643,196.50
1777996800,138126,8537,0.0618,196.50
1778000400,149390,9558,0.0640,196.50
1778004000,166654,10258,0.0616,196.50
1778007600,189491,11243,0.0593,196.50
1778072400,181096,16488,0.0910,207.67
1778076000,389786,48364,0.1241,207.67
1778079600,494093,79166,0.1602,207.67
1778083200,544462,91075,0.1673,207.67
1778086800,584101,100727,0.1724,207.67
1778090400,667097,122984,0.1844,207.67
1778094000,761328,141831,0.1863,207.67
1778097600,761337,141835,0.1863,207.67
1778158800,227301,59272,0.2608,211.54
1778162400,657514,192673,0.2930,211.54
1778166000,828773,288386,0.3480,211.54
1778169600,1013698,371060,0.3660,211.54
1778173200,1138852,404834,0.3555,211.54
1778176800,1197073,432228,0.3611,211.54
1778180400,1329426,466497,0.3509,211.54
1778245200,491922,106526,0.2166,215.19
1778248800,943549,257528,0.2729,215.19
1778252400,1188352,345595,0.2908,215.19
1778256000,1367872,401439,0.2935,215.19
1778259600,1538528,437662,0.2845,215.19
1778263200,1658710,472958,0.2851,215.19
1778266800,1865585,517548,0.2774,215.19
1778270400,1865598,517548,0.2774,215.19
1778504400,120837,26928,0.2228,219.48
1778508000,287863,52846,0.1836,219.48
1778511600,354584,71562,0.2018,219.48
1778515200,404897,83191,0.2055,219.48
1778518800,444155,90068,0.2028,219.48
1778522400,477177,96971,0.2032,219.48
1778526000,546772,111528,0.2040,219.48
1778529600,546783,111528,0.2040,219.48
1778590800,91314,34561,0.3785,220.91
1778594400,187523,68922,0.3675,220.91
1778598000,261601,89245,0.3411,220.91
1778601600,301331,98889,0.3282,220.91
1778605200,350857,106709,0.3041,220.91
1778608800,395853,116349,0.2939,220.91
1778612400,475724,128608,0.2703,220.91
1778677200,144249,39078,0.2709,225.83
1778680800,237147,65410,0.2758,225.83
1778684400,398610,95091,0.2386,225.83
1778688000,521358,120363,0.2309,225.83
1778691600,630121,151708,0.2408,225.83
1778695200,687191,183871,0.2676,225.83
1778698800,752811,211388,0.2808,225.83
1778763600,368977,126114,0.3418,235.75
1778767200,736427,299332,0.4065,235.75
1778770800,875639,397052,0.4534,235.75
1778774400,981225,452305,0.4610,235.75
1778778000,1095738,531289,0.4849,235.75
1778781600,1202049,578449,0.4812,235.75
1778785200,1335918,644336,0.4823,235.75
1778850000,324770,180814,0.5567,225.04
1778853600,645645,342730,0.5308,225.04
1778857200,866270,456870,0.5274,225.04
1778860800,992574,518724,0.5226,225.04
1778864400,1169853,585150,0.5002,225.04
1778868000,1420128,670207,0.4719,225.04
1778871600,1602065,750819,0.4687,225.04
1778875200,1602077,750820,0.4687,225.04
1779109200,79984,28220,0.3528,222.36
1779112800,129928,61406,0.4726,222.36
1779116400,153080,77792,0.5082,222.36
1779120000,179890,97208,0.5404,222.36
1779123600,194510,105857,0.5442,222.36
1779127200,225131,136611,0.6068,222.36
1779130800,255874,155404,0.6073,222.36
1779195600,43023,28492,0.6623,220.63
1779199200,107228,85073,0.7934,220.63
1779202800,136188,105836,0.7771,220.63
1779206400,167094,129776,0.7767,220.63
1779210000,203932,152706,0.7488,220.63
1779213600,224297,172919,0.7709,220.63
1779217200,251658,194958,0.7747,220.63
1779282000,49976,36259,0.7255,223.44
1779285600,134089,88714,0.6616,223.44
1779289200,171951,134805,0.7840,223.44
1779292800,206984,167207,0.8078,223.44
1779296400,239384,197482,0.8250,223.44
1779300000,281474,257687,0.9155,223.44
1779303600,360901,361932,1.0029,223.44
1779368400,155514,131974,0.8486,219.50
1779372000,408277,318090,0.7791,219.50
1779375600,534688,382419,0.7152,219.50
1779379200,607353,413544,0.6809,219.50
1779382800,736586,467983,0.6353,219.50
1779386400,823217,532745,0.6472,219.50
1779390000,923350,579093,0.6272,219.50
1779393600,923471,579093,0.6271,219.50
1779454800,272029,171397,0.6301,215.25
1779458400,672987,365002,0.5424,215.25
1779462000,936701,463904,0.4953,215.25
1779465600,1096298,528513,0.4821,215.25
1779469200,1335735,616534,0.4616,215.25
1779472800,1464242,690235,0.4714,215.25
1779476400,1619605,804856,0.4969,215.25
1779480000,1619606,804856,0.4969,215.25
1779800400,49095,25819,0.5259,214.84
1779804000,147200,55233,0.3752,214.84
1779807600,210785,93690,0.4445,214.84
1779811200,264360,106877,0.4043,214.84
1779814800,287147,115896,0.4036,214.84
1779818400,312145,127583,0.4087,214.84
1779822000,356848,143217,0.4013,214.84
1779886800,83276,39014,0.4685,212.57
1779890400,192684,83397,0.4328,212.57
1779894000,256562,111304,0.4338,212.57
1779897600,318767,127613,0.4003,212.57
1779901200,386908,143933,0.3720,212.57
1779904800,429595,164277,0.3824,212.57
1779908400,494616,188727,0.3816,212.57
1779973200,179764,73688,0.4099,214.26
1779976800,366883,137799,0.3756,214.26
1779980400,470790,169472,0.3600,214.26
1779984000,555232,197901,0.3564,214.26
1779987600,708234,230385,0.3253,214.26
1779991200,796782,257825,0.3236,214.26
1779994800,913988,298644,0.3267,214.26
1779998400,913989,298644,0.3267,214.26
1780059600,299001,96917,0.3241,211.15
1780063200,675651,242429,0.3588,211.15
1780066800,878390,322903,0.3676,211.15
1780070400,1043031,416514,0.3993,211.15
1780074000,1147151,471625,0.4111,211.15
1780077600,1292349,547238,0.4234,211.15
1780081200,1535607,708219,0.4612,211.15
1780084800,1535845,708219,0.4611,211.15
1780318800,33957,23538,0.6932,224.42
1780322400,69276,66144,0.9548,224.42
1780326000,83102,76627,0.9221,224.42
1780329600,95990,89161,0.9289,224.42
1780333200,115755,107899,0.9321,224.42
1780336800,129276,120905,0.9352,224.42
1780340400,138738,134028,0.9661,224.42
1780344000,138739,134029,0.9661,224.42
1780405200,16163,28645,1.7723,222.82
1780408800,25784,55060,2.1354,222.82
1780412400,28819,61332,2.1282,222.82
1780416000,33656,70692,2.1004,222.82
1780419600,41183,80026,1.9432,222.82
1780423200,47704,88599,1.8573,222.82
1780426800,59384,100290,1.6888,222.82
1780491600,18704,24236,1.2958,214.85
1780495200,70542,54260,0.7692,214.85
1780498800,110836,70651,0.6374,214.85
1780502400,143580,96511,0.6722,214.85
1780506000,159943,105971,0.6626,214.85
1780509600,178050,116120,0.6522,214.85
1780513200,215415,142451,0.6613,214.85
1780516800,215499,142451,0.6610,214.85
1780578000,89796,99912,1.1127,218.72
1780581600,249870,195967,0.7843,218.72
1780585200,395994,268630,0.6784,218.72
1780588800,495716,324012,0.6536,218.72
1780592400,562797,379789,0.6748,218.72
1780596000,634456,445613,0.7024,218.72
1780599600,702348,547157,0.7790,218.72
1780603200,702421,547157,0.7790,218.72
1780664400,122784,122196,0.9952,205.10
1780668000,407066,291292,0.7156,205.10
1780671600,771333,520933,0.6754,205.10
1780675200,1006211,692189,0.6879,205.10
1780678800,1194968,816922,0.6836,205.10
1780682400,1411772,986908,0.6991,205.10
1780686000,1555438,1136652,0.7308,205.10
1780689600,1555470,1136652,0.7307,205.10
1780923600,60101,19496,0.3244,208.67
1780927200,108375,35292,0.3256,208.67
1780930800,142360,49722,0.3493,208.67
1780934400,160632,58308,0.3630,208.67
1780938000,174997,66680,0.3810,208.67
1780941600,189316,73249,0.3869,208.67
1780945200,206956,86823,0.4195,208.67
1780948800,206956,86825,0.4195,208.67
1781010000,27617,11475,0.4155,208.19
1781013600,66854,53544,0.8009,208.19
1781017200,105096,76474,0.7277,208.19
1781020800,140417,110442,0.7865,208.19
1781024400,172777,130127,0.7532,208.19
1781028000,206741,140065,0.6775,208.19
1781031600,236989,157183,0.6633,208.19
1781035200,237207,157183,0.6626,208.19
1781096400,21077,14596,0.6925,200.31
1781100000,65915,39520,0.5996,200.31
1781103600,112016,77709,0.6937,200.31
1781107200,136436,92355,0.6769,200.31
1781110800,163486,110532,0.6761,200.31
1781114400,199220,135315,0.6792,200.31
1781118000,286830,195616,0.6820,200.31
1781121600,287026,195616,0.6815,200.31
1781182800,94372,35128,0.3722,204.76
1781186400,215853,131882,0.6110,204.76
1781190000,312956,210717,0.6733,204.76
1781193600,374939,269630,0.7191,204.76
1781197200,499606,354975,0.7105,204.76
1781200800,599524,419162,0.6992,204.76
1781204400,773081,523954,0.6777,204.76
1781208000,773113,523954,0.6777,204.76
1781269200,101399,47650,0.4699,205.14
1781272800,306730,181665,0.5923,205.14
1781276400,503667,317087,0.6296,205.14
1781280000,631821,378671,0.5993,205.14
1781283600,733857,442410,0.6029,205.14
1781287200,862416,542891,0.6295,205.14
1781290800,983934,597270,0.6070,205.14
1781294400,983937,597270,0.6070,205.14
1782133200,2017,9344,4.6326,208.67
1782136800,6559,23172,3.5329,208.67
1782140400,14275,33932,2.3770,208.67
1782144000,17950,37095,2.0666,208.67
1782147600,19509,41685,2.1367,208.67
1782151200,21675,44617,2.0585,208.67
1782154800,25124,51156,2.0361,208.67
1782219600,14154,17922,1.2662,200.01
1782223200,24758,32321,1.3055,200.01
1782226800,42324,55390,1.3087,200.01
1782230400,50510,63671,1.2606,200.01
1782234000,56510,81564,1.4434,200.01
1782237600,66508,101084,1.5199,200.01
1782241200,81056,121708,1.5015,200.01
1782244800,81058,121708,1.5015,200.01
1782306000,15609,15837,1.0146,199.08
1782309600,50130,65274,1.3021,199.08
1782313200,67180,94953,1.4134,199.08
1782316800,85232,122366,1.4357,199.08
1782320400,119004,159955,1.3441,199.08
1782324000,151317,188935,1.2486,199.08
1782327600,204466,241340,1.1803,199.08
1782392400,71973,81739,1.1357,195.92
1782396000,188338,180135,0.9564,195.92
1782399600,255384,244423,0.9571,195.92
1782403200,326486,299364,0.9169,195.92
1782406800,380986,341422,0.8962,195.92
1782410400,445799,386855,0.8678,195.92
1782414000,524951,435914,0.8304,195.92
1782417600,524951,435919,0.8304,195.92
1782478800,78721,54136,0.6877,191.74
1782482400,212933,155186,0.7288,191.74
1782486000,366643,263087,0.7176,191.74
1782489600,434208,322490,0.7427,191.74
1782493200,525805,384176,0.7306,191.74
1782496800,598059,447131,0.7476,191.74
1782500400,676013,502025,0.7426,191.74
1783342800,44608,4842,0.1085,195.54
1783346400,111124,13679,0.1231,195.54
1783350000,135959,18657,0.1372,195.54
1783353600,165175,25161,0.1523,195.54
1783357200,179458,28192,0.1571,195.54
1783360800,195125,29699,0.1522,195.54
1783364400,215532,32577,0.1511,195.54
1783368000,215533,32577,0.1511,195.54
1783429200,24848,4160,0.1674,196.93
1783432800,94763,8149,0.0860,196.93
1783436400,128664,10090,0.0784,196.93
1783440000,203800,20403,0.1001,196.93
1783443600,238508,28229,0.1184,196.93
1783447200,258522,39702,0.1536,196.93
1783450800,283463,46093,0.1626,196.93
1783515600,44639,12569,0.2816,204.12
1783519200,118496,43560,0.3676,204.12
1783522800,185631,57413,0.3093,204.12
1783526400,280761,76467,0.2724,204.12
1783530000,453020,108512,0.2395,204.12
1783533600,564232,130110,0.2306,204.12
1783537200,723209,171762,0.2375,204.12
1783602000,125017,39684,0.3174,202.73
1783605600,413709,153084,0.3700,202.73
1783609200,555400,199526,0.3592,202.73
1783612800,665400,228063,0.3427,202.73
1783616400,818579,256453,0.3133,202.73
1783620000,926416,285849,0.3086,202.73
1783623600,1084892,336071,0.3098,202.73
1783627200,1084897,336072,0.3098,202.73
1783688400,266767,57442,0.2153,210.96
1783692000,816756,240472,0.2944,210.96
1783695600,1335803,425386,0.3184,210.96
1783699200,1677235,561766,0.3349,210.96
1783702800,1940430,661014,0.3407,210.96
1783706400,2135425,750186,0.3513,210.96
1783710000,2301022,838104,0.3642,210.96
1783713600,2301023,838104,0.3642,210.96
1783947600,24943,17450,0.6996,203.56
1783951200,62336,45325,0.7271,203.56
1783954800,82028,57152,0.6967,203.56
1783958400,134485,75365,0.5604,203.56
1783962000,162871,90299,0.5544,203.56
1783965600,187697,100279,0.5343,203.56
1783969200,218427,123615,0.5659,203.56
1783972800,218627,123615,0.5654,203.56
1784034000,42949,18730,0.4361,211.81
1784037600,117614,40514,0.3445,211.81
1784041200,175628,56464,0.3215,211.81
1784044800,218255,75339,0.3452,211.81
1784048400,266201,93865,0.3526,211.81
1784052000,310945,118505,0.3811,211.81
1784055600,346943,137297,0.3957,211.81
1784059200,346943,137307,0.3958,211.81
1784120400,40424,18977,0.4694,212.50
1784124000,97523,57700,0.5917,212.50
1784127600,140345,84405,0.6014,212.50
1784131200,211379,125771,0.5950,212.50
1784134800,274718,143079,0.5208,212.50
1784138400,330780,162494,0.4912,212.50
1784142000,437694,199429,0.4556,212.50
1784145600,437696,199429,0.4556,212.50
1784206800,75284,54358,0.7220,207.46
1784210400,272404,151564,0.5564,207.46
1784214000,430378,226709,0.5268,207.46
1784217600,544509,281591,0.5171,207.46
1784221200,625074,322342,0.5157,207.46
1784224800,693325,358094,0.5165,207.46
1784228400,807597,410296,0.5080,207.46
1784293200,195168,94517,0.4843,202.66
1784296800,542431,222342,0.4099,202.66
1784300400,718193,320137,0.4458,202.66
1784304000,870184,407712,0.4685,202.66
1784307600,1046500,509290,0.4867,202.66
1784311200,1203661,625564,0.5197,202.66
1784314800,1316049,742410,0.5641,202.66
