epoch,volC,volP,pc,spot
1776430800,13002,1469,0.1130,0.00
1776434400,21942,3956,0.1803,0.00
1776438000,30089,4587,0.1524,0.00
1776441600,35301,5004,0.1418,0.00
1776445200,38938,5654,0.1452,0.00
1776448800,42917,6278,0.1463,0.00
1776452400,52201,7217,0.1383,0.00
1776690000,13238,859,0.0649,0.00
1776693600,32419,2031,0.0626,0.00
1776697200,44987,2538,0.0564,0.00
1776700800,51173,2867,0.0560,0.00
1776704400,55716,3198,0.0574,0.00
1776708000,59603,3818,0.0641,0.00
1776711600,67888,4039,0.0595,0.00
1776715200,67892,4039,0.0595,0.00
1776776400,10193,438,0.0430,0.00
1776780000,22787,1624,0.0713,0.00
1776783600,27848,2473,0.0888,0.00
1776787200,32174,2871,0.0892,0.00
1776790800,38121,3316,0.0870,0.00
1776794400,41704,3638,0.0872,0.00
1776798000,55271,4371,0.0791,0.00
1776862800,48227,6435,0.1334,0.00
1776866400,124671,18353,0.1472,0.00
1776870000,145463,23998,0.1650,0.00
1776873600,178476,30766,0.1724,0.00
1776877200,195047,35932,0.1842,0.00
1776880800,212139,40096,0.1890,0.00
1776884400,243616,48664,0.1998,0.00
1776949200,25680,7684,0.2992,482.00
1776952800,72990,18965,0.2598,482.00
1776956400,114232,28389,0.2485,482.00
1776960000,151024,38285,0.2535,482.00
1776963600,180272,56861,0.3154,482.00
1776967200,194451,61050,0.3140,482.00
1776970800,212276,65062,0.3065,482.00
1777035600,92390,23195,0.2511,496.03
1777039200,179322,49566,0.2764,496.03
1777042800,223552,69941,0.3129,496.03
1777046400,246455,79532,0.3227,496.03
1777050000,273844,87704,0.3203,496.03
1777053600,301647,99034,0.3283,496.03
1777057200,335744,109967,0.3275,496.03
1777060800,335749,109967,0.3275,496.03
1777294800,42296,19392,0.4585,524.71
1777298400,59857,29333,0.4901,524.71
1777302000,77813,37296,0.4793,524.71
1777305600,86572,44331,0.5121,524.71
1777309200,93297,47005,0.5038,524.71
1777312800,97891,48840,0.4989,524.71
1777316400,106145,52900,0.4984,524.71
1777381200,21226,5701,0.2686,504.24
1777384800,42931,15323,0.3569,504.24
1777388400,55717,17009,0.3053,504.24
