date,volC,volP,pc,spot
2026-04-17,232087,196956,0.8486,0.00
2026-04-20,86599,162275,1.8739,0.00
2026-04-21,96300,167091,1.7351,0.00
2026-04-22,151238,254598,1.6834,0.00
2026-04-23,480986,743954,1.5467,651.41
2026-04-24,2074939,2221810,1.0708,663.93
2026-04-27,84411,96368,1.1417,664.28
2026-04-28,142418,117487,0.8249,657.57
2026-04-29,201954,191683,0.9491,661.61
2026-04-30,472662,653442,1.3825,667.60
2026-05-01,1978306,2019512,1.0208,674.16
2026-05-04,64690,96883,1.4977,672.88
2026-05-05,86957,132489,1.5236,681.53
2026-05-06,177444,203763,1.1483,695.58
2026-05-07,503556,629899,1.2509,694.93
2026-05-08,2018633,2505482,1.2412,711.13
2026-05-11,94079,134318,1.4277,713.36
2026-05-12,202009,269820,1.3357,707.21
2026-05-13,195288,205875,1.0542,714.47
2026-05-14,437486,502283,1.1481,719.72
2026-05-15,2355602,2348140,0.9968,708.90
2026-05-18,118127,179667,1.5210,705.71
2026-05-19,151837,161209,1.0617,701.54
2026-05-20,167938,174278,1.0378,713.07
2026-05-21,509237,481547,0.9456,714.45
2026-05-22,2157134,1991807,0.9234,717.43
2026-05-26,141439,211010,1.4919,730.21
2026-05-27,146187,181463,1.2413,729.49
2026-05-28,345833,459945,1.3300,735.54
2026-05-29,2205171,1822637,0.8265,738.27
2026-06-01,60285,190630,3.1621,742.69
2026-06-02,87607,142723,1.6291,746.16
2026-06-03,150861,188759,1.2512,744.24
2026-06-04,493212,596144,1.2087,740.50
2026-06-05,4420141,4044451,0.9150,705.26
2026-06-08,167608,206271,1.2307,716.04
2026-06-09,299381,347199,1.1597,707.88
2026-06-10,272294,238923,0.8774,693.73
2026-06-11,654804,673205,1.0281,716.44
2026-06-12,2664080,2476627,0.9296,721.30
2026-06-22,82972,141247,1.7023,737.98
2026-06-23,198724,217066,1.0923,713.69
2026-06-24,186916,235559,1.2602,710.63
2026-06-25,526182,583719,1.1093,716.27
2026-06-26,2381130,2819755,1.1842,705.88
2026-07-06,124110,111963,0.9021,722.63
2026-07-07,186521,166619,0.8933,709.42
2026-07-08,202723,190370,0.9391,711.28
2026-07-09,451751,425876,0.9427,723.19
2026-07-10,2251889,2582817,1.1470,725.54
2026-07-13,157355,225993,1.4362,711.77
2026-07-14,159309,220207,1.3823,719.68
2026-07-15,307792,338939,1.1012,717.70
2026-07-16,571247,776327,1.3590,706.02
2026-07-17,2735668,3365389,1.2302,695.30
