contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ASML260717P00490000,2026-06-18 13:30:13+00:00,490.0,0.1,0.0,0.25,0.0,0.0,1.0,18,2.416019584960937,False,REGULAR,USD
ASML260717P00500000,2026-06-30 14:56:27+00:00,500.0,0.13,0.0,0.25,0.0,0.0,2.0,25,2.3789103027343748,False,REGULAR,USD
ASML260717P00520000,2026-07-07 15:17:58+00:00,520.0,0.15,0.0,0.25,0.0,0.0,8.0,5,2.306644858398437,False,REGULAR,USD
ASML260717P00540000,2026-04-21 18:24:57+00:00,540.0,1.29,0.0,4.5,0.0,0.0,1.0,0,3.0468773828125,False,REGULAR,USD
ASML260717P00560000,2026-04-24 18:02:47+00:00,560.0,0.59,0.0,4.5,0.0,0.0,1.0,1,2.9575221374511718,False,REGULAR,USD
ASML260717P00580000,2026-07-06 19:54:32+00:00,580.0,0.16,0.05,4.3,0.0,0.0,12.0,12,2.857913011474609,False,REGULAR,USD
ASML260717P00600000,2026-07-06 19:59:07+00:00,600.0,0.11,0.0,0.05,0.0,0.0,2.0,19,1.8046884765624998,False,REGULAR,USD
ASML260717P00620000,2026-07-07 16:53:20+00:00,620.0,0.06,0.0,0.8,-0.040000003,-22.222223,12.0,10,2.209965412597656,False,REGULAR,USD
ASML260717P00640000,2026-07-06 13:43:05+00:00,640.0,0.2,0.0,4.3,0.0,0.0,2.0,15,2.614017136840821,False,REGULAR,USD
ASML260717P00660000,2026-07-07 15:22:34+00:00,660.0,0.1,0.0,1.3,-0.059999995,-37.499996,4.0,104,2.193363891601562,False,REGULAR,USD
ASML260717P00680000,2026-06-30 14:57:20+00:00,680.0,0.09,0.0,4.3,0.0,0.0,2.0,119,2.4668007080078125,False,REGULAR,USD
ASML260717P00700000,2026-07-06 14:50:14+00:00,700.0,0.1,0.0,1.0,0.0,0.0,9.0,245,2.010747160644531,False,REGULAR,USD
ASML260717P00720000,2026-07-07 14:50:09+00:00,720.0,0.16,0.0,0.75,-0.040000007,-20.000002,4.0,205,1.89453177734375,False,REGULAR,USD
ASML260717P00740000,2026-05-29 19:17:54+00:00,740.0,0.56,0.0,4.3,0.0,0.0,3.0,5,2.2617230957031245,False,REGULAR,USD
ASML260717P00760000,2026-07-06 13:50:22+00:00,760.0,0.24,0.0,4.3,0.0,0.0,2.0,30,2.1972701318359373,False,REGULAR,USD
ASML260717P00780000,2026-07-07 15:16:59+00:00,780.0,0.05,0.0,0.05,-0.2,-80.0,33.0,196,1.3750031249999999,False,REGULAR,USD
ASML260717P00800000,2026-07-01 18:12:52+00:00,800.0,0.4,0.0,0.5,0.0,0.0,1.0,155,1.6162128564453124,False,REGULAR,USD
ASML260717P00820000,2026-07-02 16:39:35+00:00,820.0,0.2,0.0,4.3,0.0,0.0,2.0,16,2.0129444207763667,False,REGULAR,USD
ASML260717P00840000,2026-07-02 16:32:17+00:00,840.0,0.3,0.0,1.0,0.0,0.0,4.0,28,1.6337908935546874,False,REGULAR,USD
ASML260717P00860000,2026-07-02 16:34:38+00:00,860.0,0.3,0.0,4.3,0.0,0.0,2.0,41,1.8974614501953124,False,REGULAR,USD
ASML260717P00870000,2026-07-07 15:03:52+00:00,870.0,0.06,0.0,0.75,-0.13,-68.42105,6.0,23,1.5136743066406249,False,REGULAR,USD
ASML260717P00880000,2026-07-06 15:27:58+00:00,880.0,0.2,0.0,4.3,0.0,0.0,2.0,79,1.8417976660156248,False,REGULAR,USD
ASML260717P00890000,2026-07-06 15:29:48+00:00,890.0,0.2,0.0,4.3,0.0,0.0,4.0,140,1.8144540527343749,False,REGULAR,USD
ASML260717P00900000,2026-07-07 15:02:19+00:00,900.0,0.1,0.0,0.1,-0.20000002,-66.66667,290.0,245,1.2070352148437498,False,REGULAR,USD
ASML260717P00910000,2026-07-06 17:00:28+00:00,910.0,0.22,0.0,4.3,0.0,0.0,4.0,128,1.7604992443847656,False,REGULAR,USD
ASML260717P00920000,2026-07-07 14:55:50+00:00,920.0,0.24,0.0,0.95,-0.019999996,-7.692306,2.0,42,1.4370145336914062,False,REGULAR,USD
ASML260717P00930000,2026-07-07 14:54:36+00:00,930.0,0.24,0.0,0.55,0.08,50.0,10.0,105,1.3369173779296872,False,REGULAR,USD
ASML260717P00940000,2026-06-25 17:01:19+00:00,940.0,0.52,0.0,4.3,0.0,0.0,2.0,114,1.681642216796875,False,REGULAR,USD
ASML260717P00950000,2026-07-02 19:07:12+00:00,950.0,0.5,0.0,4.3,0.0,0.0,2.0,147,1.6557634399414063,False,REGULAR,USD
ASML260717P00960000,2026-07-02 19:07:48+00:00,960.0,0.52,0.0,4.3,0.0,0.0,2.0,61,1.6303729418945312,False,REGULAR,USD
ASML260717P00970000,2026-07-01 18:51:53+00:00,970.0,0.42,0.0,0.9,0.0,0.0,20.0,63,1.319827619628906,False,REGULAR,USD
ASML260717P00980000,2026-07-06 17:06:57+00:00,980.0,0.3,0.05,0.25,0.050000012,20.000004,10.0,113,1.1640666796875,False,REGULAR,USD
ASML260717P00990000,2026-07-07 15:02:06+00:00,990.0,0.3,0.0,0.75,-0.40999997,-57.746475,4.0,44,1.2529334228515623,False,REGULAR,USD
ASML260717P01000000,2026-07-07 14:39:18+00:00,1000.0,0.32,0.1,0.7,-0.19999999,-38.461536,2.0,263,1.2412147314453121,False,REGULAR,USD
ASML260717P01010000,2026-07-07 14:40:08+00:00,1010.0,0.3,0.1,0.7,-0.20999998,-41.176468,4.0,51,1.2211953002929685,False,REGULAR,USD
