contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SMH260717P00200000,2026-06-29 14:23:59+00:00,200.0,0.02,0.0,0.02,0.0,0.0,30.0,133,1.8125009374999999,False,REGULAR,USD
SMH260717P00205000,2026-06-29 16:05:39+00:00,205.0,0.03,0.0,0.05,0.0,0.0,17.0,36,1.9062504687500001,False,REGULAR,USD
SMH260717P00210000,2026-07-06 17:06:14+00:00,210.0,0.02,0.0,0.09,0.0,0.0,12.0,72,1.9609376953125,False,REGULAR,USD
SMH260717P00215000,2026-07-01 15:26:00+00:00,215.0,0.05,0.0,0.5,0.0,0.0,3.0,22,2.2734418164062498,False,REGULAR,USD
SMH260717P00220000,2026-07-06 17:07:07+00:00,220.0,0.02,0.0,0.02,0.0,0.0,56.0,1733,1.65625171875,False,REGULAR,USD
SMH260717P00225000,2026-07-02 18:01:30+00:00,225.0,0.1,0.0,0.2,0.0,0.0,135.0,288,1.9765626171875001,False,REGULAR,USD
SMH260717P00230000,2026-07-06 19:51:56+00:00,230.0,0.14,0.0,0.41,0.0,0.0,35.0,390,2.0820360449218747,False,REGULAR,USD
SMH260717P00235000,2026-06-30 19:38:08+00:00,235.0,0.05,0.0,1.45,0.0,0.0,80.0,65,2.377933742675781,False,REGULAR,USD
SMH260717P00240000,2026-07-06 16:03:24+00:00,240.0,0.05,0.0,0.23,0.0,0.0,2.0,399,1.875000625,False,REGULAR,USD
SMH260717P00245000,2026-06-30 19:54:34+00:00,245.0,0.06,0.0,0.5,0.0,0.0,187.0,394,1.9921875390625,False,REGULAR,USD
SMH260717P00250000,2026-07-02 18:19:07+00:00,250.0,0.06,0.0,0.1,0.0,0.0,27.0,550,1.65625171875,False,REGULAR,USD
SMH260717P00255000,2026-07-07 15:00:34+00:00,255.0,0.14,0.01,0.14,0.1,250.0,13.0,263,1.68359533203125,False,REGULAR,USD
SMH260717P00260000,2026-06-29 18:50:54+00:00,260.0,0.22,0.0,0.41,0.0,0.0,34.0,103,1.822266513671875,False,REGULAR,USD
SMH260717P00265000,2026-06-29 19:18:10+00:00,265.0,0.16,0.0,2.02,0.0,0.0,18.0,55,2.188481091308593,False,REGULAR,USD
SMH260717P00270000,2026-07-02 16:56:32+00:00,270.0,0.1,0.0,0.82,0.0,0.0,6.0,124,1.8916021044921876,False,REGULAR,USD
SMH260717P00275000,2026-07-02 19:25:07+00:00,275.0,0.2,0.0,0.1,0.0,0.0,3.0,30,1.48047134765625,False,REGULAR,USD
SMH260717P00280000,2026-07-06 19:57:52+00:00,280.0,0.16,0.01,0.17,0.019999996,14.285711,1.0,119,1.5273461132812498,False,REGULAR,USD
SMH260717P00285000,2026-07-07 16:32:11+00:00,285.0,0.06,0.03,0.09,-0.14999999,-71.428566,15.0,135,1.4375028125,False,REGULAR,USD
SMH260717P00290000,2026-07-07 14:53:47+00:00,290.0,0.06,0.04,0.1,-0.010000002,-14.285716,8.0,102,1.4257841210937499,False,REGULAR,USD
SMH260717P00295000,2026-07-07 14:47:25+00:00,295.0,0.16,0.05,0.16,-0.08,-33.333336,3.0,904,1.4492215039062502,False,REGULAR,USD
SMH260717P00300000,2026-07-06 18:21:44+00:00,300.0,0.08,0.06,0.14,-0.020000003,-20.000002,2.0,765,1.408206083984375,False,REGULAR,USD
SMH260717P00305000,2026-07-07 14:51:55+00:00,305.0,0.12,0.06,0.16,-0.15,-55.555557,9.0,1251,1.3886749316406248,False,REGULAR,USD
SMH260717P00310000,2026-07-07 14:47:53+00:00,310.0,0.27,0.05,0.2,0.07000001,35.000004,1.0,581,1.3750031249999999,False,REGULAR,USD
SMH260717P00315000,2026-07-07 15:01:00+00:00,315.0,0.16,0.06,0.29,-0.14000002,-46.66667,3.0,373,1.3925811621093749,False,REGULAR,USD
SMH260717P00320000,2026-07-07 14:49:19+00:00,320.0,0.25,0.04,0.25,0.010000005,4.166669,4.0,140,1.3320345898437496,False,REGULAR,USD
SMH260717P00325000,2026-07-07 14:49:39+00:00,325.0,0.2,0.02,0.38,-0.049999997,-19.999998,1.0,271,1.3476595117187498,False,REGULAR,USD
SMH260717P00330000,2026-07-07 14:57:41+00:00,330.0,0.16,0.1,0.2,0.00999999,6.66666,119.0,887,1.2734411328124997,False,REGULAR,USD
SMH260717P00335000,2026-07-07 14:54:54+00:00,335.0,0.19,0.11,0.27,-0.21000001,-52.5,16.0,948,1.2753942480468747,False,REGULAR,USD
SMH260717P00340000,2026-07-06 14:24:44+00:00,340.0,0.32,0.02,0.4,0.0,0.0,15.0,977,1.2578162109375,False,REGULAR,USD
SMH260717P00345000,2026-07-06 14:24:50+00:00,345.0,0.21,0.03,0.4,0.0,0.0,18.0,57,1.23047259765625,False,REGULAR,USD
SMH260717P00350000,2026-07-07 16:37:46+00:00,350.0,0.2,0.17,0.24,-0.059999987,-23.076918,31.0,3990,1.193363408203125,False,REGULAR,USD
SMH260717P00355000,2026-07-07 16:39:59+00:00,355.0,0.21,0.16,0.3,-0.13000001,-38.2353,44.0,127,1.1787150439453122,False,REGULAR,USD
SMH260717P00360000,2026-07-07 16:06:24+00:00,360.0,0.31,0.12,0.5,-0.02000001,-6.060609,68.0,1514,1.19141029296875,False,REGULAR,USD
SMH260717P00365000,2026-07-07 16:06:17+00:00,365.0,0.32,0.25,0.38,0.0,0.0,78.0,450,1.1630901220703125,False,REGULAR,USD
SMH260717P00370000,2026-07-07 16:42:34+00:00,370.0,0.26,0.22,0.34,-0.08000001,-23.529415,100.0,933,1.1162153564453123,False,REGULAR,USD
SMH260717P00375000,2026-07-07 15:17:22+00:00,375.0,0.45,0.24,0.45,0.099999994,28.571426,16.0,580,1.1157270776367185,False,REGULAR,USD
