contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ASML260717C01090000,2026-06-12 17:05:16+00:00,1090.0,806.0,659.0,672.2,0.0,0.0,1.0,10,1.5853292218017574,True,REGULAR,USD
ASML260717C01100000,2026-06-25 19:28:03+00:00,1100.0,732.2,649.3,663.6,0.0,0.0,1.0,44,1.1035201074218752,True,REGULAR,USD
ASML260717C01110000,2026-04-07 14:46:36+00:00,1110.0,252.0,408.3,420.2,0.0,0.0,1.0,18,1.0000000000000003e-05,True,REGULAR,USD
ASML260717C01120000,2026-05-08 15:38:08+00:00,1120.0,457.5,630.2,642.2,0.0,0.0,5.0,18,1.0058643457031249,True,REGULAR,USD
ASML260717C01130000,2026-04-23 17:13:30+00:00,1130.0,325.2,620.5,633.5,0.0,0.0,6.0,6,1.1313519995117187,True,REGULAR,USD
ASML260717C01140000,2026-05-15 16:39:13+00:00,1140.0,404.73,696.1,711.3,0.0,0.0,1.0,7,3.0809654323577877,True,REGULAR,USD
ASML260717C01150000,2026-07-02 15:24:26+00:00,1150.0,650.0,599.8,614.0,0.0,0.0,4.0,10,1.0781296093750001,True,REGULAR,USD
ASML260717C01160000,2026-06-08 19:46:50+00:00,1160.0,591.7,589.9,602.8,0.0,0.0,5.0,22,0.9692385888671875,True,REGULAR,USD
ASML260717C01180000,2026-06-11 16:30:48+00:00,1180.0,650.46,570.0,582.9,0.0,0.0,2.0,11,0.9521489160156249,True,REGULAR,USD
ASML260717C01200000,2026-07-02 14:21:05+00:00,1200.0,634.98,549.3,563.1,0.0,0.0,12.0,27,0.8637708935546875,True,REGULAR,USD
ASML260717C01220000,2026-06-17 14:02:08+00:00,1220.0,673.76,530.7,546.0,0.0,0.0,10.0,19,1.0684861029052737,True,REGULAR,USD
ASML260717C01240000,2026-07-06 14:36:44+00:00,1240.0,618.0,510.8,522.8,0.0,0.0,4.0,139,0.8933116137695312,True,REGULAR,USD
ASML260717C01260000,2026-06-17 16:12:18+00:00,1260.0,678.67,491.0,504.2,0.0,0.0,1.0,21,0.932739930419922,True,REGULAR,USD
ASML260717C01280000,2026-07-07 14:50:13+00:00,1280.0,449.23,471.5,484.4,-111.76999,-19.92335,5.0,58,0.9194343994140625,True,REGULAR,USD
ASML260717C01300000,2026-07-07 14:50:13+00:00,1300.0,429.84,452.2,467.6,-125.16,-22.551352,5.0,54,0.9849244671630859,True,REGULAR,USD
ASML260717C01320000,2026-06-12 16:23:27+00:00,1320.0,572.03,431.3,445.9,0.0,0.0,1.0,40,0.879761944580078,True,REGULAR,USD
ASML260717C01340000,2026-06-12 14:51:31+00:00,1340.0,534.3,413.1,425.2,0.0,0.0,2.0,72,0.8675550354003907,True,REGULAR,USD
ASML260717C01360000,2026-06-09 19:53:03+00:00,1360.0,422.4,393.7,406.8,0.0,0.0,3.0,38,0.8733533172607422,True,REGULAR,USD
ASML260717C01380000,2026-07-02 14:48:17+00:00,1380.0,431.88,374.8,386.9,0.0,0.0,1.0,66,0.8535170898437501,True,REGULAR,USD
ASML260717C01400000,2026-07-02 14:25:22+00:00,1400.0,345.9,355.9,368.0,-84.100006,-19.558142,2.0,311,0.846559151611328,True,REGULAR,USD
ASML260717C01420000,2026-06-15 15:39:07+00:00,1420.0,488.02,337.4,350.1,0.0,0.0,2.0,48,0.8527846752929689,True,REGULAR,USD
ASML260717C01440000,2026-07-07 15:56:43+00:00,1440.0,311.0,318.7,329.2,-56.700012,-15.420181,10.0,118,0.8132342895507811,True,REGULAR,USD
ASML260717C01460000,2026-06-29 15:24:14+00:00,1460.0,382.59,300.8,312.5,0.0,0.0,1.0,112,0.8280962014770507,True,REGULAR,USD
ASML260717C01480000,2026-07-02 13:38:35+00:00,1480.0,363.14,282.5,294.5,0.0,0.0,1.0,55,0.8171405004882811,True,REGULAR,USD
ASML260717C01500000,2026-07-07 14:45:09+00:00,1500.0,239.82,267.4,276.9,-121.380005,-33.60465,10.0,301,0.8314531015014647,True,REGULAR,USD
ASML260717C01520000,2026-07-06 14:35:32+00:00,1520.0,341.5,251.2,259.7,0.0,0.0,2.0,115,0.8313310324096679,True,REGULAR,USD
ASML260717C01540000,2026-07-07 15:48:52+00:00,1540.0,222.5,230.9,242.8,-90.70001,-28.959133,8.0,113,0.7991353094482423,True,REGULAR,USD
ASML260717C01560000,2026-07-07 15:56:48+00:00,1560.0,207.8,214.6,226.4,-23.59999,-10.198786,10.0,138,0.793825303955078,True,REGULAR,USD
ASML260717C01580000,2026-07-06 17:30:36+00:00,1580.0,282.3,198.8,210.5,0.0,0.0,1.0,175,0.7888509884643554,True,REGULAR,USD
ASML260717C01600000,2026-07-07 15:28:43+00:00,1600.0,170.5,183.5,194.3,-103.5,-37.773724,5.0,357,0.7793601165771484,True,REGULAR,USD
ASML260717C01620000,2026-07-07 14:02:56+00:00,1620.0,161.78,168.9,180.4,-105.899994,-39.56216,1.0,107,0.7802146002197266,True,REGULAR,USD
ASML260717C01640000,2026-07-07 16:12:01+00:00,1640.0,153.27,155.8,166.2,-87.53,-36.349667,1.0,112,0.7806571006774903,True,REGULAR,USD
ASML260717C01660000,2026-07-02 15:53:52+00:00,1660.0,128.12,143.3,151.9,-53.03,-29.274084,3.0,138,0.7773307179260254,True,REGULAR,USD
ASML260717C01680000,2026-07-07 15:54:59+00:00,1680.0,125.76,131.5,139.2,-86.54,-40.76307,3.0,82,0.7785514088439942,True,REGULAR,USD
ASML260717C01700000,2026-07-07 16:12:17+00:00,1700.0,117.6,120.5,126.2,-73.4,-38.429317,19.0,285,0.7759879579162599,True,REGULAR,USD
ASML260717C01720000,2026-07-07 16:36:39+00:00,1720.0,105.5,109.1,113.5,-68.3,-39.298046,54.0,93,0.7673668283081055,True,REGULAR,USD
ASML260717C01740000,2026-07-07 16:47:09+00:00,1740.0,100.24,98.5,103.2,-49.200005,-32.922916,35.0,90,0.7665733792114259,True,REGULAR,USD
ASML260717C01760000,2026-07-07 16:44:12+00:00,1760.0,89.23,88.7,92.3,-55.27999,-38.253403,48.0,138,0.7609582009887697,False,REGULAR,USD
ASML260717C01780000,2026-07-07 16:32:33+00:00,1780.0,82.7,79.5,83.1,-40.300003,-32.76423,45.0,238,0.7592492337036134,False,REGULAR,USD
ASML260717C01800000,2026-07-07 16:54:04+00:00,1800.0,73.85,71.1,75.0,-38.550003,-34.297153,383.0,391,0.7598290618896486,False,REGULAR,USD
ASML260717C01820000,2026-07-07 15:58:56+00:00,1820.0,59.34,63.3,67.7,-59.460003,-50.050507,9.0,128,0.7608361318969729,False,REGULAR,USD
ASML260717C01825000,2026-07-07 16:24:12+00:00,1825.0,64.7,62.0,65.2,-35.300003,-35.300003,15.0,18,0.7601494932556154,False,REGULAR,USD
ASML260717C01835000,2026-07-07 14:18:03+00:00,1835.0,49.0,58.6,62.6,-45.660004,-48.235794,20.0,16,0.7645897564697266,False,REGULAR,USD
ASML260717C01840000,2026-07-07 15:57:48+00:00,1840.0,52.72,56.9,60.1,-40.28,-43.31183,9.0,209,0.761217597808838,False,REGULAR,USD
ASML260717C01845000,2026-07-07 14:21:50+00:00,1845.0,48.3,54.8,58.7,-46.95,-49.29134,10.0,22,0.7605004418945314,False,REGULAR,USD
ASML260717C01850000,2026-07-07 16:34:52+00:00,1850.0,55.2,53.6,56.8,-41.99,-43.204033,42.0,62,0.7611870805358887,False,REGULAR,USD
ASML260717C01855000,2026-07-07 15:46:30+00:00,1855.0,47.2,52.0,55.3,-51.600002,-52.22672,9.0,30,0.7615685464477541,False,REGULAR,USD
ASML260717C01860000,2026-07-07 16:07:21+00:00,1860.0,48.4,50.4,53.2,-43.22,-47.173103,19.0,215,0.7589745782470705,False,REGULAR,USD
ASML260717C01865000,2026-07-07 15:15:57+00:00,1865.0,41.51,48.9,52.3,-54.49,-56.760418,10.0,23,0.7618126846313477,False,REGULAR,USD
