16:04:45 20260724 ±3% ATM volumen dia
NVDA volC 1,361,861 volP 754,572 P/C 0.55
AMD volC 73,259 volP 109,668 P/C 1.50
MU volC 103,742 volP 154,678 P/C 1.49
INTC volC 23,566 volP 137,588 P/C 5.84
TSM volC 9,322 volP 14,666 P/C 1.57
SMH volC 4,737 volP 26,171 P/C 5.52
QQQ volC 1,753,725 volP 2,786,729 P/C 1.59
SPY volC 3,535,237 volP 4,729,886 P/C 1.34
AAPL volC 975,373 volP 456,254 P/C 0.47
MSFT volC 140,436 volP 74,563 P/C 0.53
META volC 109,304 volP 96,945 P/C 0.89
AMZN volC 166,893 volP 99,060 P/C 0.59
TSLA volC 721,870 volP 1,077,119 P/C 1.49
AVGO volC 22,032 volP 20,402 P/C 0.93
GOOGL volC 193,981 volP 86,105 P/C 0.44
NOK volC 1,360 volP 2,283 P/C 1.68
TXN volC 874 volP 1,454 P/C 1.66
QCOM volC 4,283 volP 8,921 P/C 2.08
NFLX volC 137,270 volP 31,709 P/C 0.23
GLD volC 15,505 volP 11,247 P/C 0.73
XLK volC 1,296 volP 1,014 P/C 0.78
LRCX volC 767 volP 1,661 P/C 2.17
SNDK volC 8,722 volP 20,805 P/C 2.39
WDC volC 996 volP 1,595 P/C 1.60
STX volC 234 volP 3,334 P/C 14.25
