1785411000|303.7800|303.8000|303.4500|303.4500|3793
1785411060|303.4500|303.6000|303.3700|303.4000|1584
1785411120|303.4000|303.4300|303.3000|303.4300|3698
1785411180|303.2800|303.2800|303.0300|303.0600|3632
1785411240|303.0600|303.3000|303.0600|303.2800|2716
1785411300|303.2300|303.3200|303.1700|303.2800|3827
1785411360|303.2500|303.4400|303.2500|303.3300|5766
1785411420|303.4000|303.5900|303.4000|303.5000|2860
1785411480|303.6000|303.6800|303.5000|303.5500|1458
1785411540|303.5500|303.6200|303.4000|303.4500|7634
1785411600|303.4000|303.4900|303.4000|303.4900|794
1785411660|303.4900|303.5000|303.3500|303.3500|4342
1785411720|303.3000|303.4700|303.2200|303.4700|1194
1785411780|303.4700|303.7400|303.4700|303.7400|10353
1785411840|303.7400|303.7400|303.6000|303.6000|8537
1785411900|303.6000|303.7900|303.5200|303.7900|7696
1785411960|303.7800|303.9000|303.7700|303.8100|17255
1785412020|303.8100|303.8100|303.6700|303.7400|5540
1785412080|303.7300|303.7500|303.6100|303.6500|3108
1785412140|303.7000|303.7300|303.6000|303.6000|6011
1785412200|303.6000|303.7100|303.6000|303.6900|4577
1785412260|303.6800|303.7000|303.4800|303.5800|11415
1785412320|303.5800|303.6400|303.5300|303.5800|4244
1785412380|303.6100|303.6400|303.5100|303.6300|7263
1785412440|303.6100|303.6900|303.6100|303.6900|1389
1785412500|303.6900|303.7500|303.3500|303.4000|10612
1785412560|303.4700|303.5000|303.3300|303.3900|5132
1785412620|303.3800|303.4200|303.3300|303.3900|5790
1785412680|303.3900|303.4300|303.3800|303.4100|3795
1785412740|303.3500|303.3500|303.2000|303.3000|7142
1785412800|303.3100|303.4700|303.3000|303.3800|6772
1785412860|303.4000|303.4500|303.2000|303.2000|13896
1785412920|303.3000|303.5100|303.2600|303.5000|12519
1785412980|303.4900|303.8500|303.4900|303.8100|26260
1785413040|303.8300|303.8400|303.6600|303.7500|7874
1785413100|303.7800|303.7800|303.6000|303.6000|6473
1785413160|303.6000|303.9900|303.6000|303.9200|41631
1785413220|303.9400|303.9800|303.7500|303.8000|6282
1785413280|303.8500|304.0700|303.8500|303.9400|37354
1785413340|303.9400|304.0600|303.8700|304.0500|4772
1785413400|304.0200|304.0500|303.8500|303.8500|3568
1785413460|303.8900|303.9900|303.7900|303.9700|10092
1785413520|303.8200|304.2000|303.8200|304.1800|24260
1785413580|304.1200|304.2500|304.1200|304.1600|15060
1785413640|304.1600|304.1800|304.0600|304.0600|25783
1785413700|304.0200|304.0200|303.8000|303.8200|13300
1785413760|303.8200|304.0000|303.8200|303.8500|12442
1785413820|303.9700|304.0000|303.8400|303.9100|5880
1785413880|303.9000|303.9200|303.8200|303.8600|12913
1785413940|303.8500|303.9100|303.7500|303.8400|16359
1785414000|303.8300|303.8300|303.5100|303.5200|21476
1785414060|303.5200|303.7500|303.5000|303.6300|11476
1785414120|303.6300|303.6600|303.6000|303.6200|7752
1785414180|303.6400|303.6400|303.5000|303.6400|17032
1785414240|303.6700|303.7400|303.6500|303.7000|6896
1785414300|303.7000|303.8700|303.7000|303.8000|31992
1785414360|303.8000|303.9500|303.7900|303.9200|15069
1785414420|303.9200|303.9200|303.6000|303.6000|6940
1785414480|303.6000|303.6300|303.4000|303.4300|13028
1785414540|303.4400|303.5000|303.4100|303.5000|10384
1785414600|303.4700|304.9900|303.4100|304.6700|61383
1785414660|304.5900|305.0000|304.0000|304.5400|43929
1785414720|304.7400|305.0800|304.4800|304.5400|61019
1785414780|304.5600|304.7600|304.3800|304.4000|29160
1785414840|304.4000|304.6000|304.3200|304.5000|10255
1785414900|304.6000|304.9000|304.5000|304.7500|13089
1785414960|304.7000|305.0100|304.7000|304.9700|39992
1785415020|304.8300|304.9700|304.5800|304.5800|18036
1785415080|304.7500|304.7500|304.5300|304.6500|9436
1785415140|304.6500|305.0700|304.6500|305.0100|35580
1785415200|305.0000|305.0300|304.4200|304.4500|30250
1785415260|304.6000|305.0000|304.4500|304.6200|10452
1785415320|304.6200|304.9500|304.6200|304.8700|5878
1785415380|304.7700|304.8200|304.5200|304.8000|13424
1785415440|304.8000|304.8000|304.5100|304.5800|5484
1785415500|304.5800|304.6200|304.5000|304.5000|5749
1785415560|304.5000|304.6100|304.3700|304.3900|8044
