1786702800|177.9000|177.9600|177.9000|177.9600|2
1786702860|177.9200|177.9300|177.9200|177.9300|2
1786702920|177.9500|178.0400|177.9500|178.0400|3
1786702980|178.0900|178.2500|178.0900|178.1800|6
1786703040|178.2000|178.3000|178.2000|178.3000|10
1786703100|178.3200|178.3200|178.2500|178.3200|4
1786703160|178.3100|178.3100|178.1600|178.1600|4
1786703280|178.2400|178.3300|178.2400|178.3300|3
1786703340|178.3900|178.4700|178.3900|178.4700|4
1786703400|178.4100|178.4100|178.4100|178.4100|1
1786703460|178.4200|178.6500|178.3500|178.6500|7
1786703520|178.6000|178.6000|178.5500|178.6000|4
1786703580|178.6100|178.6500|178.6100|178.6500|4
1786703640|178.6300|178.6300|178.6200|178.6300|6
1786703700|178.5900|178.5900|178.5800|178.5900|3
1786703760|178.6100|178.6100|178.6000|178.6000|2
1786703880|178.5400|178.5400|178.5400|178.5400|2
1786703940|178.5800|178.5800|178.5800|178.5800|2
1786704060|178.5100|178.5700|178.5000|178.5500|4
1786704120|178.5400|178.5400|178.5200|178.5200|3
1786704240|178.5300|178.5600|178.5300|178.5600|4
1786704300|178.5500|178.5500|178.5500|178.5500|1
1786704360|178.5300|178.5300|178.5200|178.5200|2
1786704420|178.5200|178.5300|178.5200|178.5300|2
1786704480|178.5200|178.5500|178.5200|178.5500|3
1786704540|178.5200|178.5200|178.5100|178.5100|2
1786704600|178.5200|178.5200|178.5200|178.5200|1
1786704660|178.5200|178.5500|178.5200|178.5500|2
1786704720|178.5300|178.5500|178.5300|178.5500|3
1786704840|178.5900|178.6100|178.5000|178.6100|8
1786704900|178.6300|178.6300|178.6100|178.6100|3
1786705020|178.5850|178.5850|178.5850|178.5850|1
1786705080|178.6200|178.6500|178.5850|178.6500|4
1786705140|178.6800|178.6800|178.6800|178.6800|1
1786705200|178.6700|178.6800|178.5200|178.5800|12
1786705260|178.6200|178.6200|178.5500|178.5500|2
1786705320|178.5700|178.5700|178.5000|178.5000|4
1786705440|178.5700|178.5700|177.9800|178.0200|11
1786705500|178.0000|178.0000|177.8500|177.8500|4
1786705560|177.8200|177.8500|177.7500|177.7500|9
1786705620|177.8100|177.9000|177.7300|177.9000|9
1786705680|177.9500|177.9500|177.9400|177.9400|2
1786705740|178.0000|178.0100|178.0000|178.0100|3
1786705800|178.0400|178.0400|177.9500|178.0100|6
1786705920|178.0400|178.0600|178.0400|178.0600|4
1786705980|178.0600|178.0800|178.0400|178.0400|6
1786706040|178.1100|178.4000|178.0950|178.4000|6
1786706100|178.2800|178.2800|178.2500|178.2500|4
1786706160|178.0900|178.1400|178.0900|178.1400|3
1786706220|178.1100|178.1100|178.1100|178.1100|1
1786706280|178.1800|178.1800|178.1500|178.1500|2
1786706340|178.1200|178.1200|178.1100|178.1100|3
1786706400|178.1200|178.2300|178.1100|178.2300|8
1786706460|178.1600|178.1600|178.1300|178.1300|2
1786706520|178.1400|178.1400|178.1400|178.1400|1
1786706580|178.2000|178.2100|178.2000|178.2100|3
1786706640|178.2500|178.2900|178.2000|178.2900|3
1786706760|178.2200|178.2500|178.1400|178.1400|4
1786706820|178.1200|178.2400|178.1200|178.2400|2
1786706880|178.1600|178.2200|178.1000|178.2100|5
1786707000|178.1800|178.1800|178.1800|178.1800|1
1786707120|178.2100|178.3500|178.2100|178.3500|8
1786707180|178.3000|178.3000|178.2700|178.2700|3
1786707240|178.3000|178.3000|178.3000|178.3000|2
1786707300|178.3500|178.3500|178.2500|178.2500|2
1786707360|178.2500|178.2600|178.2500|178.2600|2
1786707420|178.2400|178.2500|178.2300|178.2500|3
1786707480|178.2700|178.2700|178.2500|178.2500|2
1786707540|178.2200|178.2200|178.1500|178.1500|4
1786707600|178.1600|178.3500|178.1600|178.3500|5
1786707660|178.3200|178.3300|178.3200|178.3300|2
1786707720|178.3200|178.3200|178.3200|178.3200|1
1786707780|178.3000|178.3100|178.3000|178.3100|2
1786707840|178.3500|178.4400|178.3500|178.4400|7
1786707900|178.3800|178.3800|178.3500|178.3500|2
1786707960|178.4000|178.4000|178.4000|178.4000|1
1786708020|178.4700|178.4700|178.4700|178.4700|1
1786708080|178.4200|178.4200|178.4200|178.4200|1
1786708140|178.4000|178.4200|178.4000|178.4200|3
1786708200|178.3800|178.4500|178.3800|178.4400|6
1786708260|178.4600|178.4600|178.4600|178.4600|1
1786708320|178.4700|178.4900|178.4100|178.4100|4
1786708380|178.4400|178.4400|178.4400|178.4400|1
1786708440|178.4600|178.4600|178.4600|178.4600|1
1786708500|178.4700|178.4800|178.4700|178.4800|3
1786708560|178.5500|178.5500|178.4800|178.4800|8
1786708620|178.4800|178.5000|178.4800|178.5000|4
1786708680|178.5400|178.5400|178.5400|178.5400|1
1786708740|178.5300|178.5300|178.4700|178.4700|4
1786708800|178.3800|178.4500|178.3500|178.3500|6
1786708860|178.3300|178.3900|178.3000|178.3900|5
1786708920|178.3900|178.3900|178.2000|178.2000|9
1786708980|178.1700|178.4000|178.1700|178.3500|7
1786709040|178.2400|178.2400|178.2400|178.2400|1
1786709100|178.3500|178.3500|178.2900|178.2900|3
1786709160|178.2700|178.2800|178.2500|178.2800|4
1786709220|178.3000|178.3000|178.2900|178.2900|2
1786709280|178.2700|178.3400|178.2700|178.3200|4
1786709340|178.3000|178.3000|178.2900|178.2900|4
1786709400|178.2600|178.2700|178.2600|178.2700|2
1786709460|178.2500|178.2700|178.2200|178.2200|6
1786709520|178.2300|178.2600|178.2300|178.2600|4
1786709580|178.1700|178.2500|178.0400|178.1200|17
1786709640|178.1400|178.1700|178.1200|178.1200|5
1786709700|178.0900|178.1000|178.0800|178.1000|4
1786709820|178.0500|178.0800|178.0500|178.0800|2
1786709880|178.0400|178.0400|177.8900|177.9500|16
1786709940|177.8700|177.9400|177.8700|177.9000|3
1786710000|177.9300|178.0500|177.9300|178.0500|4
1786710060|178.0000|178.0100|177.9600|177.9600|3
1786710120|178.0500|178.0800|177.9900|178.0800|6
1786710180|178.0500|178.0500|178.0500|178.0500|1
1786710240|178.0500|178.0500|178.0000|178.0000|3
1786710300|178.0300|178.0500|178.0100|178.0100|3
1786710360|178.1100|178.1100|178.1000|178.1000|2
1786710420|178.0700|178.0900|178.0700|178.0900|3
1786710480|178.0900|178.1700|178.0900|178.1700|2
1786710600|178.1700|178.3400|178.1700|178.3400|7
1786710660|178.3700|178.4200|178.3600|178.3600|5
1786710720|178.3100|178.3900|178.3100|178.3900|2
