16:06:21 20260724 ±3% ATM volumen dia
NVDA volC 786,408 volP 350,311 P/C 0.45
AMD volC 47,662 volP 14,664 P/C 0.31
MU volC 93,421 volP 49,572 P/C 0.53
INTC volC 28,051 volP 26,380 P/C 0.94
TSM volC 9,315 volP 3,499 P/C 0.38
SMH volC 7,717 volP 11,349 P/C 1.47
QQQ volC 287,888 volP 321,754 P/C 1.12
SPY volC 635,160 volP 514,834 P/C 0.81
AAPL volC 190,740 volP 160,003 P/C 0.84
MSFT volC 56,471 volP 79,830 P/C 1.41
META volC 106,822 volP 48,161 P/C 0.45
AMZN volC 105,982 volP 79,415 P/C 0.75
TSLA volC 285,901 volP 466,729 P/C 1.63
AVGO volC 26,768 volP 8,769 P/C 0.33
GOOGL volC 91,334 volP 89,481 P/C 0.98
NOK volC 20,097 volP 14,627 P/C 0.73
TXN volC 1,399 volP 1,176 P/C 0.84
QCOM volC 3,009 volP 6,765 P/C 2.25
NFLX volC 68,144 volP 32,662 P/C 0.48
GLD volC 10,262 volP 17,914 P/C 1.75
XLK volC 1,274 volP 1,545 P/C 1.21
LRCX volC 413 volP 488 P/C 1.18
SNDK volC 7,806 volP 7,735 P/C 0.99
WDC volC 472 volP 383 P/C 0.81
STX volC 474 volP 415 P/C 0.88
