"Ticker","Market Cap","Short Float","Relative Volume","Price","Earnings Date"
"HUBB",25685.86,5.20%,0.73,486.09,7/28/2026 8:30:00 AM
"HUM",46742.34,3.55%,0.47,389.32,7/29/2026 8:30:00 AM
"HUN",2244.88,10.50%,0.52,12.80,7/30/2026 4:30:00 PM
"HURN",1820.59,4.26%,0.74,112.30,7/28/2026 4:30:00 PM
"HWKN",2906.62,5.86%,1.61,139.03,7/29/2026 4:30:00 PM
"HXL",8318.11,5.62%,0.76,110.28,7/29/2026 4:30:00 PM
"IART",1539.60,9.32%,0.87,19.79,7/29/2026 8:30:00 AM
"ICE",82446.07,1.61%,0.84,145.79,7/30/2026 8:30:00 AM
"ICLR",12691.80,3.42%,0.68,165.76,7/29/2026 4:30:00 PM
"IDA",8232.00,8.34%,1.08,148.57,7/30/2026 8:30:00 AM
"IDCC",6675.77,10.83%,0.47,258.30,7/30/2026 8:30:00 AM
"IEX",16525.34,3.19%,0.83,223.27,7/29/2026 8:30:00 AM
"ILMN",29365.82,5.80%,0.70,194.09,7/30/2026 4:30:00 PM
"ILPT",613.32,2.08%,0.46,9.20,7/29/2026 4:30:00 PM
"IMO",62131.64,13.69%,0.87,128.48,7/31/2026 8:30:00 AM
"INBK",230.56,2.78%,0.79,26.45,7/30/2026 4:30:00 PM
"INCY",23508.37,5.31%,0.69,117.67,7/28/2026 8:30:00 AM
"INGM",6819.67,9.55%,0.42,29.44,7/30/2026 4:30:00 PM
"INIO",19710.00,7.36%,0.48,26.28,7/28/2026 8:30:00 AM
"INVH",17690.57,2.22%,0.49,29.78,7/29/2026 4:30:00 PM
"IONS",9345.60,12.37%,1.14,56.55,7/29/2026 8:30:00 AM
"IP",22324.44,9.92%,1.87,42.16,7/30/2026 8:30:00 AM
"IQV",34723.54,3.18%,0.68,208.05,7/28/2026 8:30:00 AM
"IR",33028.83,3.60%,0.75,84.40,7/30/2026 4:30:00 PM
"IRMD",1207.87,8.47%,0.58,94.49,7/31/2026 8:30:00 AM
"ITRI",3734.26,14.05%,0.77,84.22,7/28/2026 8:30:00 AM
"ITW",81424.85,3.33%,0.94,283.02,7/28/2026 8:30:00 AM
"IVA",1053.63,0.80%,0.75,4.46,7/29/2026 4:30:00 PM
"IVR",703.60,9.44%,1.37,7.58,7/30/2026 4:30:00 PM
"IVZ",13267.87,4.43%,0.63,29.93,7/28/2026 8:30:00 AM
"JBLU",1960.54,27.42%,2.01,5.27,7/28/2026 8:30:00 AM
"JCI",87472.27,1.57%,0.76,143.37,7/29/2026 8:30:00 AM
"JLL",15098.79,2.36%,0.67,325.45,7/30/2026 8:30:00 AM
"KBR",4682.35,6.71%,0.96,36.93,7/30/2026 8:30:00 AM
"KEX",7952.77,2.99%,0.50,148.65,7/29/2026 8:30:00 AM
"KFRC",982.90,7.98%,1.53,55.12,7/27/2026 4:30:00 PM
"KGC",28479.29,1.46%,0.65,23.85,7/29/2026 4:30:00 PM
"KKR",89212.65,2.21%,0.87,99.36,7/30/2026 8:30:00 AM
"KLAC",274997.08,2.17%,0.90,210.52,7/28/2026 4:30:00 PM
"KNSA",4834.78,10.41%,0.80,62.84,7/28/2026 8:30:00 AM
"KO",353879.18,1.12%,0.69,82.25,7/28/2026 8:30:00 AM
"KOF",5394.33,0.45%,0.74,102.71,7/27/2026 8:30:00 AM
"KRC",4628.40,7.62%,1.05,39.42,7/27/2026 4:30:00 PM
"KRG",5951.88,6.58%,0.87,29.31,7/30/2026 8:30:00 AM
"KWR",2629.80,13.48%,0.76,151.43,7/30/2026 4:30:00 PM
"KYIV",3093.57,5.68%,0.42,13.40,7/31/2026 8:30:00 AM
"LAD",7775.64,11.53%,0.59,340.95,7/29/2026 8:30:00 AM
"LARK",192.32,2.61%,0.35,31.54,7/29/2026 4:30:00 PM
"LAUR",5179.20,3.10%,0.56,37.00,7/30/2026 8:30:00 AM
"LEA",7193.66,4.55%,0.40,143.60,7/31/2026 8:30:00 AM
"LECO",13777.31,2.45%,0.51,251.47,7/30/2026 8:30:00 AM
"LFUS",10238.47,5.17%,0.74,404.86,7/29/2026 8:30:00 AM
"LH",24335.14,3.33%,1.35,296.77,7/30/2026 8:30:00 AM
"LHX",55927.61,1.67%,0.73,300.21,7/29/2026 4:30:00 PM
"LII",18831.31,7.82%,0.59,541.13,7/29/2026 8:30:00 AM
"LIN",236980.49,1.42%,0.59,512.28,7/31/2026 8:30:00 AM
"LKQ",6578.70,5.00%,0.64,25.82,7/30/2026 8:30:00 AM
"LMND",4620.00,14.52%,0.45,60.14,7/29/2026 8:30:00 AM
"LNC",7908.58,5.58%,0.77,41.36,7/30/2026 8:30:00 AM
"LNT",19355.28,10.85%,0.78,74.94,7/30/2026 4:30:00 PM
"LOGI",15179.43,10.67%,1.07,105.78,7/28/2026 4:30:00 PM
"LOPE",3710.41,6.65%,0.83,139.94,7/30/2026 4:30:00 PM
"LPLA",26290.37,6.10%,0.51,328.70,7/30/2026 4:30:00 PM
"LRCX",381686.78,2.37%,0.82,305.21,7/29/2026 4:30:00 PM
"LSPD",1365.40,4.46%,0.58,9.91,7/30/2026 8:30:00 AM
"LSTR",6795.14,4.22%,0.69,200.28,7/28/2026 4:30:00 PM
"LTH",9422.77,6.08%,0.50,42.33,7/30/2026 8:30:00 AM
"LUNG",49.42,2.80%,0.51,1.17,7/29/2026 4:30:00 PM
"LXFR",460.52,1.64%,0.77,17.05,7/29/2026 8:30:00 AM
"LXP",3529.46,2.69%,1.86,60.81,7/29/2026 8:30:00 AM
"LXU",880.53,5.88%,1.11,12.24,7/29/2026 4:30:00 PM
"LYB",19470.38,4.87%,0.88,60.32,7/31/2026 8:30:00 AM
"LYV",41246.02,16.10%,0.56,177.24,7/30/2026 4:30:00 PM
"MA",476834.85,1.12%,0.68,539.66,7/30/2026 8:30:00 AM
"MAA",15974.18,3.95%,0.89,133.88,7/29/2026 4:30:00 PM
"MAIR",17409.04,5.10%,0.78,34.73,7/30/2026 8:30:00 AM
"MANH",8973.49,4.92%,1.18,151.67,7/28/2026 4:30:00 PM
"MAS",15991.49,4.29%,0.75,79.27,7/29/2026 8:30:00 AM
"MAX",818.66,9.47%,0.50,13.13,7/29/2026 4:30:00 PM
"MC",5455.04,5.93%,0.63,67.00,7/29/2026 4:30:00 PM
"MCHB",3628.84,12.09%,3.87,15.68,7/29/2026 8:30:00 AM
"MCS",715.31,2.94%,0.85,23.82,7/30/2026 8:30:00 AM
"MDGL",12554.04,9.60%,0.45,544.51,7/30/2026 8:30:00 AM
"MDLZ",77686.49,2.63%,0.97,60.52,7/28/2026 4:30:00 PM
"MDXG",625.57,6.40%,0.37,4.20,7/29/2026 4:30:00 PM
"MEOH",4321.33,2.04%,0.92,55.86,7/28/2026 4:30:00 PM
"META",1510844.07,1.73%,0.63,595.19,7/29/2026 4:30:00 PM
"MFIN",225.81,5.82%,0.46,9.77,7/29/2026 4:30:00 PM
"MGA",17874.62,2.96%,0.84,65.66,7/31/2026 8:30:00 AM
"MGM",11651.47,10.74%,0.52,45.54,7/29/2026 4:30:00 PM
"MGPI",378.06,6.56%,0.69,17.69,7/29/2026 8:30:00 AM
"MGRC",2941.52,1.87%,0.65,119.76,7/29/2026 4:30:00 PM
"MHK",6904.16,8.28%,0.78,113.27,7/30/2026 4:30:00 PM
"MHO",3834.17,5.67%,0.49,149.83,7/29/2026 8:30:00 AM
"MIR",4143.61,14.69%,0.56,16.54,7/28/2026 4:30:00 PM
"MKL",24961.10,2.42%,0.49,1994.70,7/30/2026 8:30:00 AM
"MLM",33601.68,4.10%,0.89,559.60,7/30/2026 8:30:00 AM
"MMSI",4433.55,5.92%,0.79,74.32,7/30/2026 4:30:00 PM
"MNRO",524.64,26.13%,0.51,16.79,7/29/2026 8:30:00 AM
"MO",121885.36,3.19%,0.56,72.99,7/30/2026 8:30:00 AM
"MOD",12840.79,5.44%,0.61,241.79,7/29/2026 4:30:00 PM
"MOG-A",13037.66,2.92%,0.56,410.13,7/31/2026 8:30:00 AM
"MORN",6564.02,7.51%,0.89,172.61,7/29/2026 4:30:00 PM
"MPWR",65530.09,5.18%,0.90,1333.81,7/30/2026 4:30:00 PM
"MRNA",21454.23,14.42%,0.57,54.07,7/31/2026 8:30:00 AM
"MSA",6741.82,3.87%,0.63,174.64,7/30/2026 4:30:00 PM
"MSEX",1046.50,5.11%,0.68,56.19,7/30/2026 4:30:00 PM
"MSFT",2835433.57,1.26%,0.71,381.70,7/29/2026 4:30:00 PM
"MSTR",32125.53,12.20%,0.65,91.67,7/30/2026 4:30:00 PM
"MT",50902.37,0.30%,0.60,66.88,7/30/2026 8:30:00 AM
"MTD",26819.13,3.92%,0.90,1327.18,7/30/2026 4:30:00 PM
"MTG",6270.69,4.52%,0.82,29.65,7/29/2026 4:30:00 PM
"MTH",4865.94,5.20%,0.57,72.95,7/29/2026 4:30:00 PM
"MTX",2313.25,2.48%,0.79,74.60,7/30/2026 4:30:00 PM
"MTZ",26695.63,6.87%,0.61,337.84,7/30/2026 4:30:00 PM
"MVBF",373.93,2.59%,0.72,29.10,7/28/2026 4:30:00 PM
"MX",127.75,4.15%,0.33,3.50,7/29/2026 4:30:00 PM
"MYE",1180.80,2.63%,0.83,31.44,7/30/2026 8:30:00 AM
"MYGN",529.85,9.12%,0.54,5.61,7/30/2026 4:30:00 PM
"MYRG",5904.07,5.13%,1.32,379.17,7/29/2026 4:30:00 PM
"NAUT",214.76,2.29%,0.92,1.69,7/28/2026 8:30:00 AM
"NBIX",17673.67,5.40%,0.93,175.77,7/30/2026 4:30:00 PM
"NBN",1031.04,5.16%,0.67,129.24,7/27/2026 8:30:00 AM
"NBR",1233.53,7.43%,0.57,83.37,7/28/2026 4:30:00 PM
"NBTB",2724.30,3.49%,1.14,52.38,7/27/2026 4:30:00 PM
"NCLH",8892.96,18.01%,0.65,19.37,7/30/2026 8:30:00 AM
"NCSM",123.96,9.09%,0.73,47.23,7/30/2026 8:30:00 AM
"NE",6901.96,10.20%,1.16,43.26,7/27/2026 8:30:00 AM
"NEO",1808.64,10.77%,0.73,13.89,7/28/2026 4:30:00 PM
"NEOG",2046.13,5.00%,0.55,9.40,7/30/2026 8:30:00 AM
"NEU",7168.29,8.81%,1.09,779.33,7/29/2026 4:30:00 PM
"NEXT",1856.28,15.13%,1.45,7.01,7/30/2026 8:30:00 AM
"NFG",7839.47,5.33%,0.62,82.49,7/29/2026 4:30:00 PM
"NGVT",2547.37,3.50%,0.72,73.26,7/29/2026 4:30:00 PM
"NHTC",15.44,0.33%,0.77,1.80,7/29/2026 8:30:00 AM
"NMIH",3247.80,2.80%,0.79,42.75,7/30/2026 4:30:00 PM
"NMRK",2732.14,3.79%,0.64,15.39,7/29/2026 8:30:00 AM
"NNOX",62.38,11.24%,0.61,0.90,7/31/2026 8:30:00 AM
"NOV",7450.52,7.28%,0.98,20.76,7/28/2026 4:30:00 PM
"NPKI",1211.82,3.07%,0.76,14.35,7/29/2026 4:30:00 PM
"NSP",1845.48,10.76%,0.63,48.35,7/29/2026 4:30:00 PM
"NTB",2436.44,1.65%,0.45,60.99,7/27/2026 4:30:00 PM
"NUE",56379.55,1.78%,0.87,247.56,7/27/2026 4:30:00 PM
"NVT",24547.55,2.50%,0.90,151.79,7/31/2026 8:30:00 AM
"NVTS",2587.97,19.19%,0.47,10.92,7/27/2026 4:30:00 PM
"NWBI",2253.25,5.25%,0.97,15.40,7/27/2026 4:30:00 PM
"NWE",4481.47,2.64%,1.15,72.86,7/29/2026 4:30:00 PM
"NWL",2158.49,14.49%,0.40,5.08,7/31/2026 8:30:00 AM
"NWPX",1246.16,7.01%,0.88,129.31,7/29/2026 4:30:00 PM
"NXPI",67975.31,3.47%,0.98,269.24,7/28/2026 4:30:00 PM
"NXT",15169.88,4.82%,0.81,100.03,7/30/2026 4:30:00 PM
"OCFC",1891.45,5.28%,0.85,19.56,7/30/2026 4:30:00 PM
"ODFL",48454.53,4.76%,0.77,232.99,7/29/2026 8:30:00 AM
"OFS",43.81,3.21%,0.61,3.27,7/30/2026 4:30:00 PM
"OGE",10308.40,4.61%,0.86,49.95,7/29/2026 8:30:00 AM
"OHI",15402.32,4.47%,0.80,51.72,7/29/2026 4:30:00 PM
"OI",1391.96,7.21%,0.58,9.08,7/28/2026 4:30:00 PM
"OIS",521.88,4.45%,0.65,8.67,7/30/2026 8:30:00 AM
"OLED",3705.94,9.67%,0.55,79.27,7/30/2026 4:30:00 PM
"OLN",2644.39,12.61%,0.90,23.20,7/30/2026 4:30:00 PM
"OMC",22703.59,9.75%,0.50,79.66,7/28/2026 4:30:00 PM
"OMCL",1864.64,8.17%,0.82,41.00,7/30/2026 8:30:00 AM
"OMF",6901.82,5.14%,0.88,59.74,7/29/2026 8:30:00 AM
"ONEW",213.78,13.42%,0.52,12.86,7/30/2026 8:30:00 AM
"OPCH",3401.22,8.73%,0.46,21.66,7/29/2026 8:30:00 AM
"OPK",921.21,9.03%,0.89,1.22,7/27/2026 4:30:00 PM
"ORLY",72429.70,2.79%,0.83,87.40,7/29/2026 4:30:00 PM
"ORN",513.68,5.55%,1.03,12.69,7/28/2026 4:30:00 PM
"OSK",9673.18,5.29%,1.22,155.14,7/28/2026 8:30:00 AM
"OSW",2668.83,5.43%,0.72,26.29,7/29/2026 8:30:00 AM
"OWL",14733.03,20.41%,0.46,9.45,7/30/2026 8:30:00 AM
"OXLC",829.60,4.62%,0.76,8.50,7/28/2026 8:30:00 AM
"PACK",553.48,3.83%,1.89,6.47,7/30/2026 8:30:00 AM
"PAG",14290.60,14.40%,1.52,217.35,7/29/2026 8:30:00 AM
"PATK",2779.87,11.38%,1.00,84.50,7/30/2026 8:30:00 AM
"PB",8767.37,4.05%,0.79,73.15,7/29/2026 8:30:00 AM
"PBA",29868.06,1.69%,0.68,51.37,7/30/2026 4:30:00 PM
"PBF",7291.35,12.60%,1.00,61.63,7/30/2026 8:30:00 AM
"PBI",2421.69,13.13%,0.39,17.88,7/29/2026 4:30:00 PM
"PCAR",69596.10,2.88%,1.20,132.24,7/28/2026 8:30:00 AM
"PCOR",6462.63,11.48%,0.56,42.83,7/29/2026 4:30:00 PM
"PDM",1223.94,3.05%,0.50,9.79,7/28/2026 4:30:00 PM
"PDS",1094.85,3.20%,1.19,84.61,7/28/2026 4:30:00 PM
"PEB",2164.22,13.09%,0.61,19.09,7/29/2026 4:30:00 PM
"PERF",196.57,0.03%,0.95,1.93,7/27/2026 8:30:00 AM
"PFG",23631.76,3.99%,1.33,109.40,7/27/2026 4:30:00 PM
"PFS",3113.19,4.86%,0.93,23.89,7/29/2026 4:30:00 PM
"PFSI",4379.86,7.05%,0.59,84.35,7/29/2026 4:30:00 PM
"PG",343258.80,0.99%,0.75,147.41,7/29/2026 8:30:00 AM
"PGC",821.78,4.20%,1.02,46.38,7/27/2026 4:30:00 PM
"PGY",1317.67,18.80%,0.43,15.89,7/30/2026 8:30:00 AM
"PHAR",892.89,,0.55,12.61,7/30/2026 8:30:00 AM
"PHAT",912.41,24.10%,0.77,11.44,7/30/2026 8:30:00 AM
"PHG",25417.61,0.19%,0.72,26.17,7/28/2026 8:30:00 AM
"PHIN",2902.04,8.69%,0.41,78.39,7/30/2026 8:30:00 AM
"PI",3885.07,11.34%,0.58,127.55,7/29/2026 4:30:00 PM
"PII",4154.97,7.07%,0.72,73.04,7/28/2026 8:30:00 AM
"PIPR",5405.73,4.53%,1.00,76.09,7/30/2026 8:30:00 AM
"PJT",4366.19,9.18%,0.53,169.07,7/28/2026 8:30:00 AM
"PLXS",6808.17,3.21%,0.66,254.45,7/29/2026 4:30:00 PM
"PMT",849.35,8.86%,0.96,9.74,7/29/2026 4:30:00 PM
"PNR",10161.76,3.90%,1.08,62.88,7/28/2026 8:30:00 AM
"POR",6023.75,5.79%,1.01,52.05,7/31/2026 8:30:00 AM
"PPC",6823.60,18.33%,0.63,28.68,7/29/2026 4:30:00 PM
"PPG",25856.40,2.84%,1.16,116.00,7/28/2026 4:30:00 PM
"PRCH",1295.33,18.08%,0.58,11.84,7/29/2026 4:30:00 PM
"PRG",1751.27,7.54%,0.53,43.71,7/29/2026 8:30:00 AM
"PRLB",1861.65,2.89%,0.48,78.24,7/31/2026 8:30:00 AM
"PRM",5502.28,3.17%,0.68,33.73,7/31/2026 8:30:00 AM
"PROV",107.69,0.68%,0.76,17.22,7/28/2026 8:30:00 AM
"PSA",5837.33,3.95%,1.33,322.48,7/29/2026 4:30:00 PM
"PSN",6282.85,5.44%,0.91,58.73,7/29/2026 8:30:00 AM
"PTC",13689.75,5.17%,0.79,118.52,7/29/2026 4:30:00 PM
"PTCT",6372.17,12.27%,0.46,76.82,7/30/2026 4:30:00 PM
"PTEN",3872.10,7.80%,0.72,10.20,7/29/2026 4:30:00 PM
"PUMP",1446.88,15.20%,1.26,11.80,7/29/2026 8:30:00 AM
"PWP",1486.18,11.75%,0.62,15.67,7/31/2026 8:30:00 AM
"PWR",93913.65,2.13%,0.62,625.84,7/30/2026 8:30:00 AM
"PYPL",49530.23,6.22%,0.68,56.15,7/28/2026 8:30:00 AM
"QCOM",175986.38,3.43%,0.42,166.97,7/29/2026 4:30:00 PM
"QRVO",7631.74,8.02%,0.89,86.51,7/28/2026 4:30:00 PM
"QTWO",3418.61,7.07%,0.84,54.61,7/29/2026 4:30:00 PM
"QUAD",430.01,5.28%,0.81,8.34,7/28/2026 4:30:00 PM
"QURE",2650.45,16.89%,0.63,38.97,7/29/2026 8:30:00 AM
"RACE",63568.31,2.74%,0.48,360.14,7/30/2026 8:30:00 AM
"RAL",7771.52,5.81%,0.51,69.43,7/30/2026 8:30:00 AM
"RBBN",354.04,2.93%,0.87,2.01,7/28/2026 4:30:00 PM
"RBC",18825.25,1.60%,0.68,595.07,7/31/2026 8:30:00 AM
"RBLX",34044.79,4.71%,0.41,47.55,7/30/2026 4:30:00 PM
"RCKY",304.44,3.61%,0.58,40.37,7/28/2026 4:30:00 PM
"RCL",78725.96,5.22%,1.07,293.54,7/28/2026 8:30:00 AM
"RDDT",32482.05,12.39%,0.71,168.73,7/30/2026 4:30:00 PM
"RDWR",1273.24,2.52%,0.98,29.51,7/29/2026 8:30:00 AM
"REG",15041.40,3.34%,1.09,82.15,7/29/2026 4:30:00 PM
"REGN",68775.45,3.47%,0.70,656.01,7/30/2026 8:30:00 AM
"RES",1243.39,10.51%,0.77,5.61,7/30/2026 8:30:00 AM
"REYN",5397.75,14.72%,1.14,25.61,7/29/2026 8:30:00 AM
"RGEN",7447.24,10.89%,1.14,131.96,7/28/2026 8:30:00 AM
"RGR",609.55,3.99%,0.56,38.23,7/29/2026 4:30:00 PM
"RITM",5091.76,7.47%,0.76,9.12,7/28/2026 8:30:00 AM
"RIVN",22926.32,15.79%,0.79,15.84,7/30/2026 4:30:00 PM
"RJET",809.68,5.39%,0.61,17.29,7/30/2026 8:30:00 AM
"RM",383.52,5.51%,1.13,41.65,7/29/2026 4:30:00 PM
"RMBS",10382.23,4.27%,0.87,96.01,7/27/2026 4:30:00 PM
"RMNI",408.19,4.86%,0.62,4.41,7/30/2026 4:30:00 PM
"RNGR",373.30,2.33%,1.06,15.71,7/27/2026 4:30:00 PM
"RNST",4011.07,4.60%,0.78,43.47,7/28/2026 4:30:00 PM
"ROG",2332.63,2.93%,0.81,130.69,7/28/2026 4:30:00 PM
"RPT",90.47,3.48%,0.99,11.64,7/28/2026 4:30:00 PM
"RSI",7323.39,9.48%,0.91,31.43,7/29/2026 4:30:00 PM
"RUSHA",5941.40,7.98%,0.54,76.57,7/28/2026 4:30:00 PM
"RWT",616.06,5.73%,0.63,4.92,7/28/2026 8:30:00 AM
"RYAN",11007.78,14.78%,0.58,41.75,7/30/2026 4:30:00 PM
"RYZ",1597.65,3.83%,0.76,30.79,7/29/2026 4:30:00 PM
"SAFE",1185.86,6.78%,0.67,16.56,7/30/2026 4:30:00 PM
"SAH",3154.72,20.23%,0.50,99.82,7/30/2026 8:30:00 AM
"SAIA",11300.06,4.93%,0.72,423.68,7/30/2026 8:30:00 AM
"SANM",11171.38,2.74%,0.71,208.43,7/27/2026 4:30:00 PM
"SB",781.01,3.90%,1.19,7.67,7/28/2026 4:30:00 PM
"SBCF",3256.79,5.50%,0.90,33.49,7/28/2026 4:30:00 PM
"SBUX",117674.02,4.12%,0.83,103.25,7/29/2026 4:30:00 PM
"SCI",11373.68,5.38%,1.18,82.33,7/29/2026 4:30:00 PM
"SCKT",3.88,1.11%,0.09,0.47,7/30/2026 4:30:00 PM
"SCL",1307.61,2.80%,0.61,57.57,7/29/2026 8:30:00 AM
"SEVN",178.51,2.59%,1.03,7.90,7/28/2026 4:30:00 PM
"SFM",7042.98,11.73%,0.68,74.89,7/29/2026 4:30:00 PM
"SHEL",246411.39,1.00%,0.98,88.38,7/30/2026 8:30:00 AM
"SHEN",631.78,5.28%,1.26,11.42,7/29/2026 8:30:00 AM
"SHOO",3124.40,5.62%,0.62,42.75,7/30/2026 8:30:00 AM
"SHW",78309.28,2.94%,0.86,317.51,7/28/2026 8:30:00 AM
"SILC",226.65,2.18%,0.69,39.72,7/29/2026 8:30:00 AM
"SIMO",9091.40,2.12%,0.63,270.90,7/29/2026 4:30:00 PM
"SIRI",10031.27,11.82%,0.57,29.80,7/30/2026 8:30:00 AM
"SITE",4425.06,7.06%,0.85,99.87,7/29/2026 8:30:00 AM
"SKHY",1126606.68,,0.45,154.57,7/28/2026 4:30:00 PM
"SLDE",2320.97,10.22%,0.45,20.26,7/28/2026 4:30:00 PM
"SLGN",4906.71,9.55%,3.87,46.43,7/29/2026 8:30:00 AM
"SMG",4032.59,11.72%,0.72,69.31,7/29/2026 8:30:00 AM
"SNDL",324.07,0.80%,0.82,1.25,7/28/2026 8:30:00 AM
"SNDR",6586.43,11.09%,0.78,37.61,7/30/2026 4:30:00 PM
"SNY",104225.10,0.31%,0.95,43.35,7/30/2026 8:30:00 AM
"SO",109630.04,3.25%,0.83,97.25,7/30/2026 8:30:00 AM
"SOFI",21113.92,14.76%,1.18,16.46,7/29/2026 8:30:00 AM
"SOLS",9616.31,7.14%,1.54,60.54,7/30/2026 8:30:00 AM
"SONO",1750.00,9.50%,0.70,14.69,7/29/2026 4:30:00 PM
"SONY",120072.31,0.26%,0.60,20.98,7/30/2026 4:30:00 PM
"SPGI",126214.40,1.71%,0.67,426.40,7/28/2026 8:30:00 AM
"SPHR",4877.05,24.98%,0.65,136.26,7/30/2026 8:30:00 AM
"SPNT",2979.69,4.07%,0.59,25.35,7/29/2026 4:30:00 PM
"SPOK",221.19,2.75%,0.64,10.59,7/29/2026 4:30:00 PM
"SPSC",2245.35,8.19%,0.53,61.16,7/30/2026 4:30:00 PM
"SPWR",72.38,9.92%,0.87,0.48,7/28/2026 8:30:00 AM
"SPXC",11017.77,2.57%,0.67,220.07,7/30/2026 4:30:00 PM
"SSD",7975.90,3.38%,1.07,193.88,7/27/2026 4:30:00 PM
"ST",6647.70,5.41%,0.49,45.71,7/29/2026 4:30:00 PM
"STAG",7860.44,4.04%,1.41,41.11,7/28/2026 4:30:00 PM
"STGW",1839.08,7.61%,0.68,7.42,7/30/2026 8:30:00 AM
"STLA",16451.50,5.43%,0.92,5.69,7/30/2026 8:30:00 AM
"STNG",4114.62,4.98%,0.35,79.49,7/30/2026 8:30:00 AM
"STRA",1710.44,5.94%,0.47,75.64,7/29/2026 8:30:00 AM
"STX",190973.59,3.28%,1.13,851.69,7/28/2026 4:30:00 PM
"SUI",15013.20,2.77%,2.22,121.83,7/27/2026 4:30:00 PM
"SW",25388.64,4.89%,1.62,48.56,7/29/2026 8:30:00 AM
"SWK",14186.88,4.06%,1.06,91.26,7/29/2026 8:30:00 AM
"SWKS",9055.94,21.94%,0.90,60.21,7/28/2026 4:30:00 PM
"SXC",756.89,5.07%,0.81,8.92,7/30/2026 8:30:00 AM
"SXI",3678.70,6.12%,0.69,303.65,7/30/2026 4:30:00 PM
"SYK",126604.89,1.95%,0.86,330.25,7/30/2026 4:30:00 PM
"TAC",4335.79,2.09%,0.53,13.72,7/31/2026 8:30:00 AM
"TAL",4181.59,4.63%,0.53,10.30,7/30/2026 8:30:00 AM
"TBBK",2788.67,8.11%,0.76,66.98,7/30/2026 4:30:00 PM
"TDOC",1583.10,15.95%,0.93,8.77,7/29/2026 4:30:00 PM
"TE",1396.36,21.48%,0.85,5.00,7/30/2026 8:30:00 AM
"TEM",7694.61,28.51%,0.92,42.69,7/30/2026 4:30:00 PM
"TENB",3556.27,9.78%,0.70,32.25,7/29/2026 4:30:00 PM
"TER",54777.23,4.69%,0.66,349.92,7/28/2026 4:30:00 PM
"TEVA",35882.56,2.81%,0.49,30.81,7/29/2026 8:30:00 AM
"TEX",7974.59,5.30%,0.91,69.83,7/30/2026 8:30:00 AM
"TFII",12363.84,1.44%,0.53,150.43,7/27/2026 4:30:00 PM
"THG",7630.97,3.41%,0.75,218.11,7/28/2026 4:30:00 PM
"TK",974.53,6.04%,0.74,11.20,7/29/2026 4:30:00 PM
"TLRY",465.61,13.62%,1.70,3.88,7/28/2026 4:30:00 PM
"TNET",2837.08,3.18%,0.89,61.75,7/30/2026 8:30:00 AM
"TNK",2626.35,3.93%,0.78,75.81,7/29/2026 4:30:00 PM
"TREE",544.17,14.72%,1.03,39.00,7/29/2026 4:30:00 PM
"TRMK",2731.60,6.02%,1.72,46.61,7/28/2026 4:30:00 PM
"TRN",2974.30,6.61%,0.63,37.41,7/30/2026 8:30:00 AM
"TROW",24962.06,12.71%,0.67,116.50,7/31/2026 8:30:00 AM
"TRP",70590.00,2.31%,0.54,70.59,7/30/2026 8:30:00 AM
"TRS",1434.18,12.53%,0.55,40.03,7/30/2026 8:30:00 AM
"TRTX",666.40,4.99%,0.74,8.62,7/28/2026 4:30:00 PM
"TRU",14751.13,5.66%,0.98,76.51,7/28/2026 8:30:00 AM
"TT",106325.47,1.91%,0.62,480.99,7/30/2026 8:30:00 AM
"TTAM",3161.82,11.13%,1.03,17.15,7/28/2026 4:30:00 PM
"TTEK",8229.53,4.71%,0.62,31.71,7/29/2026 4:30:00 PM
"TW",23562.48,3.66%,0.45,99.83,7/30/2026 8:30:00 AM
"TWI",516.26,4.44%,0.63,8.02,7/30/2026 8:30:00 AM
"TXT",16611.61,3.77%,0.70,95.53,7/28/2026 8:30:00 AM
"TYL",12530.06,8.41%,0.71,297.15,7/29/2026 4:30:00 PM
"TZOO",103.05,5.38%,0.35,10.02,7/28/2026 8:30:00 AM
"UAN",1300.70,4.76%,0.44,123.06,7/29/2026 4:30:00 PM
"UBS",157272.01,0.22%,0.85,51.74,7/29/2026 8:30:00 AM
"UDR",20785.37,3.43%,0.52,39.59,7/27/2026 4:30:00 PM
"UFPI",4966.87,3.43%,0.67,87.94,7/29/2026 4:30:00 PM
"UHS",9426.60,6.75%,1.53,155.75,7/27/2026 4:30:00 PM
"UIS",227.46,7.96%,0.60,3.12,7/29/2026 4:30:00 PM
"ULCC",1335.08,24.33%,0.79,5.81,7/29/2026 8:30:00 AM
"UMBF",10728.20,5.70%,1.08,141.20,7/28/2026 4:30:00 PM
"UMC",48999.99,0.82%,0.94,19.48,7/29/2026 8:30:00 AM
"UNIT",2627.27,7.24%,0.81,10.82,7/30/2026 8:30:00 AM
"UNM",13775.91,1.89%,1.02,86.22,7/28/2026 4:30:00 PM
"UPBD",1192.69,11.84%,1.23,20.46,7/30/2026 8:30:00 AM
"UPS",97572.22,3.27%,0.69,114.79,7/28/2026 8:30:00 AM
"V",670258.56,1.42%,0.54,355.74,7/28/2026 4:30:00 PM
"VALE",63072.40,1.37%,1.07,14.79,7/30/2026 4:30:00 PM
"VCEL",2300.62,9.12%,0.56,45.05,7/30/2026 8:30:00 AM
