"Ticker","Market Cap","Short Float","Relative Volume","Price","Earnings Date"
"ALNY",36284.71,4.34%,0.90,271.77,7/30/2026 8:30:00 AM
"ALRS",821.71,5.42%,0.95,32.70,7/29/2026 4:30:00 PM
"AM",10805.80,3.01%,0.74,22.75,7/29/2026 4:30:00 PM
"AMCX",430.05,21.93%,1.11,9.79,7/30/2026 8:30:00 AM
"AMG",9463.19,3.50%,0.61,358.29,7/30/2026 8:30:00 AM
"AMH",12007.03,3.30%,0.65,33.37,7/30/2026 4:30:00 PM
"AMKR",16101.80,14.32%,1.69,64.96,7/27/2026 4:30:00 PM
"AMRN",284.28,2.46%,0.66,13.55,7/29/2026 8:30:00 AM
"AMRX",5722.42,4.96%,0.60,17.92,7/30/2026 8:30:00 AM
"AMT",77650.40,1.64%,1.04,166.67,7/28/2026 8:30:00 AM
"AMZN",2496832.66,1.09%,0.71,232.11,7/30/2026 4:30:00 PM
"AN",6966.01,10.54%,0.56,208.18,7/31/2026 8:30:00 AM
"ANIK",198.92,2.80%,0.53,14.95,7/29/2026 8:30:00 AM
"AON",77250.79,2.15%,0.50,361.70,7/29/2026 8:30:00 AM
"AOS",8377.22,9.00%,0.84,60.78,7/30/2026 8:30:00 AM
"APAM",3188.81,6.13%,0.60,39.34,7/28/2026 4:30:00 PM
"APD",66329.90,1.88%,0.57,297.87,7/30/2026 8:30:00 AM
"APG",17301.11,2.92%,0.75,39.57,7/30/2026 8:30:00 AM
"APH",187819.90,1.35%,0.58,152.67,7/29/2026 8:30:00 AM
"APLD",7770.07,26.94%,0.95,27.19,7/27/2026 4:30:00 PM
"AQMS",9.63,9.54%,0.14,2.71,7/30/2026 4:30:00 PM
"AR",10931.01,4.01%,0.63,35.28,7/29/2026 4:30:00 PM
"ARCB",3435.30,5.80%,0.75,154.30,7/29/2026 8:30:00 AM
"ARCC",13484.47,6.35%,0.55,18.78,7/29/2026 8:30:00 AM
"ARES",41729.02,8.01%,0.72,126.51,7/31/2026 8:30:00 AM
"ARIS",3025.82,1.70%,0.47,14.66,7/29/2026 4:30:00 PM
"ARLP",3179.16,1.80%,0.89,24.71,7/27/2026 8:30:00 AM
"ARM",276650.65,1.65%,0.46,260.01,7/29/2026 4:30:00 PM
"ARXS",17398.19,4.38%,0.31,42.40,7/29/2026 4:30:00 PM
"ASC",677.73,7.23%,0.63,16.61,7/29/2026 8:30:00 AM
"ASH",3040.31,12.60%,0.90,66.40,7/28/2026 4:30:00 PM
"ASIC",1134.53,2.61%,0.69,23.62,7/29/2026 4:30:00 PM
"ASTL",455.28,1.99%,1.23,4.32,7/29/2026 4:30:00 PM
"ASUR",219.70,3.36%,0.74,7.66,7/30/2026 4:30:00 PM
"ATR",8447.26,2.92%,0.66,132.36,7/30/2026 4:30:00 PM
"AU",40233.94,1.11%,0.65,79.67,7/31/2026 8:30:00 AM
"AUR",11669.16,13.61%,1.05,5.95,7/29/2026 4:30:00 PM
"AVTR",7810.72,8.46%,1.26,11.44,7/29/2026 8:30:00 AM
"AVY",12307.30,3.60%,0.94,160.90,7/30/2026 8:30:00 AM
"AWI",6858.92,4.48%,0.95,160.71,7/28/2026 8:30:00 AM
"AWK",26296.48,5.65%,0.70,134.66,7/29/2026 4:30:00 PM
"AWRE",23.59,0.60%,0.42,1.09,7/29/2026 4:30:00 PM
"AX",5451.25,5.65%,0.78,95.83,7/30/2026 4:30:00 PM
