ticker,weather,score,possible,price,change_pct,from_open_pct,rvol,rsi,sma20_pct,sma50_pct,sma200_pct,short_float_pct,short_ratio
ATKR,BUY,5,7,93.68,0.16,0.2,5.29,72.67,,20.56,34.57,3.76,2.07
BLMN,WATCH,2,7,11.85,32.85,-2.23,4.55,80.39,,42.48,67.67,9.58,3.43
ZETA,BUY,7,7,27.07,11.58,9.82,4.08,74.25,,28.04,43,14.37,3.57
WTTR,BUY,7,7,22.26,20.32,11.3,3.81,67.51,,16.98,51.9,5.12,3.17
BVS,BUY,6,7,15.26,13.71,20.25,3.59,79.39,,44.38,70.66,5.85,3.88
PGEN,WATCH,2,7,6.89,5.51,-1.85,3.52,75.13,,35.48,59.17,25.76,8.54
APPS,BUY,7,7,13.17,38.49,10.21,3.51,71.77,,38.08,127.71,9.96,1.81
ACRS,BUY,7,7,6.36,6.35,6.18,3.38,68.8,,25.85,67.49,11.72,7.95
DT,WATCH,3,7,50.86,11.27,-1.25,3.29,74.75,,18.08,23.19,3.91,2.01
SAN,BUY,4,7,14.64,1.17,-0.14,3.25,63.28,,9.59,21.95,0.59,9.75
URGN,BUY,7,7,46.43,16.31,10.1,3.14,70.22,,30.89,82.39,14.03,7.19
TVTX,BUY,7,7,62.76,12.03,1.23,3.07,69.15,,16.43,61.64,13.3,5.84
TX,BUY,6,7,53.71,6.69,4.39,2.96,77.94,,14.7,28.02,0.31,1.12
ACAD,BUY,7,7,28.8,6.08,3.02,2.82,73.73,,20.01,21.37,6.52,6.84
YOU,WATCH,3,7,56.46,1.31,-12.83,2.73,54.82,,3.35,25.66,13.46,8.54
WBS,BUY,7,7,79.12,1.5,0.47,2.7,66.46,,5.08,15.51,7.02,3.14
PRU,WATCH,1,7,120.16,-2.74,-3.13,2.58,57.46,,7.57,13.31,3.55,6.42
AYA,BUY,7,7,25.07,9.48,3.38,2.34,68.96,,28.63,52.25,6.81,17.5
ELAN,WATCH,3,7,26.22,2.42,-3.18,2.33,59.38,,6.27,11.4,7.24,6.01
AMCX,BUY,7,7,12.03,5.53,4.79,2.31,67.98,,19.27,39.09,23.91,10.91
HELP,BUY,6,7,10.53,13.47,13.1,2.28,81.41,,74.04,71.67,8.04,2.64
AVT,BUY,7,7,97.22,5.07,4.94,2.14,67.83,,10.5,45.11,8.02,5.12
AMGN,BUY,7,7,407.83,4.57,3.68,2.12,72.48,,13.57,18.12,2.39,4.73
ANET,WATCH,3,7,197.31,3.57,-6.13,2.07,65.71,,16.63,34.62,1.9,2.03
QLYS,WATCH,2,7,183.25,13.78,-7.65,2.03,75.23,,39.16,53.45,11.07,4.83
CRL,WATCH,3,7,260.72,11.36,-2.71,1.98,73.95,,24.43,38.49,7.02,3.71
TWST,BUY,7,7,115.01,15.65,10.06,1.92,70.85,,33.18,114.2,23.65,8.21
STGW,WATCH,1,7,8.85,-1.78,-1.45,1.81,71.89,,21.07,45.47,7.72,5.52
EXPE,WATCH,3,7,319.66,2.44,-1.03,1.8,74.36,,24.7,28.3,7.45,5.06
ATI,BUY,7,7,205.11,2.48,0.47,1.76,61.85,,8.3,41.43,2.77,2.18
SN,BUY,6,7,182.11,8.28,7.57,1.76,79.23,,27.66,54.29,9.69,3.99
DBRG,BUY,7,7,15.92,0.32,0.32,1.72,63.61,,1.02,8.76,10.23,6.23
IFF,BUY,7,7,88.07,8.88,5.06,1.68,72.4,,13.94,21.72,6,7.32
BSP,BUY,7,7,43.75,16.82,15.34,1.66,66.65,,26.05,26.05,3.71,2.73
CPAY,WATCH,1,7,394.53,-0.5,-1.37,1.66,65.25,,9.94,22.37,3.96,3.94
WT,WATCH,1,7,22.03,-1.61,-1.61,1.65,66.04,,16.85,40.18,11.47,5.05
NSIT,BUY,6,7,140.28,2.2,2.73,1.53,79.21,,20.85,52.89,4.83,2.72
ING,BUY,7,7,35.92,1.64,0.5,1.52,69.97,,12.53,25.58,0.03,0.29
