date,open,high,low,close,volume
2026-06-08 08:00:00+00:00,394.86,395.9935,389.5975,394.4942,0
2026-06-08 08:01:00+00:00,394.4942,395.76,389.72,391.3,0
2026-06-08 08:02:00+00:00,393.8116,393.8875,390.89,393.77,0
2026-06-08 08:03:00+00:00,392.53,393.95,392.53,393.326,0
2026-06-08 08:04:00+00:00,393.3275,394.0,393.31,393.99,0
2026-06-08 08:05:00+00:00,393.95,395.72,389.91,391.97,0
2026-06-08 08:06:00+00:00,391.0,395.8,389.9,394.9,0
2026-06-08 08:07:00+00:00,394.92,395.0,394.5122,394.68,0
2026-06-08 08:08:00+00:00,394.89,394.99,394.6316,394.99,0
2026-06-08 08:09:00+00:00,394.8437,395.4298,394.59,395.4298,0
2026-06-08 08:10:00+00:00,395.0588,395.2971,394.6,395.2043,0
2026-06-08 08:11:00+00:00,394.9905,395.2,394.67,395.0,0
2026-06-08 08:12:00+00:00,395.005,395.18,394.6212,394.93,0
2026-06-08 08:13:00+00:00,394.94,395.1,394.8,394.98,0
2026-06-08 08:14:00+00:00,394.96,395.0988,394.525,394.77,0
2026-06-08 08:15:00+00:00,394.98,394.98,394.78,394.88,0
2026-06-08 08:16:00+00:00,394.9,394.9,394.5,394.63,0
2026-06-08 08:17:00+00:00,394.63,394.6997,394.3,394.3151,0
2026-06-08 08:18:00+00:00,394.4,394.77,394.31,394.77,0
2026-06-08 08:19:00+00:00,394.88,394.9,394.7,394.7142,0
2026-06-08 08:20:00+00:00,394.7072,394.71,394.5,394.5393,0
2026-06-08 08:21:00+00:00,394.5177,394.65,394.32,394.36,0
2026-06-08 08:22:00+00:00,394.31,394.5538,394.219,394.25,0
2026-06-08 08:23:00+00:00,394.42,394.51,394.0315,394.24,0
2026-06-08 08:24:00+00:00,394.26,394.4895,394.0303,394.4895,0
2026-06-08 08:25:00+00:00,394.3,394.38,394.0545,394.0545,0
2026-06-08 08:26:00+00:00,394.38,394.5,394.11,394.24,0
2026-06-08 08:27:00+00:00,394.26,394.45,394.0652,394.12,0
2026-06-08 08:28:00+00:00,394.07,394.24,393.88,394.0,0
2026-06-08 08:29:00+00:00,394.0,394.103,394.0,394.03,0
2026-06-08 08:30:00+00:00,393.91,394.4988,393.88,394.4988,0
2026-06-08 08:31:00+00:00,394.4734,394.4734,394.0,394.2192,0
2026-06-08 08:32:00+00:00,394.5,394.74,394.365,394.5075,0
2026-06-08 08:33:00+00:00,394.5,394.63,394.5,394.5025,0
2026-06-08 08:34:00+00:00,394.59,394.9,394.5226,394.9,0
2026-06-08 08:35:00+00:00,394.87,394.9,394.53,394.89,0
2026-06-08 08:36:00+00:00,394.8697,394.89,394.43,394.44,0
2026-06-08 08:37:00+00:00,394.48,394.52,394.3416,394.51,0
