"Ticker","Market Cap","Performance (Week)","Relative Strength Index (14)","Change from Open","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
"ALK",5071.13,-7.91%,42.66,-2.34%,3579.81,0.98,45.51,-4.43%,3511012,7/21/2026 4:30:00 PM
"CALX",2496.44,-3.09%,52.57,3.74%,1151.07,1.06,39.14,1.32%,1223875,7/20/2026 4:30:00 PM
"DHI",42363.96,-1.44%,44.56,-2.77%,2364.66,1.24,149.39,-3.26%,2922494,7/21/2026 8:30:00 AM
"EFX",21085.34,6.39%,59.55,-1.35%,1744.64,0.67,177.08,-1.41%,1169662,7/21/2026 8:30:00 AM
"GEV",284262.76,-3.09%,50.08,6.32%,2828.69,1.16,1057.84,2.09%,3284987,7/22/2026 8:30:00 AM
"GOOG",4218128.85,-2.51%,43.26,0.10%,21648.83,1.02,346.12,-2.17%,22023945,7/22/2026 4:30:00 PM
"GOOGL",4218128.85,-2.91%,42.23,0.22%,31669.54,0.95,346.77,-2.17%,29959283,7/22/2026 4:30:00 PM
"IBKR",40329.74,-3.78%,47.56,1.04%,4868.99,0.91,90.53,-1.82%,4448163,7/21/2026 4:30:00 PM
"IBM",199885.40,-26.04%,31.45,-1.37%,10755.81,1.22,212.67,-2.91%,13150198,7/22/2026 4:30:00 PM
"IRDM",4946.04,-6.75%,45.66,0.93%,2751.82,0.54,46.68,0.15%,1479415,7/22/2026 8:30:00 AM
"KNX",12460.04,1.98%,53.34,0.64%,4282.77,0.87,76.68,-0.83%,3733435,7/22/2026 4:30:00 PM
"LBRT",3890.48,-2.65%,36.38,1.40%,3699.37,0.82,23.84,1.62%,3037651,7/22/2026 4:30:00 PM
"MOH",12079.83,-3.40%,55.79,0.79%,1132.39,1.01,225.37,0.24%,1139376,7/22/2026 4:30:00 PM
"NOW",106472.23,-4.15%,48.52,0.35%,28136.58,0.58,103.24,-0.74%,16207264,7/22/2026 4:30:00 PM
"OII",4217.20,0.43%,61.07,-0.35%,1102.05,0.52,42.28,-0.05%,575914,7/22/2026 4:30:00 PM
"PEGA",5374.45,2.94%,50.87,-0.34%,2234.41,1.39,32.16,-2.31%,3101281,7/21/2026 4:30:00 PM
"PHM",24016.52,1.07%,49.27,-2.04%,1829.48,0.93,126.08,-2.28%,1709130,7/22/2026 8:30:00 AM
"PM",300770.68,6.25%,62.95,0.52%,4989.38,1.04,192.98,1.65%,5203086,7/22/2026 8:30:00 AM
"SLG",3968.72,5.88%,57.80,0.10%,1171.85,0.76,51.54,-0.39%,892600,7/22/2026 4:30:00 PM
"SON",5593.00,1.22%,61.71,0.14%,1408.42,0.76,56.57,0.69%,1064809,7/22/2026 4:30:00 PM
"TEL",59345.34,1.47%,50.18,2.61%,2746.60,0.89,203.31,0.37%,2452853,7/22/2026 8:30:00 AM
"TXN",258484.56,-8.81%,43.28,0.40%,9012.15,0.85,284.02,-2.47%,7654976,7/22/2026 4:30:00 PM
"WFRD",5788.93,-4.34%,33.13,0.65%,1309.21,1.64,80.70,0.35%,2153465,7/22/2026 8:30:00 AM
"WH",5731.32,-2.52%,39.40,-2.82%,1329.99,0.95,76.56,-3.05%,1265815,7/22/2026 4:30:00 PM
