"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
189,"BZFD",3.79,0.11,-9.88%,-17.69%,10.10%,-46.93%,120.37%,41.31,1.19,-0.83%,0.85%,-1.67%,325593
190,"CABO",0.55,3.91,-0.03%,-10.32%,-56.16%,-77.87%,19.82%,46.07,39.99,1.09%,2.59%,-1.47%,138020
191,"CACC",1.38,21.54,-6.15%,-3.37%,13.04%,-14.94%,41.56%,40.41,568.91,2.38%,2.62%,-0.23%,87071
192,"CACI",0.53,19.26,3.65%,1.46%,-9.86%,-27.18%,14.50%,54.96,497.75,4.27%,4.70%,-0.41%,229032
193,"CAI",0.67,0.93,-4.54%,-7.19%,-27.62%,-63.13%,10.43%,41.43,15.67,-2.61%,-2.37%,-0.25%,3511257
194,"CALY",0.93,0.60,-0.43%,5.70%,30.59%,-8.97%,130.75%,53.79,18.46,-0.38%,-1.76%,1.40%,1154343
195,"CAPL",0.26,0.47,-0.09%,0.08%,3.39%,-4.84%,13.26%,51.91,22.21,1.97%,1.88%,0.09%,113891
196,"CARG",1.17,1.45,3.71%,13.87%,7.20%,-8.07%,37.32%,60.16,36.24,0.67%,1.51%,-0.83%,650045
197,"CARL",1.64,0.81,6.70%,10.30%,5.87%,-26.76%,48.12%,59.14,12.59,-0.55%,-0.55%,0.00%,79662
198,"CARS",1.59,0.54,1.53%,11.22%,10.23%,-15.18%,60.14%,54.90,11.85,-0.25%,-0.67%,0.42%,603710
199,"CART",0.78,1.68,-3.23%,0.91%,8.90%,-16.64%,36.27%,47.47,44.60,-0.34%,0.02%,-0.36%,1911691
200,"CAT",1.61,41.51,-8.62%,-11.44%,10.39%,-24.09%,100.96%,36.25,814.81,0.70%,-3.39%,4.23%,2423585
201,"CBC",0.08,0.85,3.39%,9.47%,29.07%,-0.67%,234.69%,70.44,32.80,-0.09%,-0.09%,0.00%,443834
202,"CBL",1.37,1.72,6.18%,13.36%,44.03%,-2.80%,123.30%,66.79,58.71,0.74%,0.12%,0.62%,292584
203,"CBT",0.83,2.88,-0.70%,0.62%,17.01%,-6.89%,50.90%,48.25,88.02,-0.24%,0.35%,-0.59%,454586
204,"CC",1.43,0.98,-5.90%,-16.56%,-6.72%,-42.06%,59.10%,37.30,16.61,-2.92%,-3.26%,0.35%,1935958
205,"CCLD",1.50,0.10,6.68%,7.07%,-12.35%,-39.15%,19.61%,61.41,2.44,1.24%,0.83%,0.41%,267710
206,"CCOI",0.78,1.00,8.33%,-7.62%,-36.84%,-71.07%,23.57%,52.06,13.50,1.96%,2.12%,-0.15%,962601
207,"CCSI",1.91,1.69,-0.84%,3.81%,30.79%,-12.08%,87.44%,51.78,36.40,1.88%,2.22%,-0.34%,111312
208,"CDE",1.32,0.93,-3.12%,-10.04%,-20.18%,-46.31%,74.08%,44.14,14.91,-3.18%,-0.93%,-2.27%,30369384
209,"CDLX",0.64,0.33,-7.08%,-25.80%,-61.32%,-88.60%,6.86%,34.32,3.74,-1.58%,-1.58%,0.00%,16515
210,"CDRE",1.31,1.51,2.86%,3.92%,-15.36%,-36.77%,19.82%,53.96,30.83,0.75%,1.12%,-0.36%,377815
211,"CDW",0.95,5.53,7.31%,11.87%,11.28%,-17.55%,52.19%,64.15,147.81,1.55%,2.11%,-0.55%,1112774
212,"CE",0.75,2.04,-3.41%,-9.11%,-10.73%,-36.75%,27.30%,41.08,44.72,-0.20%,-1.67%,1.50%,1547374
213,"CECO",1.52,5.24,-14.59%,-21.31%,-2.41%,-34.92%,57.93%,33.55,65.89,0.53%,-2.08%,2.67%,672171
214,"CEG",1.11,9.52,1.78%,-0.17%,-14.69%,-36.33%,14.92%,50.98,262.75,-0.31%,-1.39%,1.10%,1852843
215,"CELH",0.94,1.36,-1.23%,-1.66%,-28.61%,-56.23%,10.06%,48.78,29.21,-0.48%,-0.78%,0.31%,5421830
216,"CENT",0.62,1.24,-0.60%,2.01%,17.39%,-5.96%,49.64%,49.28,43.05,-0.53%,0.05%,-0.58%,76171
217,"CENTA",0.59,1.28,-0.19%,2.17%,15.85%,-5.20%,45.98%,50.07,37.91,-0.45%,0.05%,-0.50%,316328
218,"CENX",1.97,2.43,0.30%,-13.96%,-5.70%,-36.43%,121.52%,44.85,44.77,-0.25%,-0.69%,0.45%,1928110
219,"CERT",1.43,0.39,12.45%,29.60%,6.89%,-41.64%,82.02%,69.41,8.10,4.11%,3.85%,0.26%,4442116
220,"CF",0.38,4.16,3.43%,8.99%,21.42%,-11.81%,66.00%,59.44,125.19,-0.46%,-0.64%,0.18%,2354530
221,"CG",1.81,1.55,2.21%,3.49%,-11.10%,-34.11%,16.21%,55.31,46.02,1.46%,1.17%,0.29%,2327740
222,"CGBD",0.68,0.27,-3.42%,-5.98%,-14.11%,-29.15%,0.15%,37.83,9.99,-1.09%,-3.43%,2.43%,566903
223,"CGC",0.82,0.04,-1.76%,-6.18%,-17.75%,-61.46%,8.75%,44.76,0.92,-0.08%,0.74%,-0.81%,2040121
224,"CGEN",2.77,0.11,-0.24%,2.75%,13.19%,-27.36%,81.47%,52.15,2.35,0.64%,1.29%,-0.64%,350225
225,"CGNX",1.50,3.25,2.59%,0.89%,27.89%,-10.48%,88.55%,53.78,65.24,4.18%,1.08%,3.07%,1830553
226,"CHCT",0.67,0.41,-0.39%,1.89%,9.74%,-4.46%,38.40%,49.56,18.31,-1.35%,-1.40%,0.05%,166892
227,"CHGG",2.15,0.08,6.64%,-9.26%,4.48%,-48.26%,118.44%,50.06,0.98,-6.38%,-5.48%,-0.95%,841010
228,"CHH",0.67,3.73,1.13%,0.73%,7.21%,-14.16%,32.67%,51.43,111.49,-0.15%,0.30%,-0.45%,533444
229,"CHRD",0.48,4.81,9.68%,8.57%,22.60%,-7.61%,66.63%,63.52,140.38,1.54%,0.70%,0.84%,840255
230,"CHRS",0.97,0.08,-4.57%,-4.95%,-11.85%,-46.10%,74.07%,44.86,1.41,-4.08%,-4.73%,0.68%,437184
231,"CHYM",0.28,1.12,5.87%,17.60%,8.53%,-34.95%,44.77%,64.76,22.99,1.73%,1.95%,-0.22%,7555551
232,"CIFR",3.22,2.85,4.76%,-3.72%,19.73%,-25.95%,390.54%,50.69,22.32,-1.48%,-7.69%,6.73%,27799043
233,"CIM",1.75,0.25,-2.62%,-5.07%,-4.13%,-16.13%,6.94%,37.61,12.48,-1.42%,-1.58%,0.16%,1102612
234,"CION",1.08,0.19,-3.54%,-7.59%,-26.20%,-45.47%,2.23%,39.99,5.96,0.85%,0.34%,0.51%,782397
235,"CIX",0.89,1.16,7.22%,10.07%,18.97%,-10.67%,39.53%,62.12,28.31,-0.25%,-3.67%,3.56%,4131
236,"CLAR",1.05,0.10,-2.56%,2.07%,0.53%,-20.35%,27.13%,47.70,3.21,0.00%,0.31%,-0.31%,67657
237,"CLDT",1.09,0.37,0.91%,6.08%,52.18%,-3.96%,119.24%,55.45,13.33,0.00%,-0.97%,0.98%,275392
238,"CLFD",2.13,2.07,-4.80%,-19.55%,-7.99%,-42.61%,27.36%,39.64,30.26,-2.04%,-4.63%,2.72%,197795
239,"CLLS",2.90,0.15,-4.41%,-9.98%,-26.76%,-49.81%,13.17%,41.79,2.75,-3.51%,-3.51%,0.00%,12724
240,"CLMT",0.70,1.60,7.29%,18.67%,57.07%,-2.23%,241.63%,72.28,44.19,1.01%,-0.65%,1.67%,742213
241,"CLNE",1.85,0.10,-9.22%,-4.25%,-14.44%,-37.62%,16.87%,40.33,1.94,0.52%,0.52%,0.00%,1197751
242,"CLOV",2.49,0.25,-8.46%,-7.68%,39.98%,-25.40%,163.92%,41.19,4.17,-3.92%,-4.03%,0.12%,3542401
243,"CLPR",0.94,0.09,-2.37%,-6.63%,-16.23%,-39.26%,4.02%,38.98,2.80,0.00%,-1.41%,1.43%,52412
244,"CLPT",1.25,0.93,-4.66%,-1.14%,5.04%,-50.37%,80.65%,46.58,14.94,2.47%,0.27%,2.19%,605340
245,"CLSK",3.86,1.47,0.78%,-10.17%,4.78%,-41.72%,72.00%,47.92,13.76,-5.36%,-8.48%,3.40%,19476972
246,"CLX",0.53,3.00,-0.84%,0.10%,-8.36%,-25.89%,12.79%,48.14,95.53,-1.24%,-0.13%,-1.12%,3164659
247,"CMDB",0.71,0.87,2.84%,8.83%,17.84%,-4.59%,122.02%,61.69,19.56,0.77%,0.51%,0.26%,47073
248,"CMI",1.25,26.21,-3.37%,-5.16%,9.43%,-14.04%,78.81%,43.10,634.20,0.19%,-2.42%,2.68%,891474
249,"CMP",1.25,1.13,-0.77%,-3.00%,20.89%,-14.96%,78.96%,46.63,29.34,-1.48%,-1.94%,0.47%,293054
250,"CMPS",2.52,0.84,-7.87%,-8.87%,37.84%,-26.30%,189.28%,42.72,11.35,-1.90%,-2.16%,0.26%,1986053
251,"CMRC",1.13,0.17,2.94%,6.27%,-8.79%,-43.55%,29.88%,55.20,3.13,-0.95%,0.64%,-1.58%,368148
252,"CMT",0.44,1.10,-1.83%,-1.08%,9.38%,-17.88%,43.92%,46.11,23.56,0.99%,0.21%,0.77%,22984
253,"CNA",0.26,1.22,0.20%,9.39%,13.78%,-5.82%,26.34%,55.81,52.47,-1.48%,-0.46%,-1.03%,482577
254,"CNCK",0.47,0.27,-30.16%,-18.11%,-31.83%,-80.67%,29.03%,28.25,1.80,-2.17%,-9.09%,7.61%,151145
255,"CNH",1.16,0.41,-3.28%,-3.11%,-3.43%,-22.99%,13.89%,43.67,10.25,-0.68%,-0.97%,0.29%,14557486
256,"CNQ",0.48,1.21,8.39%,8.33%,18.13%,-7.13%,62.73%,65.61,47.68,0.85%,0.15%,0.70%,4597410
257,"CNR",0.14,3.07,-3.41%,-6.48%,-9.94%,-30.45%,16.08%,43.05,79.84,-1.59%,-1.83%,0.25%,471088
258,"CNTY",1.69,0.05,-0.86%,-7.25%,-18.77%,-57.54%,6.14%,44.79,1.21,2.54%,0.83%,1.69%,37777
259,"COKE",0.55,6.87,2.81%,3.19%,8.70%,-14.10%,70.20%,53.84,187.90,-1.02%,-0.76%,-0.26%,305876
260,"COLD",0.98,0.51,-7.79%,-6.44%,7.58%,-16.53%,39.50%,37.47,14.09,-2.56%,-2.42%,-0.14%,2528555
261,"COLL",0.73,1.35,-1.10%,1.70%,-10.01%,-30.32%,21.24%,49.13,35.39,-1.64%,-0.90%,-0.75%,288493
262,"COMP",2.36,0.64,-2.75%,10.81%,17.78%,-18.38%,78.81%,51.64,11.39,-0.61%,-2.23%,1.66%,8840231
263,"CON",0.60,0.88,0.33%,9.17%,35.07%,-3.68%,70.67%,58.93,31.65,0.09%,1.38%,-1.27%,556945
264,"COOK",1.98,5.80,-3.58%,-4.76%,29.70%,-27.01%,206.79%,47.11,64.15,4.43%,3.23%,1.16%,81842
265,"COP",0.10,3.14,5.54%,6.04%,11.83%,-11.33%,40.80%,62.09,120.48,1.22%,0.86%,0.35%,5801890
266,"COR",0.56,7.36,1.50%,7.93%,-4.07%,-17.53%,27.17%,59.22,311.34,-0.29%,-1.02%,0.74%,1048289
267,"CPA",1.00,4.66,-1.35%,-1.58%,8.71%,-11.99%,31.44%,48.35,141.22,-0.71%,-1.59%,0.89%,166487
268,"CPAY",0.86,11.08,4.09%,7.26%,19.11%,-3.38%,51.13%,60.50,382.11,-2.05%,-1.10%,-0.97%,548785
269,"CPIX",0.08,0.66,-1.96%,6.52%,58.77%,-17.43%,261.08%,50.43,6.68,-0.74%,0.60%,-1.34%,110248
270,"CPK",0.68,3.51,0.68%,4.85%,3.20%,-5.72%,11.73%,54.39,132.78,-0.29%,0.67%,-0.96%,237375
271,"CPNG",1.13,0.71,-3.58%,-3.13%,-22.52%,-52.02%,9.58%,46.89,16.35,1.62%,2.32%,-0.68%,12030529
272,"CPRI",1.41,0.73,-4.95%,-12.63%,-23.18%,-43.64%,4.84%,38.62,15.93,0.25%,0.13%,0.13%,3226297
273,"CPS",2.00,1.57,4.01%,2.75%,-5.87%,-38.58%,24.79%,55.58,29.47,1.73%,1.48%,0.24%,167040
274,"CPSH",2.11,0.52,-12.04%,-35.52%,-15.35%,-72.76%,46.82%,38.38,3.92,-2.24%,-4.39%,2.24%,226055
275,"CRAI",0.64,8.41,6.02%,15.68%,4.22%,-21.23%,35.45%,61.76,179.03,-2.67%,-1.75%,-0.95%,166287
276,"CRBG",1.09,0.87,-0.15%,6.59%,8.57%,-14.71%,40.56%,54.27,31.19,-2.41%,-2.29%,-0.13%,5658576
277,"CRCL",0.17,5.29,-2.59%,-19.34%,-30.19%,-67.03%,25.47%,43.19,62.61,-2.54%,-0.18%,-2.37%,13726408
278,"CRCT",0.19,0.17,3.73%,6.76%,3.39%,-32.32%,25.57%,57.14,4.69,0.86%,0.21%,0.65%,327069
279,"CRGY",0.89,0.43,9.99%,4.82%,8.92%,-19.73%,49.35%,60.56,11.47,2.69%,2.32%,0.36%,4157701
280,"CRL",1.38,9.02,1.66%,13.69%,24.20%,-4.21%,61.17%,59.80,232.51,-0.90%,-1.36%,0.46%,509312
281,"CRNC",3.02,0.67,-8.81%,-17.31%,-13.07%,-37.98%,45.64%,40.63,8.52,2.77%,0.47%,2.29%,632037
282,"CRNX",0.06,1.40,2.30%,54.50%,81.47%,-0.57%,223.34%,90.10,83.52,-0.13%,-0.27%,0.14%,1863939
283,"CRON",0.89,0.08,1.45%,2.43%,7.03%,-17.49%,47.01%,54.62,2.83,-2.08%,-2.08%,0.00%,728458
284,"CRSR",1.84,0.67,8.05%,12.62%,51.08%,-19.01%,136.83%,59.72,10.61,-0.19%,-2.30%,2.16%,1215900
285,"CRTO",0.28,0.93,-1.52%,11.92%,12.59%,-13.72%,40.10%,55.97,21.82,-0.55%,0.37%,-0.91%,248155
286,"CRUS",1.18,5.28,-7.30%,-15.83%,-8.26%,-28.31%,40.57%,29.39,129.35,-1.90%,-2.16%,0.26%,886666
287,"CRVL",0.98,1.93,-2.40%,-1.69%,-3.60%,-35.91%,33.97%,46.06,60.06,0.96%,1.73%,-0.76%,181351
288,"CRVS",0.88,0.75,-7.77%,0.01%,2.30%,-50.80%,234.85%,44.21,13.26,0.53%,0.15%,0.38%,775851
289,"CSQR",,1.17,-5.35%,-5.35%,-5.35%,-15.06%,1.06%,,19.96,-4.82%,-4.13%,-0.72%,1035508
290,"CSR",0.89,1.51,-1.77%,-6.04%,-12.03%,-21.21%,3.94%,38.25,54.84,-2.09%,-1.58%,-0.52%,131542
291,"CSTE",0.39,0.17,-8.39%,2.64%,27.34%,-20.23%,274.82%,46.99,2.09,0.97%,0.48%,0.48%,67123
292,"CSV",0.83,1.25,4.39%,2.68%,-5.99%,-22.51%,10.94%,57.01,40.37,0.62%,1.64%,-1.00%,101363
293,"CSWC",0.73,0.39,-0.66%,0.53%,4.88%,-3.36%,22.77%,48.85,23.59,0.00%,-0.72%,0.72%,582640
294,"CTEV",0.76,2.44,-17.80%,-19.29%,-27.73%,-69.34%,97.48%,35.67,22.71,-3.69%,-5.10%,1.48%,72868
295,"CTKB",1.17,0.19,-6.54%,-1.54%,-7.72%,-31.72%,28.66%,39.71,4.22,-2.09%,-1.40%,-0.70%,608894
296,"CTM",-4.15,0.05,8.40%,0.65%,-16.52%,-47.23%,49.52%,54.95,0.72,0.77%,-1.01%,1.80%,1192504
297,"CTMX",2.12,0.19,-11.91%,-8.95%,-25.94%,-62.24%,80.23%,34.79,3.10,-5.49%,-4.91%,-0.61%,3502406
298,"CTOS",1.39,0.50,-1.56%,-2.38%,31.39%,-17.01%,95.95%,45.93,10.15,2.32%,-0.59%,2.92%,4449191
299,"CTRE",0.77,1.01,0.24%,4.28%,9.18%,-3.85%,33.87%,53.52,41.94,0.72%,0.77%,-0.05%,1576834
300,"CTRI",1.14,1.34,3.70%,-3.65%,-0.90%,-35.23%,46.22%,50.71,27.84,3.73%,2.28%,1.42%,2107061
301,"CTSO",1.39,0.04,-4.26%,-13.35%,-41.50%,-70.42%,3.11%,42.84,0.36,3.08%,-5.03%,8.54%,88331
302,"CVGI",1.45,0.31,-3.19%,-7.06%,49.58%,-22.96%,251.16%,46.05,4.53,4.38%,3.42%,0.92%,534407
303,"CVRX",0.80,0.36,0.27%,-2.54%,-29.43%,-54.20%,18.42%,49.60,5.18,-3.81%,-3.45%,-0.37%,95412
304,"CVS",0.60,2.55,-1.61%,3.29%,23.47%,-5.65%,70.67%,49.05,104.43,-0.75%,-1.00%,0.26%,7081289
305,"CVSA",0.62,5.73,0.71%,0.77%,9.85%,-20.10%,43.56%,51.71,124.85,-1.26%,1.66%,-2.87%,347196
306,"CW",0.88,30.17,-1.89%,-2.66%,8.81%,-10.41%,55.73%,46.97,724.00,1.02%,-0.47%,1.50%,122018
307,"CWEN",0.89,1.12,-3.89%,-11.85%,-12.55%,-23.98%,14.67%,34.88,31.73,0.00%,-0.84%,0.85%,1077567
308,"CWK",1.43,0.56,0.51%,1.47%,-6.75%,-22.87%,16.04%,51.30,13.42,-2.61%,-2.12%,-0.51%,1706021
309,"CWST",0.75,3.30,-4.40%,-0.84%,-2.14%,-18.04%,21.15%,44.04,89.71,0.23%,1.34%,-1.09%,626774
310,"CXDO",1.13,0.47,-8.00%,-12.85%,-2.60%,-38.74%,30.80%,40.70,6.88,1.03%,0.00%,1.03%,233823
311,"CXT",1.10,1.87,0.79%,12.74%,4.72%,-24.71%,45.50%,57.71,51.95,0.68%,-0.02%,0.70%,556597
312,"CXW",0.58,1.10,-3.41%,7.25%,41.09%,-8.53%,90.02%,48.84,29.90,0.34%,-0.10%,0.44%,1064845
313,"CYD",1.43,2.52,2.86%,-5.00%,8.80%,-23.29%,121.72%,51.62,47.16,-2.40%,-3.56%,1.20%,88365
314,"CYRX",1.89,0.73,-3.96%,-1.93%,36.59%,-10.66%,125.56%,45.45,15.09,-1.57%,-1.50%,-0.07%,396076
315,"CYTK",0.39,2.98,-5.67%,-1.85%,13.54%,-12.66%,134.51%,41.16,77.13,-4.09%,-3.97%,-0.12%,1579231
316,"DAC",0.88,3.60,6.88%,9.27%,27.24%,-1.06%,69.49%,70.69,141.63,-0.31%,-0.59%,0.28%,90021
317,"DAN",1.97,1.11,0.11%,-10.07%,-7.05%,-31.93%,75.96%,44.25,26.93,-0.48%,-1.54%,1.07%,1178545
318,"DASH",1.77,8.40,4.33%,12.29%,2.68%,-31.29%,36.89%,59.90,196.16,-0.69%,-0.71%,0.02%,3112739
319,"DAVE",3.83,24.64,-8.29%,9.92%,52.72%,-18.67%,144.85%,45.66,372.69,-1.31%,-1.22%,-0.10%,334744
320,"DBX",0.63,1.15,8.06%,15.02%,20.50%,-2.92%,50.08%,66.16,32.56,1.40%,3.01%,-1.56%,3750681
321,"DCBO",1.22,1.04,6.47%,12.49%,3.96%,-38.15%,43.64%,58.50,20.67,-0.67%,-0.67%,0.00%,34733
322,"DCH",1.59,0.28,4.27%,-3.33%,-10.69%,-38.92%,32.78%,51.60,5.65,-3.58%,-3.25%,-0.34%,2821797
323,"DCO",1.04,7.94,2.71%,7.87%,40.61%,-8.96%,111.21%,55.06,179.02,-2.40%,-3.56%,1.20%,233972
324,"DCTH",0.52,0.53,-3.52%,1.73%,16.71%,-11.06%,50.49%,48.43,12.22,1.50%,1.75%,-0.25%,372153
325,"DD",1.03,3.54,-0.08%,-2.04%,3.18%,-13.28%,58.29%,46.95,137.00,-1.33%,-0.69%,-0.64%,7537199
326,"DDD",2.74,0.18,-4.83%,-12.48%,6.96%,-35.92%,68.14%,44.28,2.64,-2.22%,-3.65%,1.48%,2451203
327,"DDOG",1.54,13.17,3.57%,9.43%,60.21%,-3.85%,173.41%,61.39,267.97,-0.22%,-1.30%,1.09%,5273364
328,"DEA",0.95,0.50,-2.70%,-0.39%,6.15%,-6.16%,18.48%,41.76,24.36,-1.42%,-1.42%,0.00%,426111
329,"DEI",1.17,0.41,-3.05%,-1.56%,4.55%,-30.41%,30.75%,44.68,11.82,-1.83%,-1.66%,-0.17%,1676905
330,"DEO",0.52,2.23,4.74%,6.52%,2.38%,-24.35%,21.55%,61.13,88.06,-1.12%,0.25%,-1.37%,864761
331,"DFLI",0.28,0.13,-23.70%,-34.53%,-70.99%,-95.52%,-3.31%,26.43,1.17,-9.30%,-13.33%,4.65%,975456
332,"DFTX",2.24,2.69,-1.73%,23.26%,106.16%,-11.54%,446.73%,56.42,43.52,-2.18%,-3.25%,1.10%,1966014
333,"DGII",0.98,2.93,3.41%,2.50%,33.70%,-8.76%,127.17%,56.18,69.72,2.24%,0.50%,1.73%,279810
334,"DHC",2.29,0.32,-2.25%,-0.76%,32.12%,-7.87%,179.87%,45.79,8.90,-0.78%,-0.11%,-0.67%,1169975
335,"DHT",-0.14,0.67,3.31%,5.23%,17.03%,-9.64%,73.63%,56.51,18.57,0.11%,-1.07%,1.19%,2457238
336,"DHX",1.21,0.26,5.46%,11.10%,59.96%,-2.75%,192.36%,60.46,4.21,3.19%,2.43%,0.74%,122597
337,"DIBS",0.81,0.25,-5.81%,-5.43%,-15.51%,-36.15%,68.97%,42.70,4.23,1.44%,1.20%,0.24%,77661
338,"DIN",0.97,1.38,1.64%,6.88%,15.38%,-9.43%,83.55%,55.88,35.94,-0.17%,-0.53%,0.36%,173830
339,"DIOD",1.92,6.70,-8.34%,-18.09%,10.42%,-34.66%,94.70%,39.56,82.32,0.39%,-4.53%,5.16%,591948
340,"DIS",1.39,2.28,-0.44%,-2.99%,-8.12%,-19.78%,4.34%,46.34,96.19,0.03%,0.12%,-0.09%,11193062
341,"DK",0.54,2.89,10.35%,29.80%,64.42%,-1.54%,242.60%,71.11,67.87,0.24%,-0.89%,1.14%,1030451
342,"DKL",0.42,1.71,7.52%,13.60%,20.70%,1.65%,44.56%,76.14,60.31,1.96%,1.94%,0.02%,212640
343,"DKNG",1.66,1.08,-5.52%,-7.89%,-15.03%,-51.87%,14.76%,41.00,23.48,-1.01%,-1.30%,0.30%,8444703
344,"DLX",1.21,0.82,1.13%,6.20%,5.87%,-19.33%,67.88%,53.44,25.87,-0.42%,-0.31%,-0.12%,328544
345,"DNLI",1.00,1.18,-5.18%,0.53%,16.04%,-15.68%,82.99%,45.53,23.02,-5.46%,-5.42%,-0.04%,1232143
346,"DNOW",0.82,0.43,3.70%,5.13%,4.96%,-18.19%,29.13%,57.75,14.12,2.77%,1.29%,1.46%,1996237
347,"DNUT",1.27,0.14,-3.53%,-8.43%,-12.43%,-37.77%,10.42%,41.10,3.18,-0.93%,-0.93%,0.00%,1944945
348,"DOC",0.99,0.46,-1.17%,4.09%,19.73%,-4.88%,39.04%,50.93,21.83,-1.04%,-1.09%,0.05%,7333900
349,"DOCN",1.62,12.22,-6.58%,-20.40%,34.31%,-37.33%,359.70%,42.43,117.50,-2.27%,-5.85%,3.80%,6015630
350,"DOCS",1.28,0.91,-3.10%,-0.41%,-37.58%,-72.67%,21.92%,46.39,20.91,-1.55%,-0.19%,-1.37%,2726313
351,"DORM",0.98,4.80,-3.33%,1.41%,6.73%,-20.21%,35.26%,46.94,133.16,-0.02%,0.08%,-0.10%,261857
352,"DOX",0.41,1.87,5.59%,0.67%,-19.43%,-38.29%,12.02%,57.67,55.72,0.80%,1.64%,-0.83%,1315675
353,"DRVN",0.95,0.61,-3.56%,2.05%,1.38%,-27.71%,45.61%,48.69,14.27,-0.56%,-1.45%,0.91%,535825
354,"DSGR",0.53,0.54,9.34%,18.75%,22.87%,-0.75%,81.76%,82.90,34.57,0.03%,-0.14%,0.17%,187884
355,"DT",0.72,1.69,0.90%,3.90%,7.32%,-17.94%,40.10%,55.36,44.32,0.50%,0.34%,0.16%,3153501
356,"DTI",-0.63,0.10,4.68%,-2.35%,-20.03%,-49.89%,42.42%,55.06,2.35,1.29%,1.29%,0.00%,168179
357,"DTIL",1.28,0.53,-12.12%,-4.72%,15.94%,-27.34%,98.02%,39.90,6.99,-0.14%,-1.27%,1.14%,211113
358,"DUK",0.37,2.43,-1.19%,-0.10%,0.60%,-6.74%,10.13%,45.73,125.43,-0.67%,-0.18%,-0.49%,4313166
359,"DUOL",0.86,7.49,3.63%,9.99%,-8.04%,-71.19%,53.38%,56.21,134.81,0.91%,2.32%,-1.38%,1026143
360,"DV",0.98,0.49,-0.87%,5.00%,6.36%,-33.12%,47.25%,52.29,11.25,1.90%,3.02%,-1.09%,2928896
361,"DVA",0.87,5.72,2.11%,10.71%,53.27%,-1.80%,137.71%,66.60,240.09,0.51%,0.96%,-0.44%,426615
362,"DVN",0.42,1.31,3.76%,2.82%,7.90%,-14.38%,43.39%,56.94,45.13,2.17%,1.17%,1.00%,7902411
363,"DXPE",0.99,7.75,-4.03%,-2.49%,14.54%,-14.62%,86.84%,44.63,157.02,1.45%,0.68%,0.76%,198233
364,"EBAY",1.37,3.09,0.37%,2.13%,18.02%,-4.44%,46.11%,53.26,114.01,0.43%,0.20%,0.23%,3676148
365,"EBS",2.35,0.30,-6.06%,-10.54%,-24.86%,-48.65%,28.58%,35.70,7.22,-0.55%,-0.82%,0.28%,487209
366,"ECG",2.53,8.60,-4.96%,-12.98%,7.67%,-26.90%,83.08%,43.16,125.43,2.03%,-0.43%,2.46%,780488
367,"ECO",-0.40,2.15,7.24%,13.42%,33.26%,0.18%,158.48%,66.11,60.33,0.79%,0.84%,-0.05%,323074
368,"ECOR",0.94,0.67,-5.11%,-21.96%,-4.51%,-42.02%,46.27%,39.49,6.09,-3.26%,-2.48%,-0.79%,37066
369,"ECPG",1.28,3.29,3.39%,8.78%,39.29%,-4.02%,163.71%,59.18,94.08,-0.01%,0.34%,-0.35%,223302
370,"ECVT",1.10,0.40,-1.79%,-4.83%,5.71%,-20.05%,62.75%,42.28,12.06,-0.25%,-0.50%,0.25%,1081761
371,"ED",0.26,2.31,-2.39%,-0.33%,2.43%,-6.35%,14.63%,43.26,108.85,-0.74%,-0.14%,-0.60%,2787232
372,"EDRY",0.68,1.64,12.98%,15.08%,48.60%,-5.32%,165.10%,66.13,26.51,3.92%,3.92%,0.00%,81217
373,"EE",1.22,1.26,1.34%,8.03%,17.81%,-9.04%,84.50%,59.23,39.27,2.75%,0.85%,1.88%,271822
374,"EFC",0.93,0.20,-1.53%,-1.78%,0.46%,-5.95%,17.78%,42.77,13.28,-1.56%,-0.67%,-0.89%,1650665
375,"EGHT",1.82,0.14,-1.58%,-0.81%,-5.03%,-34.03%,21.41%,50.36,1.90,2.70%,4.40%,-1.62%,1184429
376,"EGY",0.09,0.21,-0.10%,-0.54%,8.49%,-20.68%,58.41%,49.72,5.33,0.57%,-0.56%,1.13%,940349
377,"EHC",0.74,3.04,-0.28%,4.90%,3.71%,-13.22%,19.73%,54.18,111.07,0.16%,1.07%,-0.90%,503853
378,"EHTH",1.49,0.10,-10.07%,-15.04%,-48.73%,-77.42%,11.09%,37.88,1.33,-3.62%,-5.67%,2.17%,100624
379,"ELA",0.43,1.21,-1.07%,-10.87%,30.98%,-26.95%,300.00%,42.59,21.68,0.00%,-0.87%,0.88%,90450
380,"ELAN",1.67,0.88,3.88%,8.08%,12.43%,-4.87%,96.94%,63.11,26.37,-0.34%,-0.34%,0.00%,5193925
381,"ELF",1.56,4.11,6.85%,23.36%,6.97%,-45.10%,69.79%,63.91,82.89,0.77%,1.21%,-0.44%,1673239
382,"EMA",0.42,0.89,-0.23%,1.62%,5.81%,-2.88%,17.74%,50.97,53.89,-0.41%,-0.11%,-0.30%,640245
383,"EMBC",0.78,0.17,8.66%,10.63%,-58.78%,-76.59%,31.41%,58.81,3.64,-0.55%,0.83%,-1.37%,1252895
384,"EMR",1.23,4.26,5.78%,5.59%,7.34%,-9.28%,22.17%,60.53,149.82,0.79%,0.06%,0.73%,3725484
