"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
36,"AGNT",2.10,0.32,-7.83%,-14.09%,-45.73%,-66.87%,9.91%,40.53,4.05,3.85%,5.74%,-1.79%,1827966
37,"AGO",0.74,1.67,-1.48%,3.80%,-1.06%,-10.47%,13.69%,49.61,82.72,-1.70%,-1.98%,0.29%,324796
38,"AHCO",1.47,0.43,1.66%,4.92%,3.82%,-19.58%,26.98%,53.27,10.80,1.12%,1.69%,-0.56%,745993
39,"AHR",0.76,1.50,-0.45%,7.65%,12.38%,-5.28%,46.59%,54.61,55.60,-0.23%,0.18%,-0.41%,1548613
40,"AHRT",1.09,0.13,-1.26%,0.45%,6.79%,-9.73%,35.67%,47.81,6.96,-1.42%,-1.42%,0.00%,897495
41,"AIG",0.53,1.67,-0.98%,2.09%,1.36%,-9.98%,10.30%,50.41,78.58,-0.39%,0.01%,-0.41%,3570916
42,"AIN",1.18,2.20,0.45%,5.05%,26.76%,-3.23%,81.07%,54.72,74.51,0.53%,1.43%,-0.89%,162554
43,"AIP",1.98,2.96,-6.60%,-17.83%,33.23%,-40.55%,254.87%,42.15,29.88,1.98%,-3.14%,5.29%,573972
44,"AIRG",0.92,0.30,-2.24%,-9.91%,11.10%,-24.39%,93.00%,41.04,5.79,0.87%,-0.86%,1.74%,25860
45,"AIZ",0.55,5.19,0.49%,4.88%,17.68%,-1.91%,51.61%,59.04,279.19,-1.16%,-0.36%,-0.80%,531260
46,"AKA",1.40,0.48,3.24%,13.10%,3.99%,-30.28%,35.63%,66.91,11.42,3.82%,3.35%,0.45%,600
47,"AKAM",0.64,5.90,-3.44%,-10.44%,9.57%,-30.38%,65.06%,44.36,115.18,1.26%,-0.27%,1.53%,2893358
48,"AKBA",0.25,0.07,-0.64%,15.21%,-10.58%,-65.17%,60.45%,56.31,1.32,-2.22%,-1.49%,-0.74%,2057838
49,"ALAB",3.92,36.41,-7.35%,-12.38%,49.93%,-37.69%,217.94%,46.33,311.23,3.85%,-5.21%,9.55%,5329350
50,"ALB",1.34,5.51,-3.21%,-18.15%,-22.86%,-46.77%,81.12%,34.56,117.64,-0.10%,0.72%,-0.82%,3649526
51,"ALG",1.10,4.81,-2.34%,0.08%,-8.00%,-31.81%,9.14%,44.69,159.08,0.79%,0.79%,-0.01%,110287
52,"ALGS",2.31,0.45,-21.34%,-21.73%,-42.78%,-69.10%,6.28%,32.38,4.23,-2.08%,-5.16%,3.24%,49132
53,"ALGT",1.53,5.35,-5.41%,-0.42%,13.34%,-20.67%,130.45%,45.95,98.08,-0.94%,-0.98%,0.04%,366907
54,"ALIT",1.56,1.86,-13.48%,3.70%,-36.76%,-84.34%,77.32%,45.59,16.98,-7.06%,-5.67%,-1.48%,536105
55,"ALL",0.15,6.56,3.59%,12.26%,23.43%,-4.74%,40.41%,62.32,264.08,-0.49%,0.49%,-0.97%,1309653
56,"ALNT",1.62,5.48,0.51%,0.20%,29.63%,-16.43%,137.34%,50.12,87.46,1.45%,-0.93%,2.40%,165926
57,"ALRM",0.75,1.66,4.32%,13.65%,13.61%,-8.03%,31.96%,65.34,54.75,0.98%,0.16%,0.81%,362543
58,"ALSN",0.95,3.76,-1.41%,-1.42%,4.74%,-16.77%,50.69%,45.13,114.54,-0.78%,-1.58%,0.81%,693460
59,"ALTG",1.73,0.43,3.16%,1.00%,6.53%,-25.90%,58.36%,52.44,6.58,8.40%,7.87%,0.49%,200864
60,"ALTO",0.19,0.39,-8.51%,-9.65%,29.27%,-22.03%,418.97%,44.10,4.76,3.03%,1.71%,1.30%,1719270
61,"ALX",0.73,7.39,-6.81%,-3.95%,5.87%,-11.90%,26.69%,33.29,255.00,-4.07%,-1.93%,-2.19%,41377
62,"AMD",2.49,40.33,-7.55%,-7.04%,52.70%,-18.57%,219.09%,45.18,476.15,-1.90%,-6.69%,5.13%,26615744
63,"AME",0.99,5.31,2.08%,3.71%,10.25%,-1.23%,34.86%,57.23,241.71,0.71%,-0.75%,1.47%,1051651
64,"AMGN",0.40,9.71,3.88%,8.27%,12.02%,-3.23%,42.77%,64.60,385.16,-0.64%,0.83%,-1.45%,1954553
65,"AMN",0.40,1.56,0.04%,6.05%,50.58%,-7.28%,126.24%,52.79,33.63,-3.11%,-1.84%,-1.30%,681828
66,"AMPH",0.88,0.78,2.32%,2.30%,-13.12%,-36.22%,19.80%,52.50,19.94,-2.16%,-2.01%,-0.15%,367629
67,"AMPL",1.42,0.61,-2.14%,11.47%,3.75%,-38.72%,61.16%,54.12,8.88,3.14%,4.47%,-1.28%,1299046
68,"AMPX",2.38,1.00,-8.70%,-32.60%,-30.45%,-60.37%,58.15%,38.70,9.60,1.37%,-2.74%,4.22%,5256311
69,"AMR",0.66,7.64,-6.39%,-19.74%,-25.82%,-45.96%,21.39%,33.90,137.16,-4.62%,-5.21%,0.62%,389877
70,"AMRC",2.63,1.68,-9.16%,-22.38%,-30.19%,-53.10%,35.73%,39.01,21.07,1.98%,-1.73%,3.78%,603175
71,"AMRZ",0.13,1.51,-2.07%,-5.77%,-8.76%,-25.09%,11.96%,42.71,48.91,-1.39%,-0.85%,-0.54%,2230977
72,"AMSC",3.29,2.52,-11.35%,-26.22%,-23.73%,-58.33%,18.09%,35.93,29.37,-0.27%,-4.46%,4.38%,661262
73,"AMTX",1.47,0.15,-6.50%,-20.68%,-24.95%,-60.26%,16.15%,42.53,1.51,-3.21%,-2.58%,-0.64%,578111
74,"AMWL",1.67,0.73,-0.40%,12.57%,70.07%,-20.07%,189.76%,53.33,10.75,-0.83%,-0.92%,0.09%,65691
75,"ANDE",0.67,2.68,-4.59%,-2.02%,10.60%,-13.80%,122.30%,43.21,70.78,-1.03%,-1.78%,0.76%,177349
76,"ANET",1.60,10.26,3.52%,8.27%,23.66%,-4.99%,57.48%,56.82,180.35,5.46%,1.55%,3.85%,8472358
77,"ANGI",1.62,0.40,-6.32%,-2.14%,-37.60%,-70.80%,25.17%,45.80,5.67,0.18%,0.71%,-0.53%,694851
78,"ANGX",-0.18,0.26,0.04%,18.52%,0.46%,-92.62%,98.53%,55.58,4.06,-0.73%,0.74%,-1.47%,843792
79,"ANIP",0.44,2.39,-1.98%,-2.31%,-2.47%,-20.36%,26.57%,45.74,79.24,-1.48%,-0.51%,-0.97%,205183
80,"AOMR",1.22,0.20,-1.14%,2.10%,1.15%,-12.73%,11.25%,49.04,8.85,-0.67%,-0.11%,-0.56%,59630
81,"AORT",1.22,1.06,6.46%,16.20%,-25.23%,-44.39%,40.03%,61.92,26.83,-3.04%,-1.40%,-1.66%,614668
82,"APA",0.35,1.26,6.54%,5.26%,19.07%,-18.27%,108.90%,60.85,37.32,2.73%,2.39%,0.33%,7952213
83,"APC",,0.79,0.76%,3.16%,6.04%,-6.54%,19.41%,53.38,20.30,0.59%,0.30%,0.30%,90304
84,"APLE",0.87,0.33,-0.94%,2.16%,25.25%,-3.62%,52.17%,49.27,16.51,-0.60%,-0.54%,-0.06%,3404375
85,"APO",1.50,4.22,3.96%,0.14%,-1.06%,-18.07%,26.15%,55.87,125.59,4.44%,4.09%,0.33%,4657121
86,"APP",2.54,26.44,-11.15%,-19.31%,-23.91%,-46.90%,10.28%,35.97,395.90,-1.97%,-0.50%,-1.48%,15452191
87,"APPN",0.84,1.65,6.22%,12.94%,-3.76%,-41.47%,44.71%,57.73,26.96,1.81%,3.69%,-1.81%,621631
