ticker,weather,score,possible,price,change_pct,from_open_pct,rvol,rsi,sma20_pct,sma50_pct,sma200_pct,short_float_pct,short_ratio
TNXP,BUY,5,7,12.67,5.32,9.22,5.64,60.81,,8.96,-13.11,22.56,7.02
MNDY,WATCH,2,7,85.82,-7.85,5.43,5.42,52.18,,5.81,-17.21,20.24,3.95
SEZL,WATCH,3,7,123.97,5.04,2.08,5.41,36.35,,-20.06,33.76,24.01,5.96
AEHR,BUY,6,7,106.95,3.77,1.49,2.51,59.61,,16.71,93.31,15.61,1.91
PZZA,SELL,-4,7,23.43,-4.25,-2.94,2.49,20.97,,-28.05,-35.33,17.77,4.54
GRAL,BUY,6,7,75.42,8.54,8.87,2.11,57.33,,12.56,1.98,18.91,11.19
VIA,BUY,4,7,22.75,2.43,2.52,1.95,71.49,,28.64,-2.43,19.49,6.43
NXTC,BUY,5,7,6.72,14.98,6.17,1.94,64.76,,90.03,-28.44,48.67,0.62
GRPN,WATCH,-2,7,22.92,-8.43,-5.8,1.81,40.23,,-0.09,32.45,62.3,7.38
SHMD,WATCH,3,7,5.11,8.31,0.83,1.77,57.5,,-1.58,-15.47,30.07,2.5
OMDA,BUY,7,7,24.64,4.09,2.36,1.7,68.18,,20.73,45.42,28.64,6.07
POST,SELL,-4,7,76.97,-2.19,-1.18,1.65,29.65,,-13.89,-22.1,16.55,6.6
BBNX,BUY,4,7,16.41,3.21,4.59,1.53,56.86,,7.99,-5.59,19.61,6.12
