symbol,model,signals,directional_close_30m_pct,mfe_gt_mae_30m_pct,first_10pct_datr_30m_resolved_n,first_10pct_datr_30m_favorable_pct,first_10pct_datr_30m_ci_low,first_10pct_datr_30m_ci_high,hit_10pct_datr_30m_pct,median_delay_min,coverage_vs_bento_pct
SPY,Bento reversal,27,55.55555555555556,59.25925925925925,23,60.869565217391305,40.78517960374599,77.84262201761787,62.96296296296296,,
SPY,Trinity continuation,120,58.333333333333336,55.833333333333336,108,59.25925925925926,49.82925984402364,68.05317388367695,75.0,,
SPY,Combined reversal 5/6,19,68.42105263157895,68.42105263157895,15,86.66666666666667,62.11750079348376,96.26395301086407,68.42105263157895,65.0,70.37037037037037
SPY,Router 4/5,27,44.44444444444444,40.74074074074074,23,39.130434782608695,22.157377982382144,59.21482039625402,51.85185185185185,,
TSLA,Bento reversal,203,50.24630541871922,48.76847290640394,189,47.61904761904762,40.61723388941022,54.71572331484445,62.06896551724138,,
TSLA,Trinity continuation,473,49.04862579281184,48.41437632135307,434,48.38709677419355,43.720196236974694,53.08230037367171,67.8646934460888,,
TSLA,Combined reversal 5/6,149,44.966442953020135,46.308724832214764,129,48.06201550387597,39.62152136207532,56.614597444081795,51.006711409395976,60.0,73.39901477832512
TSLA,Router 4/5,203,50.24630541871922,52.21674876847291,189,53.439153439153436,46.32993148947615,60.41135254882264,65.02463054187191,,
