symbol,model,signals,directional_close_30m_pct,mfe_gt_mae_30m_pct,first_10bp_30m_resolved_n,first_10bp_30m_favorable_pct,first_10bp_30m_ci_low,first_10bp_30m_ci_high,hit_10bp_30m_pct,first_25bp_30m_resolved_n,first_25bp_30m_favorable_pct,first_25bp_30m_ci_low,first_25bp_30m_ci_high,hit_25bp_30m_pct,first_50bp_30m_resolved_n,first_50bp_30m_favorable_pct,first_50bp_30m_ci_low,first_50bp_30m_ci_high,hit_50bp_30m_pct,first_100bp_30m_resolved_n,first_100bp_30m_favorable_pct,first_100bp_30m_ci_low,first_100bp_30m_ci_high,hit_100bp_30m_pct,first_10pct_datr_30m_resolved_n,first_10pct_datr_30m_favorable_pct,first_10pct_datr_30m_ci_low,first_10pct_datr_30m_ci_high,hit_10pct_datr_30m_pct,first_20pct_datr_30m_resolved_n,first_20pct_datr_30m_favorable_pct,first_20pct_datr_30m_ci_low,first_20pct_datr_30m_ci_high,hit_20pct_datr_30m_pct,directional_close_60m_pct,mfe_gt_mae_60m_pct,first_10bp_60m_resolved_n,first_10bp_60m_favorable_pct,first_10bp_60m_ci_low,first_10bp_60m_ci_high,hit_10bp_60m_pct,first_25bp_60m_resolved_n,first_25bp_60m_favorable_pct,first_25bp_60m_ci_low,first_25bp_60m_ci_high,hit_25bp_60m_pct,first_50bp_60m_resolved_n,first_50bp_60m_favorable_pct,first_50bp_60m_ci_low,first_50bp_60m_ci_high,hit_50bp_60m_pct,first_100bp_60m_resolved_n,first_100bp_60m_favorable_pct,first_100bp_60m_ci_low,first_100bp_60m_ci_high,hit_100bp_60m_pct,first_10pct_datr_60m_resolved_n,first_10pct_datr_60m_favorable_pct,first_10pct_datr_60m_ci_low,first_10pct_datr_60m_ci_high,hit_10pct_datr_60m_pct,first_20pct_datr_60m_resolved_n,first_20pct_datr_60m_favorable_pct,first_20pct_datr_60m_ci_low,first_20pct_datr_60m_ci_high,hit_20pct_datr_60m_pct,median_mfe_30m_bp,median_mae_30m_bp,median_delay_min,coverage_vs_bento_pct
SPY,Bento reversal,27,55.55555555555556,59.25925925925925,22,68.18181818181819,47.318222782839335,83.63961264530751,77.77777777777779,15,53.333333333333336,30.11663015105079,75.19077474025354,40.74074074074074,4,100.0,51.009997959600085,100.0,14.814814814814813,0,,,,0.0,23,60.869565217391305,40.78517960374599,77.84262201761787,62.96296296296296,14,57.142857142857146,32.59026690286936,78.61949006959948,40.74074074074074,51.85185185185185,59.25925925925925,23,69.56521739130434,49.133870939427396,84.39617197902754,81.48148148148148,17,52.94117647058823,30.962897311549487,73.8351988039119,48.148148148148145,6,83.33333333333333,43.649056343635394,96.99474141282697,18.51851851851852,1,100.0,20.654329147389294,100.0,3.7037037037037033,24,62.5,42.70961903790707,78.84086656636855,70.37037037037037,16,56.25,33.17819560677652,76.90163666481448,44.44444444444444,16.74319420338355,13.926715981618099,,
SPY,Trinity continuation,120,58.333333333333336,55.833333333333336,105,56.19047619047619,46.64816913835178,65.29579346418252,75.0,72,52.77777777777778,41.400469533452565,63.873680800928554,35.0,16,37.5,18.480982554752806,61.3593529020652,5.0,1,100.0,20.654329147389294,100.0,0.8333333333333334,108,59.25925925925926,49.82925984402364,68.05317388367695,75.0,83,56.626506024096386,45.90573282760806,66.7610075364571,41.66666666666667,53.333333333333336,57.49999999999999,107,57.00934579439252,47.54673892922151,65.9860862916342,82.5,90,54.44444444444444,44.18444949284148,64.34055434341023,47.5,34,44.11764705882353,28.883240215296745,60.546382210816304,12.5,2,100.0,34.23719528896193,100.0,1.6666666666666667,109,59.63302752293578,50.24644394796234,68.36371400796881,83.33333333333334,99,57.57575757575758,47.73648481449719,66.84905255559431,55.00000000000001,17.821991521168037,14.990086882608056,,
SPY,Combined reversal 4/6,27,51.85185185185185,48.148148148148145,21,42.857142857142854,24.469699486521044,63.453783702967534,48.148148148148145,11,54.54545454545455,28.008775568998818,78.72904245601195,22.22222222222222,3,66.66666666666667,20.76549551264879,93.85096847238394,7.4074074074074066,0,,,,0.0,20,40.0,21.880396741419272,61.342205768479396,40.74074074074074,14,64.28571428571429,38.76400468214042,83.65550926279727,33.33333333333333,44.44444444444444,44.44444444444444,25,40.0,23.403057664190918,59.26087221487266,62.96296296296296,16,43.75,23.09836333518552,66.82180439322347,29.629629629629626,9,55.55555555555556,26.66473457440297,81.1224570528086,18.51851851851852,2,100.0,34.23719528896193,100.0,7.4074074074074066,24,37.5,21.159133433631457,57.29038096209293,55.55555555555556,17,58.8235294117647,36.00507438551554,78.38921396086862,40.74074074074074,9.32513722365913,11.012573115032342,30.0,100.0
SPY,Combined reversal 5/6,19,68.42105263157895,68.42105263157895,16,81.25,56.99064013154177,93.40852122641324,73.68421052631578,9,77.77777777777777,45.25833436728054,93.67762376877728,36.84210526315789,4,75.0,30.06360524426366,95.44139373553637,15.789473684210526,0,,,,0.0,15,86.66666666666667,62.11750079348376,96.26395301086407,68.42105263157895,10,80.0,49.01568467207233,94.33190520193067,42.10526315789473,78.94736842105263,73.68421052631578,16,81.25,56.99064013154177,93.40852122641324,78.94736842105263,12,66.66666666666667,39.06175873976139,86.18821601026386,47.368421052631575,6,83.33333333333333,43.649056343635394,96.99474141282697,26.31578947368421,1,100.0,20.654329147389294,100.0,5.263157894736842,17,76.47058823529412,52.73775411082839,90.44511092832406,73.68421052631578,13,69.23076923076923,42.36888781333764,87.31950283838191,52.63157894736842,17.629966973726763,5.186690245793102,65.0,70.37037037037037
SPY,Router 3/5,27,44.44444444444444,40.74074074074074,22,36.36363636363637,19.732972772607898,57.04865065628195,59.25925925925925,15,46.666666666666664,24.80922525974644,69.8833698489492,33.33333333333333,4,25.0,4.558606264463622,69.93639475573634,3.7037037037037033,0,,,,0.0,23,39.130434782608695,22.157377982382144,59.21482039625402,51.85185185185185,14,42.857142857142854,21.380509930400528,67.40973309713064,22.22222222222222,48.148148148148145,40.74074074074074,23,34.78260869565217,18.811054636982238,55.11002309310836,66.66666666666666,17,47.05882352941177,26.164801196088106,69.03710268845052,37.03703703703704,6,33.333333333333336,9.676933255921682,70.00116786584712,7.4074074074074066,1,100.0,20.654329147389294,100.0,3.7037037037037033,24,37.5,21.159133433631457,57.29038096209293,51.85185185185185,16,43.75,23.09836333518552,66.82180439322347,29.629629629629626,13.926715981618099,16.74319420338355,,
SPY,Router 4/5,27,44.44444444444444,40.74074074074074,22,36.36363636363637,19.732972772607898,57.04865065628195,59.25925925925925,15,46.666666666666664,24.80922525974644,69.8833698489492,33.33333333333333,4,25.0,4.558606264463622,69.93639475573634,3.7037037037037033,0,,,,0.0,23,39.130434782608695,22.157377982382144,59.21482039625402,51.85185185185185,14,42.857142857142854,21.380509930400528,67.40973309713064,22.22222222222222,48.148148148148145,40.74074074074074,23,34.78260869565217,18.811054636982238,55.11002309310836,66.66666666666666,17,47.05882352941177,26.164801196088106,69.03710268845052,37.03703703703704,6,33.333333333333336,9.676933255921682,70.00116786584712,7.4074074074074066,1,100.0,20.654329147389294,100.0,3.7037037037037033,24,37.5,21.159133433631457,57.29038096209293,51.85185185185185,16,43.75,23.09836333518552,66.82180439322347,29.629629629629626,13.926715981618099,16.74319420338355,,
SPY,Router 5/5,27,37.03703703703704,48.148148148148145,22,59.09090909090909,38.73447738289381,76.74444033117963,66.66666666666666,15,46.666666666666664,24.80922525974644,69.8833698489492,33.33333333333333,4,75.0,30.06360524426366,95.44139373553637,11.11111111111111,0,,,,0.0,23,56.52173913043478,36.81104930501695,74.36563166780135,55.55555555555556,14,57.142857142857146,32.59026690286936,78.61949006959948,29.629629629629626,40.74074074074074,40.74074074074074,23,60.869565217391305,40.78517960374599,77.84262201761787,74.07407407407408,17,47.05882352941177,26.164801196088106,69.03710268845052,37.03703703703704,6,50.0,18.761280689940868,81.23871931005912,11.11111111111111,1,100.0,20.654329147389294,100.0,3.7037037037037033,24,58.333333333333336,38.83433764938864,75.53265275346178,59.25925925925925,16,56.25,33.17819560677652,76.90163666481448,33.33333333333333,14.163952189336637,15.549049103675827,,
TSLA,Bento reversal,203,50.24630541871922,48.76847290640394,77,33.76623376623377,24.199766918027013,44.87556063610354,90.14778325123153,155,45.806451612903224,38.15882653572218,53.656919465325394,77.33990147783251,184,45.108695652173914,38.09192517775924,52.325532935885455,58.128078817733986,129,44.96124031007752,36.64624265425491,53.56766624175358,33.99014778325123,189,47.61904761904762,40.61723388941022,54.71572331484445,62.06896551724138,140,47.857142857142854,39.750517415611505,56.07822753716991,35.467980295566505,49.26108374384236,47.783251231527096,77,33.76623376623377,24.199766918027013,44.87556063610354,97.04433497536947,155,45.806451612903224,38.15882653572218,53.656919465325394,85.22167487684729,192,45.3125,38.43185479195105,52.37704382815826,67.48768472906403,163,45.39877300613497,37.94910261736095,53.06033387809342,45.320197044334975,192,47.916666666666664,40.96066488169343,54.95440117168848,70.93596059113301,176,47.15909090909091,39.923623716153436,54.51592753339061,48.275862068965516,66.9307244095152,73.89431433633575,,
TSLA,Trinity continuation,473,49.04862579281184,48.41437632135307,197,47.71573604060914,40.85139800694169,54.66745864427002,90.06342494714588,340,49.411764705882355,44.13367567573781,54.702997955376055,79.9154334038055,425,47.294117647058826,42.59287162938731,52.04384271922067,61.94503171247357,323,51.39318885448916,45.95816823501131,56.795459210209884,39.323467230443974,434,48.38709677419355,43.720196236974694,53.08230037367171,67.8646934460888,368,48.369565217391305,43.306939052647905,53.465880341416664,43.76321353065539,49.68287526427061,47.780126849894295,197,47.71573604060914,40.85139800694169,54.66745864427002,92.60042283298098,340,49.411764705882355,44.13367567573781,54.702997955376055,84.35517970401692,436,47.706422018348626,43.058522248476486,52.394386253129554,68.71035940803382,397,50.8816120906801,45.979063206060324,55.767262524602366,50.317124735729394,435,48.275862068965516,43.61558398681172,52.96632620584094,73.57293868921776,434,48.15668202764977,43.49254298229035,52.85316742987697,54.54545454545454,75.71633066604244,79.19231639475832,,
TSLA,Combined reversal 4/6,201,52.23880597014925,52.23880597014925,102,43.13725490196079,33.94748837991474,52.8251983519563,89.05472636815921,165,46.06060606060606,38.631151790521194,53.669323921625576,75.62189054726367,160,50.0,42.3437873837594,57.6562126162406,50.74626865671642,87,52.87356321839081,42.48617443382648,63.01791179979336,23.88059701492537,183,46.994535519125684,39.89952027658107,54.21313985906324,53.73134328358209,90,53.333333333333336,43.10200470971506,63.29174816747374,24.378109452736318,53.73134328358209,54.22885572139303,102,43.13725490196079,33.94748837991474,52.8251983519563,92.03980099502488,166,46.3855421686747,38.96676381568331,53.96782935819162,80.59701492537313,182,51.64835164835165,44.42933438801729,58.79922154348568,63.681592039801,130,54.61538461538461,46.04711849762164,62.918703787826225,38.80597014925373,191,48.167539267015705,41.18751476055555,55.21982330277384,63.681592039801,144,54.166666666666664,46.025837683927115,62.0909575888513,42.28855721393035,50.28717169232255,49.90806767528389,35.0,99.01477832512315
